ID,Prob1
0, 0.24
1, 0.16
2, 0.61
3, 0.28
4, 0.01
5, 0.16
6, 0.36
7, 0.87
8, 0.99
9, 0.27
10, 0.53
11, 0.22
12, 0.26
13, 0.47
14, 0.42
15, 0.20
16, 0.31
17, 0.14
18, 0.20
19, 0.40
20, 0.43
21, 0.18
22, 0.33
23, 0.13
24, 0.32
25, 0.51
26, 0.30
27, 0.11
28, 0.26
29, 0.75
30, 0.06
31, 0.26
32, 0.25
33, 0.30
34, 0.46
35, 0.37
36, 0.20
37, 0.34
38, 0.44
39, 0.50
40, 0.31
41, 0.14
42, 0.22
43, 0.16
44, 0.82
45, 0.39
46, 0.30
47, 0.60
48, 0.47
49, 0.28
50, 0.97
51, 0.24
52, 0.25
53, 0.22
54, 0.64
55, 0.02
56, 0.72
57, 0.25
58, 0.26
59, 0.21
60, 0.43
61, 0.54
62, 0.28
63, 0.21
64, 0.27
65, 0.27
66, 0.61
67, 0.21
68, 0.36
69, 0.03
70, 0.76
71, 0.90
72, 0.30
73, 0.27
74, 0.20
75, 0.47
76, 0.21
77, 0.28
78, 0.23
79, 0.27
80, 0.32
81, 0.31
82, 0.35
83, 0.05
84, 0.50
85, 0.24
86, 0.77
87, 0.32
88, 0.26
89, 0.87
90, 0.17
91, 0.40
92, 0.21
93, 0.70
94, 0.16
95, 0.32
96, 0.27
97, 0.27
98, 0.22
99, 0.49
100, 0.00
101, 0.31
102, 0.30
103, 0.05
104, 0.13
105, 0.30
106, 0.26
107, 0.30
108, 0.23
109, 0.58
110, 0.33
111, 0.30
112, 0.01
113, 0.07
114, 0.54
115, 0.01
116, 0.19
117, 0.31
118, 0.18
119, 0.29
120, 0.27
121, 0.27
122, 0.78
123, 0.47
124, 0.28
125, 0.35
126, 0.28
127, 0.50
128, 0.20
129, 0.22
130, 0.00
131, 0.50
132, 0.12
133, 0.35
134, 0.20
135, 0.38
136, 0.22
137, 0.00
138, 0.62
139, 0.04
140, 0.17
141, 0.32
142, 0.62
143, 0.19
144, 0.13
145, 0.28
146, 0.47
147, 0.23
148, 0.20
149, 0.21
150, 0.73
151, 0.28
152, 0.45
153, 0.14
154, 0.70
155, 0.26
156, 0.42
157, 0.42
158, 0.22
159, 0.26
160, 0.38
161, 0.22
162, 0.25
163, 0.05
164, 0.15
165, 0.27
166, 0.22
167, 0.40
168, 0.02
169, 0.12
170, 0.16
171, 0.29
172, 0.17
173, 0.41
174, 0.36
175, 0.32
176, 0.16
177, 0.29
178, 0.73
179, 0.16
180, 0.66
181, 0.68
182, 0.28
183, 0.24
184, 0.57
185, 0.35
186, 0.59
187, 0.74
188, 0.30
189, 0.25
190, 0.73
191, 0.00
192, 0.77
193, 0.20
194, 0.31
195, 0.64
196, 0.02
197, 0.22
198, 0.32
199, 0.24
200, 0.20
201, 0.22
202, 0.85
203, 0.25
204, 0.29
205, 0.19
206, 0.73
207, 0.27
208, 0.31
209, 0.72
210, 0.29
211, 0.39
212, 0.28
213, 0.56
214, 0.28
215, 0.15
216, 0.31
217, 0.24
218, 0.21
219, 0.53
220, 0.16
221, 0.45
222, 0.03
223, 0.47
224, 0.33
225, 0.24
226, 0.03
227, 0.34
228, 0.34
229, 0.10
230, 0.32
231, 0.87
232, 0.14
233, 0.08
234, 0.24
235, 0.36
236, 0.32
237, 0.47
238, 0.68
239, 0.65
240, 0.61
241, 0.27
242, 0.28
243, 0.19
244, 0.22
245, 0.19
246, 0.08
247, 0.74
248, 0.33
249, 0.13
250, 0.78
251, 0.23
252, 0.09
253, 0.20
254, 0.27
255, 0.26
256, 0.26
257, 0.23
258, 0.87
259, 0.26
260, 0.91
261, 0.51
262, 0.37
263, 0.13
264, 0.28
265, 0.34
266, 0.32
267, 0.28
268, 0.26
269, 0.62
270, 0.09
271, 0.04
272, 0.20
273, 0.28
274, 0.60
275, 0.32
276, 0.85
277, 0.87
278, 0.35
279, 0.25
280, 0.70
281, 0.27
282, 0.06
283, 0.35
284, 0.26
285, 0.61
286, 0.23
287, 0.18
288, 0.29
289, 0.27
290, 0.19
291, 0.32
292, 0.52
293, 0.00
294, 0.26
295, 0.14
296, 0.41
297, 0.01
298, 0.30
299, 0.62
300, 0.26
301, 0.36
302, 0.71
303, 0.88
304, 0.08
305, 0.61
306, 0.35
307, 0.28
308, 0.28
309, 0.32
310, 0.32
311, 0.12
312, 0.29
313, 0.31
314, 0.57
315, 0.40
316, 0.00
317, 0.34
318, 0.29
319, 0.55
320, 0.34
321, 0.43
322, 0.31
323, 0.28
324, 0.28
325, 0.52
326, 0.38
327, 0.43
328, 0.29
329, 0.21
330, 0.14
331, 0.58
332, 0.27
333, 0.28
334, 0.31
335, 0.18
336, 0.27
337, 0.77
338, 0.40
339, 0.29
340, 0.23
341, 0.21
342, 0.14
343, 0.09
344, 0.23
345, 0.68
346, 0.63
347, 0.01
348, 0.11
349, 0.24
350, 0.17
351, 0.31
352, 0.36
353, 0.54
354, 0.40
355, 0.28
356, 0.14
357, 0.31
358, 0.20
359, 0.21
360, 0.59
361, 0.09
362, 0.16
363, 0.32
364, 0.35
365, 0.60
366, 0.19
367, 0.31
368, 0.22
369, 0.28
370, 0.20
371, 0.22
372, 0.27
373, 0.29
374, 0.60
