ID,Prob1
0, 0.72
1, 0.07
2, 0.05
3, 0.14
4, 0.12
5, 0.07
6, 0.20
7, 0.78
8, 0.76
9, 0.01
10, 0.84
11, 0.07
12, 0.42
13, 0.91
14, 0.24
15, 0.11
16, 0.22
17, 0.21
18, 0.18
19, 0.41
20, 0.47
21, 0.00
22, 0.46
23, 0.80
24, 0.19
25, 0.34
26, 0.48
27, 0.10
28, 0.13
29, 0.91
30, 0.15
31, 0.01
32, 0.69
33, 0.12
34, 0.76
35, 0.46
36, 0.21
37, 0.57
38, 0.71
39, 0.31
40, 0.62
41, 0.06
42, 0.15
43, 0.49
44, 0.74
45, 0.10
46, 0.15
47, 0.75
48, 0.32
49, 0.46
50, 0.84
51, 0.07
52, 0.41
53, 0.12
54, 0.45
55, 0.02
56, 0.83
57, 0.04
58, 0.08
59, 0.07
60, 0.62
61, 0.34
62, 0.35
63, 0.24
64, 0.18
65, 0.21
66, 0.97
67, 0.21
68, 0.32
69, 0.23
70, 0.93
71, 0.76
72, 0.83
73, 0.30
74, 0.07
75, 0.81
76, 0.01
77, 0.90
78, 0.04
79, 0.16
80, 0.50
81, 0.03
82, 0.02
83, 0.03
84, 0.00
85, 0.16
86, 0.36
87, 0.10
88, 0.06
89, 0.86
90, 0.13
91, 0.29
92, 0.26
93, 0.47
94, 0.11
95, 0.06
96, 0.55
97, 0.00
98, 0.18
99, 0.44
100, 0.03
101, 0.36
102, 0.76
103, 0.06
104, 0.10
105, 0.05
106, 0.52
107, 0.20
108, 0.41
109, 0.16
110, 0.41
111, 0.34
112, 0.14
113, 0.22
114, 0.37
115, 0.00
116, 0.08
117, 0.10
118, 0.08
119, 0.18
120, 0.25
121, 0.46
122, 0.79
123, 0.29
124, 0.16
125, 0.41
126, 0.99
127, 0.09
128, 0.19
129, 0.03
130, 0.57
131, 0.46
132, 0.03
133, 0.76
134, 0.02
135, 0.66
136, 0.14
137, 0.01
138, 0.26
139, 0.03
140, 0.02
141, 0.33
142, 0.56
143, 0.13
144, 0.59
145, 0.04
146, 0.39
147, 0.15
148, 0.39
149, 0.75
150, 0.94
151, 0.27
152, 0.95
153, 0.04
154, 0.99
155, 0.02
156, 0.32
157, 0.06
158, 0.06
159, 0.17
160, 0.66
161, 0.01
162, 0.23
163, 0.03
164, 0.00
165, 0.27
166, 0.07
167, 0.34
168, 0.04
169, 0.21
170, 0.02
171, 0.68
172, 0.24
173, 0.64
174, 0.16
175, 0.13
176, 0.04
177, 0.10
178, 0.49
179, 0.08
180, 0.38
181, 0.96
182, 0.00
183, 0.18
184, 0.90
185, 0.29
186, 0.49
187, 0.81
188, 0.16
189, 0.05
190, 0.95
191, 0.01
192, 0.69
193, 0.12
194, 0.24
195, 0.91
196, 0.01
197, 0.02
198, 0.21
199, 0.00
200, 0.15
201, 0.03
202, 0.91
203, 0.02
204, 0.37
205, 0.16
206, 0.22
207, 0.18
208, 0.10
209, 0.57
210, 0.72
211, 0.45
212, 0.80
213, 0.65
214, 0.24
215, 0.40
216, 0.68
217, 0.04
218, 0.29
219, 0.44
220, 0.22
221, 0.06
222, 0.05
223, 0.80
224, 0.68
225, 0.18
226, 0.41
227, 0.32
228, 0.79
229, 0.00
230, 0.18
231, 0.90
232, 0.28
233, 0.21
234, 0.12
235, 0.35
236, 0.06
237, 0.40
238, 0.55
239, 0.37
240, 0.27
241, 0.24
242, 0.28
243, 0.02
244, 0.19
245, 0.09
246, 0.20
247, 0.74
248, 0.56
249, 0.09
250, 0.99
251, 0.53
252, 0.08
253, 0.00
254, 0.38
255, 0.00
256, 0.43
257, 0.03
258, 0.98
259, 0.10
260, 0.91
261, 0.28
262, 0.22
263, 0.01
264, 0.16
265, 0.18
266, 0.00
267, 0.43
268, 0.28
269, 0.47
270, 0.10
271, 0.00
272, 0.18
273, 0.26
274, 0.40
275, 0.19
276, 0.94
277, 1.00
278, 0.35
279, 0.29
280, 1.00
281, 0.06
282, 0.07
283, 0.11
284, 0.03
285, 0.37
286, 0.89
287, 0.25
288, 0.00
289, 0.59
290, 0.11
291, 0.35
292, 0.09
293, 0.42
294, 0.14
295, 0.01
296, 0.11
297, 0.07
298, 0.68
299, 0.85
300, 0.07
301, 0.06
302, 0.42
303, 0.35
304, 0.11
305, 0.89
306, 0.20
307, 0.46
308, 0.06
309, 0.95
310, 0.40
311, 0.13
312, 0.33
313, 0.00
314, 0.69
315, 0.41
316, 0.00
317, 0.63
318, 0.33
319, 0.48
320, 0.05
321, 0.36
322, 0.31
323, 0.67
324, 0.20
325, 0.19
326, 0.41
327, 0.71
328, 0.58
329, 0.17
330, 0.07
331, 0.56
332, 0.39
333, 0.65
334, 0.97
335, 0.12
336, 0.43
337, 0.91
338, 0.13
339, 0.20
340, 0.49
341, 0.09
342, 0.01
343, 0.04
344, 0.19
345, 0.59
346, 0.51
347, 0.00
348, 0.02
349, 0.72
350, 0.17
351, 0.68
352, 0.15
353, 0.57
354, 0.27
355, 0.20
356, 0.11
357, 0.32
358, 0.77
359, 0.43
360, 0.19
361, 0.00
362, 0.24
363, 0.52
364, 0.58
365, 0.80
366, 0.14
367, 0.45
368, 0.32
369, 0.69
370, 0.10
371, 0.33
372, 0.40
373, 0.26
374, 0.70
375, 0.16
376, 0.73
377, 0.05
378, 0.47
379, 0.02
380, 0.47
381, 0.16
382, 0.42
383, 0.88
384, 0.24
385, 0.43
386, 0.18
387, 0.33
388, 0.24
389, 0.15
390, 0.08
391, 0.19
392, 0.67
393, 0.27
394, 0.39
395, 0.36
396, 0.99
397, 0.04
398, 0.08
399, 0.85
400, 0.27
401, 0.50
402, 0.01
403, 0.01
404, 0.94
405, 0.00
406, 0.49
407, 0.16
408, 0.11
409, 0.24
410, 0.01
411, 0.65
412, 0.17
413, 0.06
414, 0.04
415, 0.11
416, 0.36
417, 0.12
418, 0.17
419, 0.70
420, 0.70
421, 0.17
422, 0.34
423, 0.11
424, 0.24
425, 0.36
426, 0.04
427, 0.36
428, 0.20
429, 0.01
430, 0.75
431, 0.69
432, 0.06
433, 0.17
434, 0.43
435, 0.26
436, 0.46
437, 0.75
438, 0.39
439, 0.02
440, 0.53
441, 0.14
442, 0.84
443, 0.38
444, 0.19
445, 0.34
446, 0.64
447, 0.04
448, 0.91
449, 0.09
450, 0.30
451, 0.77
452, 0.67
453, 0.46
454, 0.26
455, 0.16
456, 0.69
457, 0.25
458, 0.23
459, 0.25
460, 0.68
461, 0.03
462, 0.10
463, 0.01
464, 0.02
465, 0.00
466, 0.17
467, 0.22
468, 0.18
469, 0.16
470, 0.64
471, 0.34
472, 0.04
473, 0.43
474, 0.16
475, 0.33
476, 0.04
477, 0.03
478, 0.64
479, 0.28
480, 0.57
481, 0.15
482, 0.26
483, 0.68
484, 0.18
485, 0.98
486, 0.49
487, 0.62
488, 0.37
489, 0.33
490, 0.21
491, 0.12
492, 0.03
493, 0.20
494, 0.58
495, 0.49
496, 0.86
497, 0.62
498, 1.00
499, 0.57
500, 0.10
501, 0.09
502, 0.35
503, 0.11
504, 0.40
505, 0.07
506, 0.31
507, 0.02
508, 0.09
509, 0.42
510, 0.55
511, 0.29
512, 0.02
513, 0.01
514, 0.33
515, 0.40
516, 0.01
517, 0.80
518, 0.56
519, 0.94
520, 0.61
521, 0.21
522, 0.28
523, 0.64
524, 0.03
525, 0.85
526, 0.06
527, 0.02
528, 0.58
529, 0.23
530, 0.00
531, 0.46
532, 0.15
533, 0.14
534, 0.82
535, 0.74
536, 0.16
537, 0.06
538, 0.02
539, 0.41
540, 0.03
541, 0.00
542, 0.78
543, 0.08
544, 0.26
545, 0.34
546, 0.20
547, 0.05
548, 0.89
549, 0.03
550, 0.51
551, 0.07
552, 0.86
553, 0.07
554, 0.24
555, 0.02
556, 0.10
557, 0.10
558, 0.55
559, 0.05
560, 0.14
561, 0.31
562, 0.07
563, 0.12
564, 0.26
565, 0.26
566, 0.04
567, 0.18
568, 0.45
569, 0.19
570, 0.63
571, 0.01
572, 0.13
573, 0.43
574, 0.39
575, 0.30
576, 0.26
577, 0.64
578, 0.18
579, 0.40
580, 0.52
581, 0.26
582, 0.61
583, 0.31
584, 0.05
585, 0.20
586, 0.63
587, 0.54
588, 0.24
589, 0.96
590, 0.04
591, 0.05
592, 0.53
593, 0.12
594, 0.18
595, 0.68
596, 0.63
597, 0.23
598, 0.05
599, 0.29
600, 0.28
601, 0.07
602, 0.13
603, 0.73
604, 0.00
605, 0.15
606, 0.43
607, 0.00
608, 0.18
609, 0.48
610, 0.60
611, 0.28
612, 0.34
613, 0.30
614, 0.36
615, 0.00
616, 0.13
617, 0.18
618, 0.04
619, 0.35
620, 0.85
621, 0.71
622, 0.13
623, 0.42
624, 0.00
625, 0.23
626, 0.24
627, 0.00
628, 0.63
629, 0.58
630, 0.54
631, 0.26
