ID,Prob1
0, 0.48
1, 0.18
2, 0.43
3, 0.20
4, 0.12
5, 0.17
6, 0.31
7, 0.81
8, 0.86
9, 0.16
10, 0.62
11, 0.18
12, 0.37
13, 0.61
14, 0.33
15, 0.18
16, 0.28
17, 0.18
18, 0.22
19, 0.41
20, 0.41
21, 0.20
22, 0.41
23, 0.43
24, 0.24
25, 0.42
26, 0.42
27, 0.14
28, 0.18
29, 0.83
30, 0.13
31, 0.16
32, 0.36
33, 0.28
34, 0.54
35, 0.44
36, 0.18
37, 0.45
38, 0.52
39, 0.46
40, 0.37
41, 0.11
42, 0.23
43, 0.42
44, 0.66
45, 0.27
46, 0.26
47, 0.66
48, 0.41
49, 0.36
50, 0.78
51, 0.15
52, 0.38
53, 0.19
54, 0.59
55, 0.05
56, 0.76
57, 0.17
58, 0.15
59, 0.18
60, 0.47
61, 0.51
62, 0.27
63, 0.22
64, 0.22
65, 0.27
66, 0.68
67, 0.17
68, 0.29
69, 0.19
70, 0.81
71, 0.84
72, 0.52
73, 0.28
74, 0.14
75, 0.55
76, 0.11
77, 0.51
78, 0.16
79, 0.26
80, 0.45
81, 0.17
82, 0.22
83, 0.08
84, 0.35
85, 0.22
86, 0.59
87, 0.19
88, 0.16
89, 0.76
90, 0.17
91, 0.30
92, 0.21
93, 0.58
94, 0.16
95, 0.23
96, 0.37
97, 0.12
98, 0.16
99, 0.51
100, 0.05
101, 0.44
102, 0.46
103, 0.10
104, 0.18
105, 0.21
106, 0.33
107, 0.23
108, 0.29
109, 0.38
110, 0.37
111, 0.32
112, 0.13
113, 0.25
114, 0.51
115, 0.04
116, 0.16
117, 0.27
118, 0.17
119, 0.34
120, 0.25
121, 0.36
122, 0.76
123, 0.45
124, 0.21
125, 0.41
126, 0.47
127, 0.34
128, 0.24
129, 0.13
130, 0.31
131, 0.52
132, 0.14
133, 0.44
134, 0.14
135, 0.48
136, 0.19
137, 0.03
138, 0.40
139, 0.07
140, 0.13
141, 0.33
142, 0.61
143, 0.17
144, 0.34
145, 0.15
146, 0.43
147, 0.18
148, 0.30
149, 0.43
150, 0.73
151, 0.24
152, 0.62
153, 0.15
154, 0.80
155, 0.17
156, 0.42
157, 0.23
158, 0.14
159, 0.26
160, 0.47
161, 0.10
162, 0.24
163, 0.09
164, 0.10
165, 0.32
166, 0.16
167, 0.34
168, 0.15
169, 0.16
170, 0.13
171, 0.50
172, 0.19
173, 0.51
174, 0.28
175, 0.27
176, 0.14
177, 0.23
178, 0.62
179, 0.14
180, 0.50
181, 0.78
182, 0.20
183, 0.17
184, 0.71
185, 0.35
186, 0.58
187, 0.78
188, 0.29
189, 0.22
190, 0.91
191, 0.16
192, 0.63
193, 0.15
194, 0.27
195, 0.65
196, 0.05
197, 0.19
198, 0.27
199, 0.14
200, 0.17
201, 0.16
202, 0.84
203, 0.15
204, 0.33
205, 0.21
206, 0.37
207, 0.29
208, 0.26
209, 0.66
210, 0.44
211, 0.39
212, 0.49
213, 0.51
214, 0.39
215, 0.26
216, 0.50
217, 0.16
218, 0.21
219, 0.46
220, 0.21
221, 0.33
222, 0.14
223, 0.62
224, 0.50
225, 0.22
226, 0.39
227, 0.36
228, 0.52
229, 0.07
230, 0.24
231, 0.79
232, 0.33
233, 0.24
234, 0.25
235, 0.35
236, 0.22
237, 0.42
238, 0.65
239, 0.44
240, 0.46
241, 0.23
242, 0.27
243, 0.17
244, 0.22
245, 0.13
246, 0.16
247, 0.68
248, 0.42
249, 0.13
250, 0.87
251, 0.32
252, 0.11
253, 0.12
254, 0.35
255, 0.13
256, 0.41
257, 0.14
258, 0.90
259, 0.17
260, 0.85
261, 0.38
262, 0.30
263, 0.11
264, 0.20
265, 0.26
266, 0.13
267, 0.35
268, 0.25
269, 0.50
270, 0.10
271, 0.02
272, 0.20
273, 0.31
274, 0.56
275, 0.27
276, 0.84
277, 0.87
278, 0.32
279, 0.24
280, 0.76
281, 0.18
282, 0.13
283, 0.31
284, 0.12
285, 0.58
286, 0.49
287, 0.30
288, 0.15
289, 0.37
290, 0.15
291, 0.30
292, 0.28
293, 0.25
294, 0.19
295, 0.10
296, 0.29
297, 0.08
298, 0.41
299, 0.74
300, 0.25
301, 0.32
302, 0.52
303, 0.51
304, 0.12
305, 0.62
306, 0.30
307, 0.36
308, 0.11
309, 0.75
310, 0.32
311, 0.20
312, 0.37
313, 0.14
314, 0.67
315, 0.45
316, 0.01
317, 0.53
318, 0.30
319, 0.51
320, 0.27
321, 0.40
322, 0.30
323, 0.44
324, 0.25
325, 0.37
326, 0.37
327, 0.46
328, 0.39
329, 0.20
330, 0.14
331, 0.54
332, 0.37
333, 0.35
334, 0.53
335, 0.16
336, 0.38
337, 0.88
338, 0.27
339, 0.24
340, 0.39
341, 0.19
342, 0.07
343, 0.08
344, 0.24
345, 0.65
346, 0.58
347, 0.02
348, 0.07
349, 0.46
350, 0.15
351, 0.47
352, 0.26
353, 0.55
354, 0.36
355, 0.20
356, 0.11
357, 0.40
358, 0.41
359, 0.24
360, 0.32
361, 0.10
362, 0.22
363, 0.48
364, 0.37
365, 0.77
366, 0.24
367, 0.39
368, 0.26
369, 0.47
370, 0.18
371, 0.25
372, 0.33
373, 0.31
374, 0.56
375, 0.15
376, 0.59
377, 0.16
378, 0.59
379, 0.15
380, 0.49
381, 0.17
382, 0.34
383, 0.67
384, 0.35
385, 0.43
386, 0.35
387, 0.41
388, 0.23
389, 0.28
390, 0.11
