ID,Prob1
0, 0.89
1, 0.15
2, 0.14
3, 0.18
4, 0.11
5, 0.01
6, 0.28
7, 0.80
8, 0.71
9, 0.14
10, 0.56
11, 0.11
12, 0.43
13, 0.87
14, 0.19
15, 0.20
16, 0.34
17, 0.19
18, 0.19
19, 0.37
20, 0.45
21, 0.03
22, 0.31
23, 0.75
24, 0.16
25, 0.39
26, 0.64
27, 0.10
28, 0.14
29, 0.80
30, 0.11
31, 0.08
32, 0.77
33, 0.12
34, 0.70
35, 0.58
36, 0.09
37, 0.59
38, 0.65
39, 0.20
40, 0.63
41, 0.03
42, 0.08
43, 0.31
44, 0.67
45, 0.18
46, 0.25
47, 0.61
48, 0.52
49, 0.32
50, 0.84
51, 0.02
52, 0.38
53, 0.21
54, 0.58
55, 0.03
56, 0.82
57, 0.05
58, 0.08
59, 0.09
60, 0.44
61, 0.42
62, 0.11
63, 0.28
64, 0.21
65, 0.13
66, 0.86
67, 0.09
68, 0.23
69, 0.14
70, 0.88
71, 0.90
72, 0.70
73, 0.23
74, 0.15
75, 0.79
76, 0.01
77, 0.84
78, 0.12
79, 0.24
80, 0.49
81, 0.09
82, 0.08
83, 0.04
84, 0.03
85, 0.17
86, 0.51
87, 0.08
88, 0.06
89, 0.86
90, 0.15
91, 0.23
92, 0.24
93, 0.42
94, 0.15
95, 0.17
96, 0.61
97, 0.07
98, 0.16
99, 0.53
100, 0.02
101, 0.53
102, 0.67
103, 0.14
104, 0.09
105, 0.06
106, 0.53
107, 0.29
108, 0.49
109, 0.26
110, 0.60
111, 0.59
112, 0.26
113, 0.38
114, 0.45
115, 0.02
116, 0.10
117, 0.07
118, 0.08
119, 0.33
120, 0.29
121, 0.47
122, 0.77
123, 0.51
124, 0.25
125, 0.31
126, 0.89
127, 0.06
128, 0.23
129, 0.10
130, 0.56
131, 0.52
132, 0.05
133, 0.63
134, 0.07
135, 0.63
136, 0.11
137, 0.01
138, 0.37
139, -0.01
140, 0.10
141, 0.35
142, 0.68
143, 0.08
144, 0.43
145, 0.07
146, 0.29
147, 0.16
148, 0.28
149, 0.66
150, 0.98
151, 0.20
152, 0.78
153, 0.04
154, 0.95
155, 0.04
156, 0.37
157, 0.12
158, 0.05
159, 0.15
160, 0.72
161, 0.04
162, 0.31
163, 0.04
164, 0.02
165, 0.33
166, 0.20
167, 0.39
168, -0.01
169, 0.12
170, 0.06
171, 0.69
172, 0.17
173, 0.53
174, 0.26
175, 0.06
176, 0.12
177, 0.16
178, 0.64
179, 0.09
180, 0.45
181, 0.94
182, 0.02
183, 0.16
184, 0.93
185, 0.19
186, 0.56
187, 0.86
188, 0.04
189, 0.09
190, 0.98
191, 0.01
192, 0.76
193, 0.05
194, 0.24
195, 0.81
196, 0.03
197, 0.11
198, 0.29
199, 0.03
200, 0.11
201, 0.21
202, 0.92
203, 0.02
204, 0.26
205, 0.16
206, 0.22
207, 0.17
208, 0.16
209, 0.73
210, 0.47
211, 0.41
212, 0.67
213, 0.52
214, 0.38
215, 0.29
216, 0.60
217, 0.03
218, 0.30
219, 0.66
220, 0.15
221, 0.08
222, 0.03
223, 0.71
224, 0.69
225, 0.28
226, 0.38
227, 0.36
228, 0.84
229, 0.01
230, 0.11
231, 0.67
232, 0.52
233, 0.24
234, 0.15
235, 0.39
236, 0.05
237, 0.43
238, 0.66
239, 0.44
240, 0.26
241, 0.17
242, 0.23
243, 0.03
244, 0.12
245, 0.10
246, 0.11
247, 0.72
248, 0.48
249, 0.11
250, 0.99
251, 0.32
252, 0.03
253, 0.03
254, 0.53
255, 0.03
256, 0.49
257, 0.01
258, 0.98
259, 0.22
260, 0.78
261, 0.25
262, 0.31
263, 0.05
264, 0.09
265, 0.22
266, 0.05
267, 0.55
268, 0.39
269, 0.33
270, 0.05
271, -0.00
272, 0.19
273, 0.37
274, 0.43
275, 0.21
276, 0.90
277, 0.98
278, 0.36
279, 0.30
280, 0.96
281, 0.17
282, 0.07
283, 0.18
284, 0.03
285, 0.42
286, 0.92
287, 0.33
288, 0.02
289, 0.57
290, 0.05
291, 0.24
292, 0.13
293, 0.36
294, 0.18
295, 0.05
296, 0.22
297, 0.08
298, 0.72
299, 0.90
300, 0.13
301, 0.03
302, 0.41
303, 0.45
304, 0.16
305, 0.71
306, 0.18
307, 0.35
308, 0.06
309, 0.86
310, 0.56
311, 0.09
312, 0.38
313, 0.06
314, 0.76
315, 0.32
316, 0.01
317, 0.51
318, 0.32
319, 0.34
320, 0.11
321, 0.40
322, 0.32
323, 0.49
324, 0.14
325, 0.19
326, 0.41
327, 0.65
328, 0.47
329, 0.16
330, 0.06
331, 0.49
332, 0.41
333, 0.67
334, 0.89
335, 0.12
336, 0.58
337, 0.95
338, 0.07
339, 0.16
340, 0.32
341, 0.15
342, 0.00
343, -0.01
344, 0.34
345, 0.61
346, 0.53
347, -0.00
348, 0.04
349, 0.55
350, 0.05
351, 0.52
352, 0.18
353, 0.64
354, 0.16
355, 0.19
356, 0.06
357, 0.53
358, 0.47
359, 0.43
360, 0.09
361, 0.04
362, 0.33
363, 0.64
364, 0.25
365, 0.81
366, 0.11
367, 0.35
368, 0.28
369, 0.63
370, 0.15
371, 0.33
372, 0.19
373, 0.35
374, 0.55
375, 0.15
376, 0.77
377, 0.12
378, 0.59
379, 0.13
380, 0.47
381, 0.09
382, 0.36
383, 0.87
384, 0.30
385, 0.38
386, 0.16
387, 0.34
388, 0.27
389, 0.18
390, 0.16
391, 0.22
392, 0.78
393, 0.21
394, 0.63
395, 0.33
396, 0.90
397, 0.05
398, 0.17
399, 0.88
400, 0.23
401, 0.61
402, 0.03
403, 0.08
404, 0.90
405, 0.08
406, 0.45
407, 0.27
408, 0.07
409, 0.29
410, 0.12
