ID,Prob1
0, 0.34
1, 0.26
2, 0.54
3, 0.23
4, 0.16
5, 0.30
6, 0.39
7, 0.83
8, 0.73
9, 0.15
10, 0.27
11, 0.25
12, 0.36
13, 0.52
14, 0.36
15, 0.21
16, 0.35
17, 0.12
18, 0.23
19, 0.31
20, 0.40
21, 0.28
22, 0.40
23, 0.27
24, 0.25
25, 0.43
26, 0.34
27, 0.13
28, 0.18
29, 0.84
30, 0.12
31, 0.22
32, 0.26
33, 0.24
34, 0.47
35, 0.41
36, 0.15
37, 0.35
38, 0.38
39, 0.56
40, 0.25
41, 0.15
42, 0.30
43, 0.49
44, 0.44
45, 0.36
46, 0.28
47, 0.47
48, 0.36
49, 0.31
50, 0.66
51, 0.24
52, 0.36
53, 0.27
54, 0.61
55, 0.11
56, 0.55
57, 0.25
58, 0.19
59, 0.18
60, 0.35
61, 0.50
62, 0.25
63, 0.16
64, 0.23
65, 0.33
66, 0.57
67, 0.15
68, 0.28
69, 0.21
70, 0.83
71, 0.88
72, 0.45
73, 0.26
74, 0.18
75, 0.46
76, 0.15
77, 0.43
78, 0.24
79, 0.36
80, 0.29
81, 0.17
82, 0.25
83, 0.17
84, 0.61
85, 0.29
86, 0.73
87, 0.16
88, 0.21
89, 0.59
90, 0.18
91, 0.25
92, 0.21
93, 0.62
94, 0.10
95, 0.30
96, 0.32
97, 0.09
98, 0.10
99, 0.60
100, 0.31
101, 0.54
102, 0.29
103, 0.19
104, 0.14
105, 0.31
106, 0.18
107, 0.20
108, 0.22
109, 0.32
110, 0.35
111, 0.21
112, 0.07
113, 0.31
114, 0.52
115, 0.03
116, 0.14
117, 0.27
118, 0.20
119, 0.34
120, 0.13
121, 0.39
122, 0.77
123, 0.52
124, 0.12
125, 0.39
126, 0.31
127, 0.39
128, 0.32
129, 0.13
130, 0.49
131, 0.52
132, 0.25
133, 0.25
134, 0.10
135, 0.36
136, 0.24
137, 0.10
138, 0.28
139, 0.10
140, 0.14
141, 0.34
142, 0.65
143, 0.21
144, 0.23
145, 0.25
146, 0.45
147, 0.27
148, 0.33
149, 0.33
150, 0.64
151, 0.30
152, 0.41
153, 0.11
154, 0.76
155, 0.31
156, 0.40
157, 0.35
158, 0.07
159, 0.27
160, 0.38
161, 0.18
162, 0.28
163, 0.15
164, 0.19
165, 0.30
166, 0.14
167, 0.43
168, 0.28
169, 0.13
170, 0.13
171, 0.38
172, 0.14
173, 0.48
174, 0.37
175, 0.32
176, 0.21
177, 0.25
178, 0.63
179, 0.15
180, 0.47
181, 0.63
182, 0.28
183, 0.16
184, 0.71
185, 0.26
186, 0.68
187, 0.68
188, 0.30
189, 0.32
190, 0.98
191, 0.31
192, 0.48
193, 0.07
194, 0.34
195, 0.40
196, 0.16
197, 0.22
198, 0.30
199, 0.16
200, 0.16
201, 0.20
202, 0.77
203, 0.23
204, 0.36
205, 0.21
206, 0.26
207, 0.38
208, 0.34
209, 0.53
210, 0.38
211, 0.34
212, 0.39
213, 0.49
214, 0.38
215, 0.13
216, 0.45
217, 0.24
218, 0.11
219, 0.44
220, 0.22
221, 0.40
222, 0.29
223, 0.58
224, 0.39
225, 0.19
226, 0.53
227, 0.40
228, 0.37
229, 0.08
230, 0.24
231, 0.70
232, 0.38
233, 0.26
234, 0.31
235, 0.38
236, 0.14
237, 0.40
238, 0.66
239, 0.39
240, 0.44
241, 0.16
242, 0.24
243, 0.21
244, 0.24
245, 0.21
246, 0.23
247, 0.70
248, 0.37
249, 0.16
250, 0.71
251, 0.23
252, 0.09
253, 0.14
254, 0.32
255, 0.17
256, 0.39
257, 0.20
258, 0.80
259, 0.15
260, 0.59
261, 0.43
262, 0.39
263, 0.05
264, 0.29
265, 0.22
266, 0.21
267, 0.28
268, 0.18
269, 0.47
270, 0.06
271, 0.10
272, 0.15
273, 0.33
274, 0.62
275, 0.29
276, 0.71
277, 0.80
278, 0.36
279, 0.29
280, 0.63
281, 0.28
282, 0.18
283, 0.25
284, 0.18
285, 0.55
286, 0.30
287, 0.38
288, 0.22
289, 0.30
290, 0.22
291, 0.30
292, 0.19
293, 0.38
294, 0.18
295, 0.07
296, 0.31
297, 0.09
298, 0.23
299, 0.72
300, 0.30
301, 0.36
302, 0.56
303, 0.44
304, 0.23
305, 0.40
306, 0.27
307, 0.27
308, 0.13
309, 0.45
310, 0.29
311, 0.28
312, 0.35
313, 0.14
314, 0.58
315, 0.43
316, 0.03
317, 0.47
318, 0.22
319, 0.53
320, 0.35
321, 0.46
322, 0.24
323, 0.40
324, 0.23
325, 0.35
326, 0.32
327, 0.41
328, 0.26
329, 0.22
330, 0.12
331, 0.52
332, 0.39
333, 0.29
334, 0.41
335, 0.15
336, 0.32
337, 0.91
338, 0.32
339, 0.21
340, 0.39
341, 0.21
342, 0.11
343, 0.04
344, 0.25
345, 0.57
346, 0.63
347, -0.02
348, 0.05
349, 0.29
350, 0.05
351, 0.32
352, 0.19
353, 0.42
354, 0.39
355, 0.15
356, 0.04
357, 0.51
358, 0.23
359, 0.20
360, 0.23
361, 0.14
362, 0.15
363, 0.59
364, 0.25
365, 0.79
366, 0.29
367, 0.36
368, 0.28
369, 0.39
370, 0.23
371, 0.24
372, 0.34
373, 0.20
374, 0.57
375, 0.30
376, 0.55
377, 0.09
378, 0.61
379, 0.24
380, 0.47
381, 0.15
382, 0.33
383, 0.74
384, 0.35
385, 0.43
386, 0.26
387, 0.36
388, 0.19
389, 0.28
390, 0.02
391, 0.21
392, 0.60
393, 0.24
394, 0.50
395, 0.36
396, 0.34
397, 0.31
398, 0.30
399, 0.84
400, 0.44
401, 0.31
402, 0.13
403, 0.17
404, 0.44
405, 0.23
406, 0.50
407, 0.26
408, 0.23
409, 0.40
410, 0.05
411, 0.33
412, 0.44
413, 0.39
414, 0.19
415, 0.13
416, 0.40
417, 0.20
418, 0.19
419, 0.46
420, 0.33
421, 0.22
422, 0.41
423, 0.24
424, 0.32
425, 0.38
426, 0.20
427, 0.27
428, 0.20
429, 0.12
430, 0.30
431, 0.67
432, 0.16
433, 0.21
434, 0.66
435, 0.27
436, 0.41
437, 0.56
438, 0.37
439, 0.15
440, 0.18
441, 0.27
442, 0.54
443, 0.28
444, 0.18
445, 0.09
446, 0.54
447, 0.25
448, 0.78
449, 0.35
450, 0.27
451, 0.59
452, 0.36
453, 0.52
454, 0.29
455, 0.13
456, 0.72
457, 0.37
458, 0.42
459, 0.31
460, 0.71
461, 0.18
462, 0.21
463, 0.24
464, 0.28
465, 0.14
466, 0.26
467, 0.41
468, 0.27
469, 0.42
470, 0.31
471, 0.42
472, 0.19
473, 0.37
474, 0.46
475, 0.31
476, 0.22
477, 0.22
478, 0.19
479, 0.17
480, 0.03
481, 0.35
482, 0.49
483, 0.34
484, 0.07
485, 0.76
486, 0.82
487, 0.63
488, 0.37
489, 0.54
490, 0.24
491, 0.35
492, 0.07
493, 0.20
494, 0.63
495, 0.52
496, 0.79
497, 0.63
498, 0.75
499, 0.54
500, 0.41
501, 0.30
502, 0.32
503, 0.17
504, 0.53
505, 0.12
506, 0.40
507, 0.06
508, 0.33
509, 0.38
510, 0.36
511, 0.14
512, 0.23
513, 0.04
514, 0.31
515, 0.63
516, 0.13
517, 0.46
518, 0.38
519, 0.86
520, 0.69
521, 0.33
522, 0.26
523, 0.50
524, 0.24
525, 0.43
526, 0.24
527, 0.38
528, 0.41
529, 0.20
530, 0.35
531, 0.33
532, 0.37
533, 0.26
534, 0.70
535, 0.49
536, 0.32
537, 0.16
538, 0.16
539, 0.62
540, 0.06
541, 0.06
542, 0.76
543, 0.49
544, 0.18
545, 0.63
546, 0.52
547, 0.13
548, 0.48
549, 0.10
550, 0.62
551, 0.26
552, 0.67
553, 0.20
554, 0.36
555, 0.13
556, 0.25
557, 0.24
558, 0.37
559, 0.22
560, 0.33
561, 0.39
562, 0.11
563, 0.26
564, 0.27
565, 0.25
566, 0.14
567, 0.48
568, 0.30
569, 0.23
570, 0.40
571, 0.16
572, 0.14
573, 0.47
574, 0.39
575, 0.27
576, 0.13
577, 0.45
578, 0.27
579, 0.44
580, 0.66
581, 0.14
582, 0.63
583, 0.48
584, 0.13
585, 0.21
586, 0.71
587, 0.49
588, 0.14
589, 0.66
590, 0.03
591, 0.09
592, 0.68
593, 0.34
594, 0.30
595, 0.37
596, 0.42
597, 0.33
598, 0.17
599, 0.29
600, 0.39
601, 0.20
602, 0.25
603, 0.65
604, 0.11
605, 0.07
606, 0.49
607, 0.15
608, 0.33
609, 0.41
610, 0.39
611, 0.76
612, 0.50
613, 0.36
614, 0.35
615, 0.05
616, 0.37
617, 0.26
618, 0.12
619, 0.32
620, 0.54
621, 0.49
622, 0.32
623, 0.20
624, 0.20
625, 0.46
