ID,Prob1
0, 0.58
1, 0.33
2, 0.45
3, 0.22
4, 0.19
5, 0.20
6, 0.29
7, 0.81
8, 0.58
9, 0.24
10, 0.75
11, 0.24
12, 0.43
13, 0.70
14, 0.31
15, 0.37
16, 0.38
17, 0.26
18, 0.18
19, 0.49
20, 0.46
21, 0.26
22, 0.44
23, 0.58
24, 0.25
25, 0.37
26, 0.45
27, 0.19
28, 0.20
29, 0.69
30, 0.17
31, 0.19
32, 0.35
33, 0.26
34, 0.58
35, 0.51
36, 0.21
37, 0.41
38, 0.54
39, 0.42
40, 0.42
41, 0.16
42, 0.28
43, 0.47
44, 0.64
45, 0.30
46, 0.45
47, 0.51
48, 0.45
49, 0.48
50, 0.75
51, 0.22
52, 0.39
53, 0.15
54, 0.58
55, 0.15
56, 0.64
57, 0.18
58, 0.21
59, 0.23
60, 0.56
61, 0.50
62, 0.20
63, 0.28
64, 0.27
65, 0.33
66, 0.84
67, 0.20
68, 0.28
69, 0.29
70, 0.77
71, 0.85
72, 0.59
73, 0.30
74, 0.29
75, 0.59
76, 0.17
77, 0.45
78, 0.19
79, 0.34
80, 0.52
81, 0.20
82, 0.20
83, 0.14
84, 0.31
85, 0.28
86, 0.51
87, 0.25
88, 0.23
89, 0.78
90, 0.20
91, 0.27
92, 0.26
93, 0.47
94, 0.26
95, 0.23
96, 0.38
97, 0.12
98, 0.21
99, 0.50
100, 0.13
101, 0.61
102, 0.43
103, 0.25
104, 0.23
105, 0.30
106, 0.33
107, 0.29
108, 0.38
109, 0.36
110, 0.42
111, 0.34
112, 0.23
113, 0.35
114, 0.37
115, 0.11
116, 0.21
117, 0.24
118, 0.25
119, 0.31
120, 0.21
121, 0.37
122, 0.72
123, 0.51
124, 0.29
125, 0.35
126, 0.40
127, 0.27
128, 0.34
129, 0.20
130, 0.58
131, 0.54
132, 0.21
133, 0.60
134, 0.26
135, 0.42
136, 0.20
137, 0.08
138, 0.38
139, 0.18
140, 0.23
141, 0.30
142, 0.56
143, 0.26
144, 0.56
145, 0.13
146, 0.39
147, 0.27
148, 0.38
149, 0.43
150, 0.71
151, 0.29
152, 0.69
153, 0.27
154, 0.83
155, 0.19
156, 0.45
157, 0.23
158, 0.16
159, 0.27
160, 0.33
161, 0.17
162, 0.31
163, 0.20
164, 0.12
165, 0.47
166, 0.29
167, 0.46
168, 0.23
169, 0.22
170, 0.22
171, 0.59
172, 0.27
173, 0.55
174, 0.38
175, 0.31
176, 0.18
177, 0.31
178, 0.60
179, 0.15
180, 0.48
181, 0.78
182, 0.20
183, 0.23
184, 0.73
185, 0.33
186, 0.46
187, 0.77
188, 0.32
189, 0.34
190, 0.87
191, 0.16
192, 0.52
193, 0.21
194, 0.29
195, 0.71
196, 0.09
197, 0.16
198, 0.27
199, 0.19
200, 0.19
201, 0.21
202, 0.75
203, 0.18
204, 0.47
205, 0.27
206, 0.29
207, 0.39
208, 0.34
209, 0.67
210, 0.59
211, 0.53
212, 0.65
213, 0.40
214, 0.33
215, 0.24
216, 0.60
217, 0.17
218, 0.38
219, 0.43
220, 0.25
221, 0.14
222, 0.15
223, 0.59
224, 0.56
225, 0.32
226, 0.42
227, 0.47
228, 0.54
229, 0.08
230, 0.28
231, 0.69
232, 0.56
233, 0.37
234, 0.24
235, 0.45
236, 0.29
237, 0.44
238, 0.64
239, 0.38
240, 0.41
241, 0.26
242, 0.21
243, 0.24
244, 0.26
245, 0.28
246, 0.25
247, 0.71
248, 0.47
249, 0.18
250, 0.91
251, 0.31
252, 0.23
253, 0.11
254, 0.52
255, 0.17
256, 0.48
257, 0.18
258, 0.81
259, 0.27
260, 0.85
261, 0.36
262, 0.40
263, 0.19
264, 0.27
265, 0.26
266, 0.16
267, 0.34
268, 0.25
269, 0.45
270, 0.21
271, 0.07
272, 0.20
273, 0.32
274, 0.55
275, 0.39
276, 0.76
277, 0.80
278, 0.35
279, 0.27
280, 0.81
281, 0.22
282, 0.23
283, 0.29
284, 0.20
285, 0.54
286, 0.71
287, 0.39
288, 0.15
289, 0.32
290, 0.26
291, 0.26
292, 0.19
293, 0.47
294, 0.28
295, 0.14
296, 0.30
297, 0.23
298, 0.57
299, 0.74
300, 0.24
301, 0.19
302, 0.50
303, 0.57
304, 0.18
305, 0.56
306, 0.40
307, 0.39
308, 0.20
309, 0.81
310, 0.46
311, 0.22
312, 0.42
313, 0.16
314, 0.64
315, 0.37
316, 0.04
317, 0.65
318, 0.36
319, 0.33
320, 0.31
321, 0.39
322, 0.41
323, 0.43
324, 0.38
325, 0.37
326, 0.34
327, 0.36
328, 0.40
329, 0.20
330, 0.19
331, 0.47
332, 0.55
333, 0.40
334, 0.51
335, 0.21
336, 0.37
337, 0.77
338, 0.28
339, 0.30
340, 0.44
341, 0.26
342, 0.08
343, 0.11
344, 0.29
345, 0.65
346, 0.47
347, 0.07
348, 0.16
349, 0.51
350, 0.26
351, 0.58
352, 0.30
353, 0.44
354, 0.30
355, 0.29
356, 0.17
357, 0.47
358, 0.49
359, 0.24
360, 0.34
361, 0.14
362, 0.29
363, 0.60
364, 0.25
365, 0.74
366, 0.30
367, 0.42
368, 0.29
369, 0.57
370, 0.28
371, 0.33
372, 0.33
373, 0.29
374, 0.51
375, 0.19
376, 0.71
377, 0.15
378, 0.49
379, 0.21
380, 0.44
381, 0.25
382, 0.43
383, 0.76
384, 0.42
385, 0.49
386, 0.35
387, 0.36
388, 0.26
389, 0.34
390, 0.17
391, 0.29
392, 0.64
393, 0.26
394, 0.50
395, 0.51
396, 0.63
397, 0.20
398, 0.26
399, 0.66
400, 0.28
401, 0.44
402, 0.11
403, 0.23
404, 0.67
405, 0.16
406, 0.45
407, 0.34
408, 0.23
409, 0.37
410, 0.19
411, 0.43
412, 0.26
413, 0.27
414, 0.20
415, 0.33
416, 0.51
417, 0.22
418, 0.19
419, 0.52
420, 0.44
421, 0.26
422, 0.41
423, 0.26
424, 0.31
425, 0.42
426, 0.25
427, 0.42
428, 0.32
429, 0.14
430, 0.36
431, 0.58
432, 0.20
433, 0.17
434, 0.51
435, 0.29
436, 0.64
437, 0.55
438, 0.40
439, 0.18
440, 0.47
441, 0.24
442, 0.70
443, 0.34
444, 0.24
445, 0.35
446, 0.69
447, 0.22
448, 0.77
449, 0.32
450, 0.32
451, 0.75
452, 0.49
453, 0.50
454, 0.31
455, 0.20
456, 0.60
457, 0.34
458, 0.38
459, 0.29
460, 0.58
461, 0.23
462, 0.26
463, 0.23
464, 0.19
465, 0.05
466, 0.27
467, 0.42
468, 0.28
469, 0.22
470, 0.52
471, 0.53
472, 0.24
473, 0.50
474, 0.27
475, 0.35
476, 0.20
477, 0.21
478, 0.48
479, 0.25
480, 0.34
481, 0.28
482, 0.32
483, 0.59
484, 0.24
485, 0.85
486, 0.56
487, 0.48
488, 0.37
489, 0.57
490, 0.27
491, 0.31
492, 0.27
493, 0.31
494, 0.40
495, 0.41
496, 0.74
497, 0.67
498, 0.91
499, 0.58
500, 0.33
501, 0.37
502, 0.33
503, 0.31
504, 0.59
505, 0.29
506, 0.45
507, 0.17
508, 0.25
509, 0.32
510, 0.49
511, 0.31
512, 0.17
513, 0.06
514, 0.37
515, 0.52
516, 0.11
517, 0.48
518, 0.39
519, 0.82
520, 0.60
521, 0.32
522, 0.41
523, 0.45
524, 0.33
525, 0.56
526, 0.27
527, 0.43
528, 0.49
529, 0.26
530, 0.27
531, 0.44
532, 0.42
533, 0.27
534, 0.64
535, 0.50
536, 0.35
537, 0.32
538, 0.18
539, 0.33
540, 0.16
541, 0.14
542, 0.64
543, 0.44
544, 0.25
545, 0.46
546, 0.49
547, 0.28
548, 0.82
549, 0.19
550, 0.50
551, 0.33
552, 0.70
553, 0.25
554, 0.30
555, 0.13
556, 0.27
557, 0.30
558, 0.40
559, 0.25
560, 0.37
561, 0.35
562, 0.21
563, 0.28
564, 0.30
565, 0.31
566, 0.17
567, 0.51
568, 0.39
569, 0.28
570, 0.38
571, 0.15
572, 0.23
573, 0.44
574, 0.37
575, 0.32
576, 0.32
577, 0.55
578, 0.43
579, 0.35
580, 0.55
581, 0.26
582, 0.62
583, 0.44
584, 0.23
585, 0.21
586, 0.69
587, 0.50
588, 0.34
