ID,Prob1
0, 0.31
1, 0.36
2, 0.43
3, 0.28
4, 0.14
5, 0.34
6, 0.31
7, 0.67
8, 0.61
9, 0.24
10, 0.35
11, 0.33
12, 0.31
13, 0.50
14, 0.35
15, 0.14
16, 0.33
17, 0.16
18, 0.17
19, 0.40
20, 0.36
21, 0.30
22, 0.33
23, 0.30
24, 0.32
25, 0.39
26, 0.32
27, 0.20
28, 0.33
29, 0.67
30, 0.18
31, 0.52
32, 0.13
33, 0.32
34, 0.51
35, 0.35
36, 0.42
37, 0.40
38, 0.39
39, 0.51
40, 0.34
41, 0.33
42, 0.38
43, 0.26
44, 0.49
45, 0.38
46, 0.27
47, 0.47
48, 0.30
49, 0.26
50, 0.57
51, 0.43
52, 0.32
53, 0.38
54, 0.47
55, 0.13
56, 0.72
57, 0.21
58, 0.28
59, 0.31
60, 0.35
61, 0.47
62, 0.42
63, 0.21
64, 0.15
65, 0.38
66, 0.46
67, 0.13
68, 0.15
69, 0.32
70, 0.72
71, 0.73
72, 0.29
73, 0.40
74, 0.12
75, 0.46
76, 0.19
77, 0.31
78, 0.14
79, 0.39
80, 0.34
81, 0.15
82, 0.40
83, 0.48
84, 0.49
85, 0.24
86, 0.73
87, 0.18
88, 0.17
89, 0.61
90, 0.17
91, 0.27
92, 0.29
93, 0.35
94, 0.15
95, 0.33
96, 0.33
97, 0.17
98, 0.19
99, 0.60
100, 0.39
101, 0.48
102, 0.29
103, 0.28
104, 0.26
105, 0.27
106, 0.22
107, 0.27
108, 0.27
109, 0.18
110, 0.29
111, 0.25
112, 0.26
113, 0.33
114, 0.77
115, 0.08
116, 0.18
117, 0.34
118, 0.25
119, 0.33
120, 0.17
121, 0.27
122, 0.61
123, 0.51
124, 0.21
125, 0.31
126, 0.28
127, 0.48
128, 0.33
129, 0.18
130, 0.49
131, 0.28
132, 0.18
133, 0.21
134, 0.18
135, 0.26
136, 0.18
137, 0.22
138, 0.29
139, 0.10
140, 0.32
141, 0.33
142, 0.78
143, 0.18
144, 0.32
145, 0.18
146, 0.46
147, 0.16
148, 0.32
149, 0.31
150, 0.38
151, 0.25
152, 0.41
153, 0.19
154, 0.65
155, 0.29
156, 0.29
157, 0.35
158, 0.14
159, 0.60
160, 0.36
161, 0.21
162, 0.29
163, 0.24
164, 0.30
165, 0.27
166, 0.20
167, 0.21
168, 0.37
169, 0.21
170, 0.35
171, 0.25
172, 0.14
173, 0.67
174, 0.43
175, 0.28
176, 0.43
177, 0.43
178, 0.56
179, 0.25
180, 0.65
181, 0.34
182, 0.43
183, 0.13
184, 0.61
185, 0.26
186, 0.65
187, 0.60
188, 0.35
189, 0.27
190, 0.83
191, 0.53
192, 0.51
193, 0.24
194, 0.16
195, 0.31
196, 0.43
197, 0.47
198, 0.33
199, 0.26
200, 0.17
201, 0.27
202, 0.69
203, 0.24
204, 0.49
205, 0.21
206, 0.15
207, 0.18
208, 0.22
209, 0.56
210, 0.29
211, 0.35
