ID,Prob1
0, 0.56
1, 0.26
2, 0.33
3, 0.26
4, 0.32
5, 0.24
6, 0.29
7, 0.69
8, 0.70
9, 0.25
10, 0.50
11, 0.26
12, 0.51
13, 0.73
14, 0.35
15, 0.32
16, 0.39
17, 0.28
18, 0.34
19, 0.44
20, 0.50
21, 0.25
22, 0.40
23, 0.59
24, 0.27
25, 0.40
26, 0.52
27, 0.27
28, 0.28
29, 0.70
30, 0.22
31, 0.21
32, 0.58
33, 0.27
34, 0.48
35, 0.51
36, 0.24
37, 0.56
38, 0.55
39, 0.40
40, 0.51
41, 0.24
42, 0.30
43, 0.45
44, 0.65
45, 0.30
46, 0.34
47, 0.72
48, 0.46
49, 0.42
50, 0.68
51, 0.23
52, 0.49
53, 0.30
54, 0.56
55, 0.12
56, 0.66
57, 0.27
58, 0.20
59, 0.27
60, 0.47
61, 0.50
62, 0.28
63, 0.31
64, 0.33
65, 0.33
66, 0.85
67, 0.24
68, 0.33
69, 0.30
70, 0.71
71, 0.86
72, 0.62
73, 0.37
74, 0.26
75, 0.66
76, 0.15
77, 0.76
78, 0.19
79, 0.37
80, 0.48
81, 0.23
82, 0.20
83, 0.19
84, 0.16
85, 0.29
86, 0.51
87, 0.17
88, 0.22
89, 0.67
90, 0.31
91, 0.41
92, 0.33
93, 0.49
94, 0.30
95, 0.21
96, 0.58
97, 0.12
98, 0.25
99, 0.50
100, 0.14
101, 0.54
102, 0.54
103, 0.29
104, 0.37
105, 0.26
106, 0.36
107, 0.39
108, 0.38
109, 0.45
110, 0.47
111, 0.42
112, 0.24
113, 0.35
114, 0.41
115, 0.15
116, 0.21
117, 0.25
118, 0.23
119, 0.32
120, 0.34
121, 0.41
122, 0.73
123, 0.63
124, 0.31
125, 0.50
126, 0.72
127, 0.24
128, 0.30
129, 0.17
130, 0.50
131, 0.50
132, 0.18
133, 0.51
134, 0.26
135, 0.60
136, 0.28
137, 0.11
138, 0.38
139, 0.22
140, 0.25
141, 0.40
142, 0.56
143, 0.23
144, 0.44
145, 0.23
146, 0.40
147, 0.29
148, 0.33
149, 0.75
150, 0.71
151, 0.30
152, 0.74
153, 0.52
154, 0.80
155, 0.15
156, 0.41
157, 0.20
158, 0.28
159, 0.29
160, 0.60
161, 0.18
162, 0.27
163, 0.16
164, 0.13
165, 0.45
166, 0.20
167, 0.41
168, 0.21
169, 0.25
170, 0.24
171, 0.49
172, 0.33
173, 0.55
174, 0.34
175, 0.29
176, 0.23
177, 0.31
178, 0.62
179, 0.24
180, 0.51
181, 0.73
182, 0.19
183, 0.28
184, 0.77
185, 0.36
186, 0.56
187, 0.74
188, 0.25
189, 0.26
190, 0.83
191, 0.19
192, 0.58
193, 0.26
194, 0.30
195, 0.65
196, 0.12
197, 0.20
198, 0.39
199, 0.22
200, 0.28
201, 0.26
202, 0.74
