ID,Prob1
0, 0.63
1, 0.28
2, 0.28
3, 0.25
4, 0.32
5, 0.23
6, 0.31
7, 0.66
8, 0.72
9, 0.26
10, 0.45
11, 0.26
12, 0.51
13, 0.71
14, 0.43
15, 0.36
16, 0.40
17, 0.25
18, 0.36
19, 0.43
20, 0.42
21, 0.25
22, 0.43
23, 0.62
24, 0.28
25, 0.44
26, 0.55
27, 0.26
28, 0.27
29, 0.68
30, 0.23
31, 0.26
32, 0.61
33, 0.30
34, 0.49
35, 0.51
36, 0.33
37, 0.62
38, 0.51
39, 0.42
40, 0.46
41, 0.25
42, 0.26
43, 0.48
44, 0.65
45, 0.31
46, 0.38
47, 0.68
48, 0.51
49, 0.42
50, 0.69
51, 0.18
52, 0.47
53, 0.31
54, 0.59
55, 0.22
56, 0.67
57, 0.30
58, 0.26
59, 0.31
60, 0.46
61, 0.58
62, 0.29
63, 0.30
64, 0.30
65, 0.38
66, 0.75
67, 0.27
68, 0.32
69, 0.29
70, 0.74
71, 0.81
72, 0.55
73, 0.31
74, 0.25
75, 0.64
76, 0.22
77, 0.71
78, 0.21
79, 0.46
80, 0.47
81, 0.27
82, 0.23
83, 0.27
84, 0.14
85, 0.29
86, 0.50
87, 0.20
88, 0.26
89, 0.51
90, 0.31
91, 0.35
92, 0.37
93, 0.46
94, 0.33
95, 0.21
96, 0.61
97, 0.17
98, 0.21
99, 0.56
100, 0.18
101, 0.52
102, 0.58
103, 0.35
104, 0.45
105, 0.27
106, 0.42
107, 0.40
108, 0.39
109, 0.43
110, 0.45
111, 0.48
112, 0.23
113, 0.33
114, 0.41
115, 0.21
116, 0.23
117, 0.32
118, 0.25
119, 0.30
120, 0.32
121, 0.42
122, 0.71
123, 0.63
124, 0.34
125, 0.44
126, 0.83
127, 0.28
128, 0.34
129, 0.22
130, 0.48
131, 0.49
132, 0.22
133, 0.55
134, 0.25
135, 0.63
136, 0.27
137, 0.22
138, 0.37
139, 0.29
140, 0.28
141, 0.37
142, 0.61
143, 0.25
144, 0.44
145, 0.31
146, 0.34
147, 0.37
148, 0.35
149, 0.69
150, 0.74
151, 0.31
152, 0.66
153, 0.61
154, 0.76
155, 0.19
156, 0.42
157, 0.24
158, 0.28
159, 0.29
160, 0.59
161, 0.20
162, 0.24
163, 0.22
164, 0.18
165, 0.41
166, 0.24
167, 0.43
168, 0.22
169, 0.29
170, 0.25
171, 0.46
172, 0.33
173, 0.49
174, 0.34
175, 0.33
176, 0.23
177, 0.39
178, 0.66
179, 0.23
180, 0.57
181, 0.71
182, 0.22
183, 0.29
184, 0.76
185, 0.32
186, 0.60
187, 0.75
188, 0.27
189, 0.27
190, 0.81
191, 0.18
192, 0.59
193, 0.30
194, 0.33
195, 0.61
196, 0.21
197, 0.23
198, 0.39
199, 0.22
200, 0.24
201, 0.31
202, 0.74
203, 0.23
204, 0.35
205, 0.38
206, 0.21
207, 0.31
208, 0.28
209, 0.66
210, 0.40
211, 0.45
212, 0.68
213, 0.64
214, 0.39
215, 0.44
216, 0.61
217, 0.18
218, 0.27
219, 0.52
220, 0.41
221, 0.23
222, 0.23
223, 0.63
224, 0.54
225, 0.31
226, 0.39
227, 0.36
228, 0.71
229, 0.15
230, 0.29
231, 0.71
232, 0.40
233, 0.37
234, 0.31
235, 0.45
236, 0.25
237, 0.46
238, 0.70
239, 0.45
240, 0.37
241, 0.23
242, 0.31
243, 0.21
244, 0.34
245, 0.25
246, 0.28
247, 0.63
248, 0.46
249, 0.34
250, 0.83
251, 0.48
252, 0.23
253, 0.12
254, 0.53
255, 0.19
256, 0.52
257, 0.25
258, 0.80
259, 0.28
260, 0.66
261, 0.34
262, 0.32
263, 0.19
264, 0.28
265, 0.29
266, 0.22
267, 0.57
268, 0.42
269, 0.53
270, 0.28
271, 0.19
272, 0.37
273, 0.39
274, 0.53
275, 0.39
276, 0.70
277, 0.90
278, 0.31
279, 0.37
280, 0.84
281, 0.28
282, 0.24
283, 0.37
284, 0.24
285, 0.45
286, 0.69
287, 0.53
288, 0.19
289, 0.57
290, 0.29
291, 0.38
292, 0.30
293, 0.40
294, 0.31
295, 0.23
296, 0.31
297, 0.28
298, 0.47
299, 0.75
300, 0.22
301, 0.32
302, 0.46
303, 0.48
304, 0.23
305, 0.62
306, 0.44
307, 0.39
308, 0.24
309, 0.73
310, 0.50
311, 0.25
312, 0.47
313, 0.23
314, 0.64
315, 0.42
316, 0.17
317, 0.61
318, 0.37
319, 0.40
320, 0.28
321, 0.35
322, 0.38
323, 0.63
324, 0.32
325, 0.36
326, 0.38
327, 0.58
328, 0.46
329, 0.29
330, 0.26
331, 0.44
332, 0.54
333, 0.56
334, 0.63
335, 0.25
336, 0.40
337, 0.80
338, 0.33
339, 0.33
340, 0.54
341, 0.26
342, 0.23
343, 0.23
344, 0.39
345, 0.56
346, 0.53
347, 0.21
348, 0.19
349, 0.54
350, 0.23
351, 0.42
352, 0.27
353, 0.44
354, 0.34
355, 0.24
356, 0.21
357, 0.38
358, 0.57
359, 0.46
360, 0.29
361, 0.20
362, 0.48
363, 0.54
364, 0.38
365, 0.62
366, 0.35
367, 0.45
368, 0.36
369, 0.64
370, 0.31
371, 0.36
372, 0.39
373, 0.37
374, 0.54
375, 0.26
376, 0.64
377, 0.25
378, 0.54
379, 0.29
380, 0.41
381, 0.63
382, 0.40
383, 0.74
384, 0.44
385, 0.41
386, 0.36
387, 0.33
388, 0.37
389, 0.44
390, 0.26
391, 0.29
392, 0.58
393, 0.37
394, 0.48
395, 0.33
396, 0.80
397, 0.22
398, 0.24
399, 0.77
400, 0.34
401, 0.50
402, 0.21
403, 0.21
404, 0.66
405, 0.29
406, 0.43
407, 0.31
408, 0.26
409, 0.42
410, 0.22
411, 0.49
412, 0.31
413, 0.39
414, 0.25
415, 0.31
416, 0.56
417, 0.31
418, 0.29
419, 0.49
420, 0.58
421, 0.35
422, 0.47
423, 0.30
424, 0.38
425, 0.52
426, 0.18
427, 0.36
428, 0.35
429, 0.23
430, 0.47
431, 0.64
432, 0.24
433, 0.32
434, 0.54
435, 0.34
436, 0.56
437, 0.66
438, 0.43
439, 0.21
440, 0.58
441, 0.37
442, 0.65
443, 0.38
444, 0.21
445, 0.28
446, 0.61
447, 0.25
448, 0.76
449, 0.21
450, 0.40
451, 0.68
452, 0.71
453, 0.57
454, 0.35
455, 0.29
456, 0.63
457, 0.44
458, 0.67
459, 0.32
460, 0.51
461, 0.24
462, 0.27
463, 0.25
464, 0.27
465, 0.16
466, 0.36
467, 0.42
468, 0.34
469, 0.32
470, 0.50
471, 0.42
472, 0.25
473, 0.34
474, 0.40
475, 0.45
476, 0.15
477, 0.28
478, 0.56
479, 0.37
480, 0.38
481, 0.33
482, 0.46
483, 0.56
484, 0.29
485, 0.72
486, 0.52
487, 0.65
488, 0.57
489, 0.54
490, 0.31
491, 0.24
492, 0.21
493, 0.30
494, 0.50
495, 0.40
496, 0.74
497, 0.59
498, 0.82
499, 0.56
500, 0.29
501, 0.27
502, 0.38
503, 0.28
504, 0.53
505, 0.23
506, 0.30
507, 0.22
508, 0.27
509, 0.43
510, 0.37
511, 0.29
512, 0.23
513, 0.18
514, 0.32
515, 0.57
516, 0.21
517, 0.65
518, 0.45
519, 0.77
520, 0.59
521, 0.39
522, 0.29
523, 0.54
524, 0.30
525, 0.70
526, 0.26
527, 0.15
528, 0.54
529, 0.33
530, 0.23
531, 0.54
532, 0.35
533, 0.42
534, 0.74
535, 0.69
536, 0.34
537, 0.31
538, 0.30
539, 0.37
540, 0.24
541, 0.20
542, 0.64
543, 0.35
544, 0.29
545, 0.47
546, 0.33
547, 0.27
548, 0.68
549, 0.24
550, 0.50
551, 0.35
552, 0.69
553, 0.28
554, 0.31
555, 0.19
556, 0.30
557, 0.23
558, 0.39
559, 0.30
560, 0.36
