ID,Prob1
0, 0.69
1, 0.21
2, 0.31
3, 0.22
4, 0.28
5, 0.19
6, 0.30
7, 0.73
8, 0.74
9, 0.24
10, 0.60
11, 0.25
12, 0.46
13, 0.75
14, 0.30
15, 0.31
16, 0.42
17, 0.30
18, 0.26
19, 0.42
20, 0.44
21, 0.25
22, 0.32
23, 0.70
24, 0.34
25, 0.30
26, 0.56
27, 0.24
28, 0.31
29, 0.64
30, 0.26
31, 0.18
32, 0.70
33, 0.29
34, 0.49
35, 0.47
36, 0.29
37, 0.53
38, 0.66
39, 0.36
40, 0.58
41, 0.27
42, 0.25
43, 0.45
44, 0.66
45, 0.26
46, 0.38
47, 0.75
48, 0.47
49, 0.43
50, 0.71
51, 0.21
52, 0.52
53, 0.31
54, 0.62
55, 0.11
56, 0.75
57, 0.25
58, 0.16
59, 0.34
60, 0.55
61, 0.55
62, 0.31
63, 0.31
64, 0.25
65, 0.39
66, 0.90
67, 0.25
68, 0.34
69, 0.31
70, 0.73
71, 0.85
72, 0.67
73, 0.30
74, 0.26
75, 0.71
76, 0.16
77, 0.79
78, 0.17
79, 0.41
80, 0.48
81, 0.26
82, 0.15
83, 0.19
84, 0.21
85, 0.27
86, 0.48
87, 0.13
88, 0.24
89, 0.69
90, 0.27
91, 0.39
92, 0.32
93, 0.48
94, 0.28
95, 0.16
96, 0.54
97, 0.10
98, 0.24
99, 0.61
100, 0.12
101, 0.50
102, 0.66
103, 0.42
104, 0.36
105, 0.24
106, 0.33
107, 0.45
108, 0.39
109, 0.47
110, 0.44
111, 0.39
112, 0.22
113, 0.26
114, 0.40
115, 0.13
116, 0.20
117, 0.27
118, 0.21
119, 0.25
120, 0.35
121, 0.40
122, 0.71
123, 0.65
124, 0.45
125, 0.55
126, 0.66
127, 0.25
128, 0.34
129, 0.14
130, 0.49
131, 0.58
132, 0.18
133, 0.67
134, 0.25
135, 0.70
136, 0.28
137, 0.09
138, 0.41
139, 0.25
140, 0.27
141, 0.38
142, 0.54
143, 0.24
144, 0.49
145, 0.21
146, 0.40
147, 0.31
148, 0.31
149, 0.73
150, 0.75
151, 0.37
152, 0.77
153, 0.65
154, 0.83
155, 0.14
156, 0.45
157, 0.13
158, 0.29
159, 0.31
160, 0.72
161, 0.16
162, 0.25
163, 0.14
164, 0.12
165, 0.37
166, 0.20
167, 0.39
168, 0.19
169, 0.29
170, 0.26
171, 0.54
172, 0.36
173, 0.54
174, 0.31
175, 0.25
176, 0.19
177, 0.29
178, 0.62
179, 0.22
180, 0.52
181, 0.78
182, 0.16
183, 0.35
184, 0.78
185, 0.38
186, 0.63
187, 0.73
188, 0.24
189, 0.26
190, 0.84
191, 0.14
192, 0.68
193, 0.27
194, 0.32
195, 0.70
196, 0.11
197, 0.12
198, 0.41
199, 0.20
200, 0.34
201, 0.23
202, 0.77
203, 0.23
204, 0.45
205, 0.33
206, 0.25
207, 0.30
208, 0.24
209, 0.69
210, 0.56
211, 0.53
212, 0.82
213, 0.55
214, 0.40
215, 0.27
216, 0.58
217, 0.16
218, 0.37
219, 0.48
220, 0.26
221, 0.18
222, 0.16
223, 0.70
224, 0.61
225, 0.35
226, 0.34
227, 0.35
228, 0.76
229, 0.06
230, 0.26
231, 0.63
232, 0.57
233, 0.29
234, 0.25
235, 0.38
236, 0.15
237, 0.43
238, 0.64
239, 0.49
240, 0.36
241, 0.25
242, 0.35
243, 0.10
244, 0.29
245, 0.17
246, 0.26
247, 0.67
248, 0.43
249, 0.25
250, 0.92
251, 0.46
252, 0.26
253, 0.11
254, 0.39
255, 0.09
256, 0.53
257, 0.21
258, 0.85
259, 0.27
260, 0.72
261, 0.27
262, 0.26
263, 0.17
264, 0.25
265, 0.34
266, 0.17
267, 0.60
268, 0.36
269, 0.41
270, 0.31
271, 0.11
272, 0.31
273, 0.37
274, 0.60
275, 0.43
276, 0.71
277, 0.92
278, 0.37
279, 0.42
280, 0.82
281, 0.22
282, 0.21
283, 0.57
284, 0.15
285, 0.58
286, 0.75
287, 0.46
288, 0.15
289, 0.61
290, 0.30
291, 0.38
292, 0.22
293, 0.50
294, 0.23
295, 0.17
296, 0.34
297, 0.26
298, 0.57
299, 0.81
300, 0.27
301, 0.27
302, 0.47
303, 0.51
304, 0.26
305, 0.53
306, 0.38
307, 0.40
308, 0.23
309, 0.87
310, 0.45
311, 0.29
312, 0.51
313, 0.10
314, 0.69
315, 0.48
316, 0.04
317, 0.65
318, 0.39
319, 0.42
320, 0.26
321, 0.47
322, 0.41
323, 0.55
324, 0.34
325, 0.36
326, 0.45
327, 0.48
328, 0.55
329, 0.29
330, 0.25
331, 0.52
332, 0.64
333, 0.66
334, 0.50
335, 0.24
336, 0.54
337, 0.83
338, 0.35
339, 0.26
340, 0.51
341, 0.24
342, 0.09
343, 0.18
344, 0.36
345, 0.62
346, 0.42
347, 0.08
348, 0.15
349, 0.61
350, 0.28
351, 0.53
352, 0.27
353, 0.63
354, 0.32
355, 0.34
356, 0.25
357, 0.45
358, 0.73
359, 0.26
360, 0.31
361, 0.11
362, 0.42
363, 0.52
364, 0.32
365, 0.72
366, 0.28
367, 0.48
368, 0.30
369, 0.68
370, 0.29
371, 0.32
372, 0.43
373, 0.33
374, 0.54
375, 0.20
376, 0.70
377, 0.23
378, 0.55
379, 0.25
380, 0.45
381, 0.64
382, 0.46
383, 0.76
384, 0.36
385, 0.41
386, 0.39
387, 0.33
388, 0.39
389, 0.36
390, 0.31
391, 0.32
392, 0.75
393, 0.44
394, 0.48
395, 0.38
396, 0.76
397, 0.19
398, 0.22
399, 0.74
400, 0.27
401, 0.54
402, 0.11
403, 0.12
404, 0.78
405, 0.20
406, 0.53
407, 0.34
408, 0.20
409, 0.47
410, 0.22
411, 0.50
412, 0.25
413, 0.29
414, 0.20
415, 0.45
416, 0.47
417, 0.22
418, 0.25
419, 0.56
420, 0.63
421, 0.39
422, 0.49
423, 0.26
424, 0.43
425, 0.49
426, 0.16
427, 0.34
428, 0.26
429, 0.16
430, 0.51
431, 0.59
432, 0.21
433, 0.24
434, 0.48
435, 0.35
436, 0.50
437, 0.77
438, 0.45
439, 0.18
440, 0.55
441, 0.36
442, 0.72
443, 0.43
444, 0.21
445, 0.28
446, 0.65
447, 0.17
448, 0.71
449, 0.23
450, 0.34
451, 0.76
452, 0.79
453, 0.49
454, 0.37
455, 0.32
456, 0.57
457, 0.41
458, 0.75
459, 0.26
460, 0.52
461, 0.24
462, 0.22
463, 0.13
464, 0.17
465, 0.06
466, 0.31
467, 0.37
468, 0.41
469, 0.22
470, 0.60
471, 0.47
472, 0.27
473, 0.41
474, 0.45
475, 0.48
476, 0.12
477, 0.25
478, 0.66
479, 0.40
480, 0.41
481, 0.24
482, 0.44
483, 0.65
484, 0.27
485, 0.84
486, 0.44
487, 0.65
488, 0.62
489, 0.56
490, 0.29
491, 0.22
492, 0.26
493, 0.33
494, 0.52
495, 0.38
496, 0.79
497, 0.57
498, 0.91
499, 0.51
500, 0.25
501, 0.33
502, 0.43
503, 0.29
504, 0.53
505, 0.30
506, 0.40
507, 0.22
508, 0.20
509, 0.32
510, 0.44
511, 0.38
512, 0.17
513, 0.08
514, 0.37
515, 0.50
516, 0.09
517, 0.63
518, 0.45
519, 0.82
520, 0.47
521, 0.41
522, 0.29
523, 0.57
524, 0.25
525, 0.75
526, 0.22
527, 0.25
528, 0.60
529, 0.39
530, 0.17
531, 0.49
532, 0.30
533, 0.31
534, 0.67
535, 0.77
536, 0.35
537, 0.30
538, 0.25
539, 0.44
540, 0.23
541, 0.07
542, 0.63
543, 0.30
544, 0.28
545, 0.42
546, 0.48
547, 0.24
548, 0.79
549, 0.19
550, 0.47
551, 0.30
552, 0.76
553, 0.22
554, 0.24
555, 0.07
556, 0.26
557, 0.20
558, 0.42
559, 0.24
560, 0.33
561, 0.31
562, 0.24
563, 0.33
564, 0.51
565, 0.33
566, 0.20
567, 0.47
568, 0.33
569, 0.34
570, 0.45
571, 0.18
572, 0.24
573, 0.37
574, 0.48
575, 0.32
576, 0.29
577, 0.61
578, 0.36
579, 0.45
580, 0.46
581, 0.27
582, 0.58
583, 0.28
584, 0.30
585, 0.30
586, 0.65
587, 0.53
588, 0.27
589, 0.88
590, 0.23
591, 0.22
592, 0.65
593, 0.41
594, 0.33
595, 0.63
596, 0.42
597, 0.39
598, 0.22
599, 0.34
600, 0.52
601, 0.22
602, 0.34
603, 0.58
604, 0.13
605, 0.30
606, 0.50
607, 0.15
608, 0.60
609, 0.43
610, 0.50
611, 0.42
612, 0.43
613, 0.57
614, 0.40
615, 0.11
616, 0.29
617, 0.34
618, 0.23
619, 0.37
620, 0.53
621, 0.65
622, 0.33
623, 0.42
624, 0.20
625, 0.37
626, 0.36
627, 0.10
628, 0.67
629, 0.69
630, 0.55
631, 0.34
632, 0.42
633, 0.24
634, 0.23
635, 0.69
636, 0.54
637, 0.15
638, 0.58
639, 0.41
640, 0.18
641, 0.50
642, 0.49
643, 0.35
644, 0.76
645, 0.34
646, 0.40
647, 0.27
648, 0.24
649, 0.27
650, 0.38
651, 0.27
652, 0.82
653, 0.12
654, 0.17
655, 0.37
656, 0.36
657, 0.53
658, 0.50
659, 0.23
660, 0.71
661, 0.49
662, 0.16
663, 0.24
664, 0.77
665, 0.27
666, 0.13
667, 0.40
668, 0.71
669, 0.17
670, 0.15
671, 0.39
672, 0.32
673, 0.10
674, 0.30
675, 0.79
676, 0.36
677, 0.42
678, 0.34
679, 0.37
680, 0.75
681, 0.23
682, 0.24
683, 0.72
684, 0.40
685, 0.17
686, 0.21
687, 0.26
688, 0.23
689, 0.62
690, 0.76
691, 0.26
692, 0.79
693, 0.68
694, 0.59
695, 0.46
696, 0.34
697, 0.26
698, 0.08
699, 0.25
700, 0.53
701, 0.37
702, 0.26
703, 0.33
704, 0.64
705, 0.30
706, 0.45
707, 0.23
708, 0.29
709, 0.15
710, 0.38
711, 0.76
712, 0.27
713, 0.19
714, 0.23
715, 0.43
716, 0.68
717, 0.25
718, 0.50
719, 0.20
720, 0.69
721, 0.67
722, 0.53
723, 0.54
724, 0.15
725, 0.74
726, 0.15
727, 0.75
728, 0.48
729, 0.44
730, 0.16
731, 0.47
732, 0.28
733, 0.11
734, 0.23
735, 0.66
736, 0.26
737, 0.22
738, 0.75
739, 0.46
740, 0.66
741, 0.67
742, 0.40
743, 0.34
744, 0.54
745, 0.55
746, 0.71
747, 0.61
748, 0.29
749, 0.17
750, 0.28
751, 0.63
752, 0.73
753, 0.06
754, 0.27
755, 0.62
756, 0.53
757, 0.30
758, 0.21
759, 0.33
760, 0.46
761, 0.45
762, 0.73
763, 0.35
764, 0.48
765, 0.38
766, 0.25
767, 0.09
768, 0.25
769, 0.75
770, 0.63
771, 0.17
772, 0.19
773, 0.23
774, 0.45
775, 0.19
776, 0.24
777, 0.24
778, 0.35
779, 0.21
780, 0.71
781, 0.15
782, 0.24
783, 0.29
784, 0.47
785, 0.31
786, 0.45
787, 0.38
788, 0.61
789, 0.20
790, 0.34
791, 0.52
792, 0.46
793, 0.71
794, 0.90
795, 0.42
796, 0.26
797, 0.83
798, 0.63
799, 0.44
800, 0.73
801, 0.36
802, 0.37
803, 0.17
804, 0.44
805, 0.75
806, 0.38
807, 0.22
808, 0.14
809, 0.60
810, 0.20
811, 0.76
812, 0.19
813, 0.43
814, 0.51
815, 0.05
816, 0.18
817, 0.61
818, 0.21
819, 0.37
820, 0.51
821, 0.41
822, 0.19
823, 0.44
824, 0.33
825, 0.34
826, 0.76
827, 0.19
828, 0.40
829, 0.80
830, 0.34
831, 0.23
832, 0.37
833, 0.59
834, 0.44
835, 0.68
836, 0.57
837, 0.14
838, 0.44
839, 0.06
840, 0.43
841, 0.53
842, 0.15
843, 0.56
844, 0.56
845, 0.68
846, 0.32
847, 0.53
848, 0.34
849, 0.67
850, 0.28
851, 0.69
852, 0.66
853, 0.26
854, 0.32
855, 0.41
856, 0.50
857, 0.58
858, 0.15
859, 0.25
860, 0.09
861, 0.10
862, 0.40
863, 0.29
864, 0.46
865, 0.52
866, 0.21
867, 0.35
868, 0.49
869, 0.27
870, 0.86
871, 0.32
872, 0.26
873, 0.42
874, 0.59
875, 0.53
876, 0.68
877, 0.56
878, 0.17
879, 0.17
880, 0.25
881, 0.14
882, 0.27
883, 0.45
884, 0.34
885, 0.26
886, 0.30
887, 0.41
888, 0.34
889, 0.62
890, 0.12
891, 0.47
892, 0.49
893, 0.45
894, 0.41
895, 0.51
896, 0.27
897, 0.31
898, 0.75
899, 0.11
900, 0.81
901, 0.73
902, 0.37
903, 0.29
904, 0.66
905, 0.89
906, 0.57
907, 0.75
908, 0.76
909, 0.40
910, 0.33
911, 0.20
912, 0.20
913, 0.73
914, 0.06
915, 0.34
916, 0.42
917, 0.41
918, 0.24
919, 0.36
920, 0.54
921, 0.69
922, 0.18
923, 0.65
924, 0.70
925, 0.25
926, 0.25
927, 0.46
928, 0.56
929, 0.47
930, 0.20
931, 0.05
932, 0.11
933, 0.53
934, 0.18
935, 0.29
936, 0.27
937, 0.78
938, 0.46
939, 0.75
940, 0.24
941, 0.17
942, 0.73
943, 0.34
944, 0.36
945, 0.19
946, 0.45
947, 0.12
948, 0.21
949, 0.47
950, 0.75
951, 0.72
952, 0.30
953, 0.79
954, 0.24
955, 0.44
956, 0.25
957, 0.06
958, 0.56
959, 0.41
960, 0.46
961, 0.59
962, 0.37
963, 0.30
964, 0.39
965, 0.25
966, 0.81
967, 0.68
968, 0.32
969, 0.49
970, 0.76
971, 0.62
972, 0.57
973, 0.38
974, 0.73
975, 0.67
976, 0.17
977, 0.33
978, 0.36
979, 0.25
980, 0.35
981, 0.58
982, 0.45
983, 0.23
984, 0.21
985, 0.23
986, 0.35
987, 0.41
988, 0.07
989, 0.72
990, 0.16
991, 0.84
992, 0.31
993, 0.30
994, 0.20
995, 0.41
996, 0.56
997, 0.44
998, 0.39
999, 0.27
1000, 0.12
1001, 0.76
1002, 0.50
1003, 0.27
1004, 0.78
1005, 0.13
1006, 0.36
1007, 0.80
1008, 0.27
1009, 0.75
1010, 0.26
1011, 0.74
1012, 0.18
1013, 0.69
1014, 0.49
1015, 0.22
1016, 0.69
1017, 0.53
1018, 0.51
1019, 0.25
1020, 0.61
1021, 0.58
1022, 0.71
1023, 0.94
1024, 0.21
1025, 0.67
1026, 0.36
1027, 0.65
1028, 0.59
1029, 0.59
1030, 0.44
1031, 0.49
1032, 0.15
1033, 0.51
1034, 0.40
1035, 0.69
1036, 0.23
1037, 0.41
1038, 0.48
1039, 0.68
1040, 0.37
1041, 0.56
1042, 0.34
1043, 0.44
1044, 0.55
1045, 0.17
1046, 0.15
1047, 0.26
1048, 0.71
1049, 0.47
1050, 0.14
1051, 0.49
1052, 0.41
1053, 0.17
1054, 0.34
1055, 0.29
1056, 0.40
1057, 0.36
1058, 0.33
1059, 0.43
1060, 0.41
1061, 0.26
1062, 0.33
1063, 0.46
1064, 0.14
1065, 0.56
1066, 0.17
1067, 0.44
1068, 0.41
1069, 0.26
1070, 0.76
1071, 0.41
1072, 0.44
1073, 0.45
1074, 0.28
1075, 0.29
1076, 0.43
1077, 0.23
1078, 0.16
1079, 0.69
1080, 0.17
1081, 0.43
1082, 0.26
1083, 0.49
1084, 0.28
1085, 0.25
1086, 0.05
1087, 0.39
1088, 0.58
1089, 0.73
1090, 0.20
1091, 0.22
1092, 0.25
1093, 0.39
1094, 0.14
1095, 0.47
1096, 0.50
1097, 0.49
1098, 0.49
1099, 0.22
1100, 0.41
1101, 0.24
1102, 0.41
1103, 0.66
1104, 0.64
1105, 0.28
1106, 0.52
1107, 0.08
1108, 0.34
1109, 0.60
1110, 0.59
1111, 0.19
1112, 0.65
1113, 0.44
1114, 0.19
1115, 0.37
1116, 0.45
1117, 0.19
1118, 0.16
1119, 0.36
1120, 0.58
1121, 0.22
1122, 0.37
1123, 0.23
1124, 0.73
1125, 0.22
1126, 0.51
1127, 0.24
1128, 0.37
1129, 0.44
1130, 0.45
1131, 0.45
1132, 0.63
1133, 0.36
1134, 0.59
1135, 0.62
1136, 0.59
1137, 0.21
1138, 0.21
1139, 0.28
1140, 0.40
1141, 0.28
1142, 0.38
1143, 0.38
1144, 0.72
1145, 0.24
1146, 0.19
1147, 0.11
1148, 0.27
1149, 0.49
1150, 0.24
1151, 0.33
1152, 0.52
1153, 0.35
1154, 0.22
1155, 0.42
1156, 0.20
1157, 0.20
1158, 0.47
1159, 0.43
1160, 0.49
1161, 0.14
1162, 0.10
1163, 0.45
1164, 0.27
1165, 0.78
1166, 0.33
1167, 0.34
1168, 0.48
1169, 0.53
1170, 0.15
1171, 0.70
1172, 0.29
1173, 0.74
1174, 0.33
1175, 0.47
1176, 0.77
1177, 0.88
1178, 0.48
1179, 0.35
1180, 0.20
1181, 0.14
1182, 0.11
1183, 0.49
1184, 0.70
1185, 0.62
1186, 0.68
1187, 0.22
1188, 0.58
1189, 0.37
1190, 0.22
1191, 0.29
1192, 0.24
1193, 0.40
1194, 0.73
1195, 0.25
1196, 0.40
1197, 0.29
1198, 0.70
1199, 0.37
1200, 0.50
1201, 0.60
1202, 0.69
1203, 0.74
1204, 0.36
1205, 0.53
1206, 0.25
1207, 0.63
1208, 0.21
1209, 0.76
1210, 0.38
1211, 0.16
1212, 0.69
1213, 0.29
1214, 0.75
1215, 0.56
1216, 0.42
1217, 0.33
1218, 0.39
1219, 0.41
1220, 0.31
1221, 0.20
1222, 0.29
1223, 0.28
1224, 0.10
1225, 0.26
1226, 0.17
1227, 0.23
1228, 0.45
1229, 0.61
1230, 0.23
1231, 0.57
1232, 0.37
1233, 0.61
1234, 0.40
1235, 0.09
1236, 0.30
1237, 0.18
1238, 0.10
1239, 0.66
1240, 0.36
1241, 0.33
1242, 0.71
1243, 0.27
1244, 0.24
1245, 0.39
1246, 0.48
1247, 0.82
1248, 0.63
1249, 0.15
1250, 0.41
1251, 0.23
1252, 0.72
1253, 0.38
1254, 0.28
1255, 0.13
1256, 0.57
1257, 0.26
1258, 0.38
1259, 0.53
1260, 0.26
1261, 0.36
1262, 0.57
1263, 0.20
1264, 0.24
1265, 0.07
1266, 0.33
1267, 0.46
1268, 0.23
1269, 0.12
1270, 0.56
1271, 0.59
1272, 0.21
1273, 0.28
1274, 0.12
1275, 0.24
1276, 0.30
1277, 0.08
1278, 0.68
1279, 0.22
1280, 0.54
1281, 0.17
1282, 0.35
1283, 0.49
1284, 0.25
1285, 0.41
1286, 0.18
1287, 0.68
1288, 0.31
1289, 0.75
1290, 0.35
1291, 0.46
1292, 0.34
1293, 0.50
1294, 0.40
1295, 0.41
1296, 0.29
1297, 0.27
1298, 0.21
1299, 0.25
1300, 0.23
1301, 0.42
1302, 0.75
1303, 0.34
1304, 0.27
1305, 0.32
1306, 0.06
1307, 0.71
1308, 0.28
1309, 0.24
