ID,Prob1
0, 0.61
1, 0.29
2, 0.37
3, 0.24
4, 0.24
5, 0.25
6, 0.35
7, 0.69
8, 0.66
9, 0.31
10, 0.54
11, 0.25
12, 0.49
13, 0.75
14, 0.34
15, 0.27
16, 0.33
17, 0.27
18, 0.29
19, 0.50
20, 0.51
21, 0.28
22, 0.33
23, 0.60
24, 0.33
25, 0.48
26, 0.49
27, 0.24
28, 0.26
29, 0.60
30, 0.26
31, 0.17
32, 0.61
33, 0.24
34, 0.52
35, 0.54
36, 0.25
37, 0.56
38, 0.61
39, 0.43
40, 0.49
41, 0.20
42, 0.26
43, 0.45
44, 0.62
45, 0.25
46, 0.38
47, 0.72
48, 0.46
49, 0.37
50, 0.69
51, 0.22
52, 0.50
53, 0.35
54, 0.57
55, 0.13
56, 0.72
57, 0.25
58, 0.17
59, 0.29
60, 0.44
61, 0.41
62, 0.27
63, 0.35
64, 0.36
65, 0.26
66, 0.86
67, 0.22
68, 0.34
69, 0.28
70, 0.73
71, 0.88
72, 0.68
73, 0.35
74, 0.25
75, 0.65
76, 0.15
77, 0.71
78, 0.16
79, 0.36
80, 0.43
81, 0.22
82, 0.17
83, 0.23
84, 0.15
85, 0.29
86, 0.51
87, 0.14
88, 0.25
89, 0.68
90, 0.31
91, 0.38
92, 0.30
93, 0.48
94, 0.29
95, 0.18
96, 0.54
97, 0.08
98, 0.23
99, 0.54
100, 0.13
101, 0.45
102, 0.58
103, 0.31
104, 0.32
105, 0.32
106, 0.37
107, 0.35
108, 0.36
109, 0.42
110, 0.39
111, 0.42
112, 0.24
113, 0.30
114, 0.37
115, 0.12
116, 0.22
117, 0.26
118, 0.19
119, 0.36
120, 0.38
121, 0.37
122, 0.75
123, 0.61
124, 0.34
125, 0.52
126, 0.67
127, 0.26
128, 0.36
129, 0.16
130, 0.45
131, 0.49
132, 0.16
133, 0.47
134, 0.28
135, 0.58
136, 0.23
137, 0.09
138, 0.42
139, 0.21
140, 0.22
141, 0.42
142, 0.56
143, 0.21
144, 0.49
145, 0.18
146, 0.39
147, 0.28
148, 0.30
149, 0.77
150, 0.72
151, 0.35
152, 0.69
153, 0.49
154, 0.76
155, 0.17
156, 0.37
157, 0.15
158, 0.29
159, 0.27
160, 0.57
161, 0.19
162, 0.27
163, 0.17
164, 0.12
165, 0.38
166, 0.22
167, 0.45
168, 0.22
169, 0.25
170, 0.23
171, 0.49
172, 0.32
173, 0.51
174, 0.38
175, 0.30
176, 0.24
177, 0.29
178, 0.61
179, 0.25
180, 0.51
181, 0.80
182, 0.13
183, 0.28
184, 0.78
185, 0.36
186, 0.55
187, 0.76
188, 0.23
189, 0.28
190, 0.82
191, 0.19
192, 0.62
193, 0.26
194, 0.32
195, 0.62
196, 0.11
197, 0.16
198, 0.38
199, 0.18
200, 0.30
201, 0.26
202, 0.78
203, 0.24
204, 0.43
205, 0.28
206, 0.31
207, 0.35
208, 0.25
209, 0.69
210, 0.44
211, 0.42
212, 0.82
213, 0.42
214, 0.47
215, 0.33
216, 0.47
217, 0.14
218, 0.29
219, 0.49
220, 0.30
221, 0.17
222, 0.17
223, 0.60
224, 0.48
225, 0.30
226, 0.45
227, 0.40
228, 0.71
229, 0.08
230, 0.30
231, 0.64
232, 0.54
233, 0.33
234, 0.35
235, 0.39
236, 0.20
237, 0.44
238, 0.67
239, 0.40
240, 0.35
241, 0.24
242, 0.27
243, 0.17
244, 0.28
245, 0.19
246, 0.34
247, 0.68
248, 0.59
249, 0.17
250, 0.91
251, 0.51
252, 0.24
253, 0.13
