ID,Prob1
0, 0.69
1, 0.28
2, 0.28
3, 0.28
4, 0.34
5, 0.19
6, 0.28
7, 0.61
8, 0.68
9, 0.24
10, 0.50
11, 0.24
12, 0.48
13, 0.79
14, 0.28
15, 0.26
16, 0.43
17, 0.27
18, 0.36
19, 0.51
20, 0.47
21, 0.22
22, 0.30
23, 0.71
24, 0.31
25, 0.42
26, 0.54
27, 0.28
28, 0.32
29, 0.73
30, 0.23
31, 0.21
32, 0.74
33, 0.31
34, 0.48
35, 0.49
36, 0.24
37, 0.66
38, 0.63
39, 0.30
40, 0.57
41, 0.27
42, 0.26
43, 0.44
44, 0.67
45, 0.28
46, 0.33
47, 0.76
48, 0.54
49, 0.38
50, 0.75
51, 0.18
52, 0.49
53, 0.30
54, 0.58
55, 0.11
56, 0.75
57, 0.25
58, 0.22
59, 0.26
60, 0.46
61, 0.53
62, 0.26
63, 0.36
64, 0.33
65, 0.34
66, 0.88
67, 0.26
68, 0.32
69, 0.29
70, 0.66
71, 0.85
72, 0.66
73, 0.30
74, 0.24
75, 0.74
76, 0.18
77, 0.81
78, 0.15
79, 0.42
80, 0.48
81, 0.23
82, 0.16
83, 0.22
84, 0.15
85, 0.28
86, 0.48
87, 0.14
88, 0.22
89, 0.60
90, 0.32
91, 0.40
92, 0.38
93, 0.45
94, 0.33
95, 0.20
96, 0.67
97, 0.11
98, 0.28
99, 0.49
100, 0.15
101, 0.49
102, 0.71
103, 0.33
104, 0.45
105, 0.26
106, 0.43
107, 0.49
108, 0.37
109, 0.45
110, 0.53
111, 0.46
112, 0.24
113, 0.35
114, 0.44
115, 0.14
116, 0.22
117, 0.25
118, 0.19
119, 0.28
120, 0.30
121, 0.39
122, 0.69
123, 0.65
124, 0.32
125, 0.52
126, 0.76
127, 0.25
128, 0.31
129, 0.14
130, 0.40
131, 0.51
132, 0.18
133, 0.59
134, 0.26
135, 0.73
136, 0.28
137, 0.10
138, 0.37
139, 0.25
140, 0.26
141, 0.42
142, 0.53
143, 0.25
144, 0.46
145, 0.22
146, 0.34
147, 0.28
148, 0.29
149, 0.80
150, 0.76
151, 0.33
152, 0.76
153, 0.65
154, 0.79
155, 0.14
156, 0.33
157, 0.17
158, 0.28
159, 0.28
160, 0.71
161, 0.19
162, 0.26
163, 0.15
164, 0.13
165, 0.41
166, 0.21
167, 0.37
168, 0.22
169, 0.25
170, 0.26
171, 0.51
172, 0.43
173, 0.51
174, 0.29
175, 0.27
176, 0.23
177, 0.35
178, 0.64
179, 0.25
180, 0.53
181, 0.70
182, 0.15
183, 0.30
184, 0.80
185, 0.38
186, 0.60
187, 0.74
188, 0.24
189, 0.22
190, 0.80
191, 0.15
192, 0.69
193, 0.25
194, 0.33
195, 0.67
196, 0.14
197, 0.13
198, 0.36
199, 0.18
200, 0.29
201, 0.26
202, 0.76
203, 0.23
204, 0.44
205, 0.35
206, 0.28
207, 0.27
208, 0.25
209, 0.72
210, 0.47
211, 0.44
212, 0.83
213, 0.57
214, 0.46
215, 0.32
216, 0.63
217, 0.16
218, 0.28
219, 0.47
220, 0.34
221, 0.20
222, 0.19
223, 0.64
224, 0.64
225, 0.34
226, 0.41
227, 0.36
228, 0.75
229, 0.06
230, 0.27
231, 0.64
232, 0.52
233, 0.33
234, 0.25
235, 0.35
236, 0.20
237, 0.38
238, 0.66
239, 0.46
240, 0.33
241, 0.25
242, 0.37
243, 0.12
244, 0.28
245, 0.21
246, 0.28
247, 0.67
248, 0.52
249, 0.23
250, 0.91
251, 0.56
252, 0.25
253, 0.10
254, 0.48
255, 0.11
256, 0.51
257, 0.20
258, 0.79
259, 0.26
260, 0.65
261, 0.29
262, 0.29
263, 0.16
264, 0.25
265, 0.34
266, 0.15
267, 0.59
268, 0.38
269, 0.41
270, 0.29
271, 0.10
272, 0.43
273, 0.36
274, 0.60
275, 0.39
276, 0.74
277, 0.92
278, 0.32
279, 0.38
280, 0.86
281, 0.25
282, 0.25
283, 0.51
284, 0.18
285, 0.52
286, 0.78
287, 0.52
288, 0.17
289, 0.59
290, 0.26
291, 0.37
292, 0.25
293, 0.40
294, 0.27
295, 0.16
296, 0.33
297, 0.28
298, 0.59
299, 0.79
300, 0.22
301, 0.26
302, 0.45
303, 0.49
304, 0.26
305, 0.60
306, 0.45
307, 0.37
308, 0.24
309, 0.85
310, 0.46
311, 0.24
312, 0.53
313, 0.12
314, 0.69
315, 0.35
316, 0.04
317, 0.70
318, 0.38
319, 0.36
320, 0.26
321, 0.36
322, 0.38
323, 0.57
324, 0.34
325, 0.33
326, 0.45
327, 0.54
328, 0.62
329, 0.35
330, 0.27
331, 0.47
332, 0.58
333, 0.71
334, 0.59
335, 0.21
336, 0.52
337, 0.82
338, 0.31
339, 0.33
340, 0.55
341, 0.25
342, 0.12
343, 0.19
344, 0.36
345, 0.56
346, 0.39
347, 0.10
348, 0.15
349, 0.72
350, 0.30
351, 0.44
352, 0.26
353, 0.54
354, 0.42
355, 0.26
356, 0.24
357, 0.44
358, 0.68
359, 0.31
360, 0.27
361, 0.11
362, 0.55
363, 0.52
364, 0.35
365, 0.64
366, 0.28
367, 0.38
368, 0.38
369, 0.74
370, 0.36
371, 0.40
372, 0.45
373, 0.29
374, 0.54
375, 0.23
376, 0.73
377, 0.25
378, 0.58
379, 0.29
380, 0.50
381, 0.66
382, 0.50
383, 0.74
384, 0.36
385, 0.41
386, 0.36
387, 0.32
388, 0.35
