ID,Prob1
0, 0.52
1, 0.23
2, 0.35
3, 0.30
4, 0.22
5, 0.28
6, 0.26
7, 0.68
8, 0.67
9, 0.21
10, 0.56
11, 0.28
12, 0.47
13, 0.75
14, 0.42
15, 0.29
16, 0.41
17, 0.27
18, 0.38
19, 0.48
20, 0.49
21, 0.26
22, 0.35
23, 0.57
24, 0.31
25, 0.34
26, 0.54
27, 0.25
28, 0.25
29, 0.69
30, 0.27
31, 0.22
32, 0.57
33, 0.27
34, 0.55
35, 0.54
36, 0.23
37, 0.60
38, 0.65
39, 0.37
40, 0.44
41, 0.23
42, 0.26
43, 0.51
44, 0.69
45, 0.27
46, 0.36
47, 0.72
48, 0.43
49, 0.45
50, 0.69
51, 0.21
52, 0.41
53, 0.29
54, 0.58
55, 0.12
56, 0.76
57, 0.27
58, 0.21
59, 0.25
60, 0.59
61, 0.45
62, 0.27
63, 0.28
64, 0.35
65, 0.35
66, 0.89
67, 0.22
68, 0.27
69, 0.30
70, 0.70
71, 0.86
72, 0.64
73, 0.35
74, 0.26
75, 0.66
76, 0.13
77, 0.76
78, 0.15
79, 0.34
80, 0.45
81, 0.20
82, 0.22
83, 0.16
84, 0.16
85, 0.28
86, 0.57
87, 0.13
88, 0.25
89, 0.62
90, 0.34
91, 0.36
92, 0.22
93, 0.48
94, 0.30
95, 0.18
96, 0.56
97, 0.12
98, 0.29
99, 0.46
100, 0.14
101, 0.51
102, 0.59
103, 0.32
104, 0.37
105, 0.25
106, 0.45
107, 0.32
108, 0.36
109, 0.50
110, 0.50
111, 0.42
112, 0.20
113, 0.34
114, 0.43
115, 0.13
116, 0.30
117, 0.26
118, 0.22
119, 0.33
120, 0.32
121, 0.47
122, 0.71
123, 0.61
124, 0.34
125, 0.41
126, 0.69
127, 0.22
128, 0.32
129, 0.17
130, 0.56
131, 0.53
132, 0.19
133, 0.58
134, 0.25
135, 0.56
136, 0.28
137, 0.10
138, 0.42
139, 0.19
140, 0.25
141, 0.46
142, 0.54
143, 0.24
144, 0.45
145, 0.17
146, 0.38
147, 0.27
148, 0.29
149, 0.78
150, 0.76
151, 0.35
152, 0.71
153, 0.53
154, 0.80
155, 0.20
156, 0.37
157, 0.15
158, 0.27
159, 0.30
160, 0.54
161, 0.19
162, 0.26
163, 0.15
164, 0.14
165, 0.43
166, 0.24
167, 0.34
168, 0.18
169, 0.26
170, 0.25
171, 0.53
172, 0.33
173, 0.56
174, 0.31
175, 0.26
176, 0.17
177, 0.40
178, 0.63
179, 0.24
180, 0.48
181, 0.71
182, 0.14
183, 0.29
184, 0.79
185, 0.40
186, 0.57
187, 0.72
188, 0.25
189, 0.26
190, 0.82
191, 0.16
192, 0.62
193, 0.22
194, 0.35
195, 0.69
196, 0.12
197, 0.15
198, 0.47
199, 0.18
200, 0.25
201, 0.26
202, 0.76
203, 0.22
204, 0.38
205, 0.33
206, 0.26
207, 0.35
208, 0.26
209, 0.68
210, 0.46
211, 0.47
212, 0.75
213, 0.46
214, 0.42
215, 0.23
216, 0.47
217, 0.17
218, 0.24
219, 0.52
220, 0.38
221, 0.22
222, 0.17
223, 0.61
224, 0.51
225, 0.34
226, 0.42
227, 0.40
228, 0.57
229, 0.09
230, 0.25
231, 0.65
232, 0.53
233, 0.27
234, 0.31
235, 0.44
236, 0.21
237, 0.50
238, 0.66
239, 0.42
240, 0.43
241, 0.23
242, 0.30
243, 0.15
244, 0.29
245, 0.20
246, 0.27
247, 0.69
248, 0.43
249, 0.24
250, 0.90
251, 0.52
252, 0.21
253, 0.13
254, 0.37
255, 0.09
256, 0.53
257, 0.19
258, 0.84
259, 0.22
260, 0.77
261, 0.32
262, 0.27
263, 0.15
264, 0.27
265, 0.34
266, 0.14
267, 0.47
268, 0.41
269, 0.40
270, 0.28
271, 0.09
272, 0.35
273, 0.36
274, 0.63
275, 0.38
276, 0.72
277, 0.89
278, 0.37
279, 0.30
280, 0.82
281, 0.20
282, 0.24
283, 0.47
284, 0.18
285, 0.56
286, 0.67
287, 0.47
288, 0.16
289, 0.52
290, 0.26
291, 0.37
292, 0.24
293, 0.37
294, 0.27
295, 0.16
296, 0.33
297, 0.21
298, 0.50
299, 0.76
300, 0.23
301, 0.36
302, 0.48
303, 0.47
304, 0.27
305, 0.47
306, 0.40
307, 0.37
308, 0.21
309, 0.82
310, 0.42
311, 0.24
312, 0.50
313, 0.15
314, 0.61
315, 0.35
316, 0.04
317, 0.57
318, 0.47
319, 0.44
320, 0.27
321, 0.37
322, 0.45
323, 0.48
324, 0.34
325, 0.30
326, 0.36
327, 0.51
328, 0.53
329, 0.33
330, 0.24
331, 0.47
332, 0.54
333, 0.59
334, 0.46
335, 0.24
336, 0.49
337, 0.80
338, 0.27
339, 0.31
340, 0.48
341, 0.30
342, 0.11
343, 0.20
344, 0.39
345, 0.55
346, 0.51
347, 0.11
348, 0.22
349, 0.49
350, 0.29
351, 0.47
352, 0.32
353, 0.53
354, 0.38
355, 0.31
356, 0.26
357, 0.51
358, 0.59
359, 0.26
360, 0.27
361, 0.10
362, 0.42
363, 0.54
364, 0.38
365, 0.67
366, 0.27
367, 0.39
368, 0.33
369, 0.57
370, 0.27
371, 0.40
372, 0.34
373, 0.41
374, 0.52
375, 0.20
376, 0.66
377, 0.21
378, 0.55
379, 0.27
380, 0.44
381, 0.52
382, 0.48
383, 0.71
384, 0.41
385, 0.35
386, 0.41
387, 0.42
388, 0.32
389, 0.38
390, 0.25
391, 0.40
392, 0.56
393, 0.37
394, 0.50
395, 0.37
396, 0.69
397, 0.19
398, 0.29
399, 0.76
400, 0.37
401, 0.53
402, 0.11
403, 0.16
404, 0.68
405, 0.26
406, 0.43
407, 0.37
408, 0.23
409, 0.39
410, 0.22
411, 0.52
412, 0.28
413, 0.28
414, 0.21
415, 0.32
416, 0.49
417, 0.27
418, 0.24
419, 0.54
420, 0.55
421, 0.33
422, 0.39
423, 0.28
424, 0.37
425, 0.48
426, 0.18
427, 0.45
428, 0.30
429, 0.16
430, 0.44
431, 0.69
432, 0.20
433, 0.26
434, 0.47
435, 0.29
436, 0.66
437, 0.64
438, 0.39
439, 0.20
440, 0.47
441, 0.28
442, 0.67
443, 0.42
444, 0.25
445, 0.26
446, 0.58
447, 0.18
448, 0.74
449, 0.21
450, 0.40
451, 0.72
452, 0.72
453, 0.47
454, 0.38
455, 0.26
456, 0.69
457, 0.39
458, 0.68
459, 0.40
460, 0.48
461, 0.28
462, 0.33
463, 0.18
464, 0.23
465, 0.07
466, 0.36
467, 0.36
468, 0.28
469, 0.30
470, 0.51
