ID,Prob1
0, 0.69
1, 0.13
2, 0.26
3, 0.16
4, 0.11
5, 0.12
6, 0.26
7, 0.83
8, 0.78
9, 0.16
10, 0.58
11, 0.15
12, 0.43
13, 0.85
14, 0.24
15, 0.20
16, 0.33
17, 0.17
18, 0.22
19, 0.40
20, 0.36
21, 0.13
22, 0.31
23, 0.67
24, 0.19
25, 0.38
26, 0.52
27, 0.12
28, 0.14
29, 0.77
30, 0.18
31, 0.06
32, 0.45
33, 0.15
34, 0.44
35, 0.55
36, 0.10
37, 0.61
38, 0.51
39, 0.34
40, 0.48
41, 0.13
42, 0.13
43, 0.47
44, 0.74
45, 0.12
46, 0.27
47, 0.84
48, 0.43
49, 0.37
50, 0.79
51, 0.12
52, 0.45
53, 0.23
54, 0.60
55, 0.01
56, 0.83
57, 0.10
58, 0.10
59, 0.09
60, 0.50
61, 0.39
62, 0.15
63, 0.21
64, 0.21
65, 0.22
66, 0.84
67, 0.17
68, 0.28
69, 0.25
70, 0.89
71, 0.86
72, 0.68
73, 0.28
74, 0.11
75, 0.76
76, 0.04
77, 0.64
78, 0.06
79, 0.32
80, 0.43
81, 0.12
82, 0.08
83, 0.04
84, 0.12
85, 0.14
86, 0.54
87, 0.03
88, 0.07
89, 0.74
90, 0.24
91, 0.28
92, 0.27
93, 0.40
94, 0.21
95, 0.13
96, 0.57
97, 0.03
98, 0.18
99, 0.49
100, 0.03
101, 0.48
102, 0.68
103, 0.18
104, 0.27
105, 0.14
106, 0.39
107, 0.22
108, 0.27
109, 0.41
110, 0.43
111, 0.36
112, 0.17
113, 0.26
114, 0.31
115, 0.04
116, 0.08
117, 0.08
118, 0.11
119, 0.22
120, 0.20
121, 0.23
122, 0.87
123, 0.68
124, 0.27
125, 0.50
126, 0.68
127, 0.06
128, 0.18
129, 0.08
130, 0.54
131, 0.54
132, 0.06
133, 0.64
134, 0.09
135, 0.70
136, 0.15
137, 0.01
138, 0.30
139, 0.03
140, 0.07
141, 0.39
142, 0.59
143, 0.10
144, 0.41
145, 0.09
146, 0.33
147, 0.18
148, 0.24
149, 0.58
150, 0.86
151, 0.17
152, 0.79
153, 0.50
154, 0.96
155, 0.05
156, 0.27
157, 0.07
158, 0.11
159, 0.11
160, 0.64
161, 0.04
162, 0.13
163, 0.03
164, 0.03
165, 0.38
166, 0.10
167, 0.41
168, 0.08
169, 0.16
170, 0.07
171, 0.55
172, 0.22
173, 0.47
174, 0.25
175, 0.24
176, 0.10
177, 0.22
178, 0.62
179, 0.05
180, 0.48
181, 0.88
182, 0.09
183, 0.15
184, 0.90
185, 0.32
186, 0.55
187, 0.81
188, 0.08
189, 0.17
190, 0.97
191, 0.03
192, 0.63
193, 0.06
194, 0.20
195, 0.74
196, 0.01
197, 0.11
198, 0.31
199, 0.11
200, 0.20
201, 0.19
202, 0.91
203, 0.05
204, 0.42
205, 0.22
206, 0.17
207, 0.30
208, 0.18
209, 0.72
210, 0.54
211, 0.39
212, 0.80
213, 0.46
214, 0.36
215, 0.25
216, 0.58
217, 0.14
218, 0.16
219, 0.47
220, 0.22
221, 0.09
222, 0.05
223, 0.67
224, 0.60
225, 0.18
226, 0.38
227, 0.38
228, 0.69
229, 0.03
230, 0.12
231, 0.71
232, 0.53
233, 0.14
234, 0.21
235, 0.34
236, 0.10
237, 0.33
238, 0.70
239, 0.38
240, 0.23
241, 0.11
242, 0.19
243, 0.08
244, 0.17
245, 0.10
246, 0.17
247, 0.79
248, 0.44
249, 0.18
250, 0.97
251, 0.35
252, 0.07
253, 0.09
254, 0.33
255, 0.07
256, 0.51
257, 0.04
258, 0.96
259, 0.08
260, 0.81
261, 0.19
262, 0.21
263, 0.06
264, 0.12
265, 0.25
266, 0.02
267, 0.51
268, 0.27
269, 0.38
270, 0.08
271, 0.03
272, 0.19
273, 0.36
274, 0.56
275, 0.30
276, 0.74
277, 0.95
278, 0.29
279, 0.28
280, 0.91
281, 0.17
282, 0.05
283, 0.43
284, 0.02
285, 0.54
286, 0.75
287, 0.30
288, 0.08
289, 0.49
290, 0.16
291, 0.32
292, 0.15
293, 0.48
294, 0.12
295, 0.12
296, 0.26
297, 0.12
298, 0.56
299, 0.92
300, 0.17
301, 0.13
302, 0.42
303, 0.46
304, 0.13
305, 0.58
306, 0.27
307, 0.29
308, 0.10
309, 0.85
310, 0.48
311, 0.12
312, 0.34
313, 0.08
314, 0.69
315, 0.29
316, 0.01
317, 0.57
318, 0.40
319, 0.33
320, 0.20
321, 0.38
322, 0.27
323, 0.61
324, 0.26
325, 0.27
326, 0.34
327, 0.44
328, 0.48
329, 0.18
330, 0.14
331, 0.51
332, 0.60
333, 0.47
334, 0.60
335, 0.17
336, 0.43
337, 0.95
338, 0.23
339, 0.20
340, 0.40
341, 0.11
342, 0.01
343, 0.10
344, 0.27
345, 0.62
346, 0.56
347, 0.02
348, 0.08
349, 0.62
350, 0.17
351, 0.45
352, 0.13
353, 0.49
354, 0.35
355, 0.25
356, 0.07
357, 0.40
358, 0.60
359, 0.26
360, 0.21
361, 0.04
362, 0.32
363, 0.50
364, 0.42
365, 0.82
366, 0.20
367, 0.34
368, 0.33
369, 0.70
370, 0.12
371, 0.28
372, 0.28
373, 0.23
374, 0.53
375, 0.13
376, 0.69
377, 0.07
378, 0.57
379, 0.14
380, 0.38
381, 0.43
382, 0.38
383, 0.89
384, 0.29
385, 0.41
386, 0.21
387, 0.39
388, 0.17
389, 0.21
390, 0.11
391, 0.19
392, 0.78
393, 0.27
394, 0.52
395, 0.36
396, 0.82
397, 0.03
398, 0.19
399, 0.87
400, 0.27
401, 0.44
402, 0.02
403, 0.06
404, 0.81
405, 0.11
406, 0.38
407, 0.26
408, 0.17
409, 0.26
410, 0.03
411, 0.47
412, 0.16
413, 0.17
414, 0.08
415, 0.23
416, 0.42
417, 0.15
418, 0.15
419, 0.69
420, 0.63
421, 0.23
422, 0.37
423, 0.15
424, 0.29
425, 0.47
426, 0.07
427, 0.43
428, 0.19
429, 0.06
430, 0.47
431, 0.82
432, 0.05
433, 0.25
434, 0.42
435, 0.20
436, 0.59
437, 0.83
438, 0.32
439, 0.05
440, 0.65
441, 0.18
442, 0.82
443, 0.24
444, 0.08
445, 0.17
446, 0.64
447, 0.05
448, 0.90
449, 0.20
450, 0.35
451, 0.89
452, 0.74
453, 0.42
454, 0.37
455, 0.17
456, 0.76
457, 0.27
458, 0.77
459, 0.22
460, 0.49
461, 0.12
462, 0.14
463, 0.09
464, 0.11
465, 0.02
466, 0.12
467, 0.35
468, 0.29
469, 0.15
470, 0.58
471, 0.37
472, 0.29
473, 0.38
474, 0.17
475, 0.42
476, 0.10
477, 0.10
478, 0.59
479, 0.31
480, 0.36
481, 0.22
482, 0.38
483, 0.59
484, 0.14
485, 0.80
486, 0.52
487, 0.78
488, 0.56
489, 0.54
490, 0.09
491, 0.06
