ID,Prob1
0, 0.22
1, 0.30
2, 0.49
3, 0.24
4, 0.14
5, 0.39
6, 0.36
7, 0.70
8, 0.71
9, 0.15
10, 0.32
11, 0.27
12, 0.28
13, 0.38
14, 0.42
15, 0.17
16, 0.27
17, 0.11
18, 0.16
19, 0.45
20, 0.32
21, 0.26
22, 0.34
23, 0.29
24, 0.27
25, 0.42
26, 0.33
27, 0.13
28, 0.25
29, 0.80
30, 0.18
31, 0.30
32, 0.24
33, 0.32
34, 0.50
35, 0.41
36, 0.32
37, 0.39
38, 0.38
39, 0.55
40, 0.26
41, 0.17
42, 0.39
43, 0.45
44, 0.30
45, 0.39
46, 0.28
47, 0.47
48, 0.34
49, 0.27
50, 0.51
51, 0.31
52, 0.33
53, 0.24
54, 0.54
55, 0.18
56, 0.50
57, 0.23
58, 0.31
59, 0.24
60, 0.33
61, 0.40
62, 0.20
63, 0.23
64, 0.22
65, 0.25
66, 0.48
67, 0.20
68, 0.24
69, 0.24
70, 0.74
71, 0.90
72, 0.29
73, 0.29
74, 0.20
75, 0.39
76, 0.19
77, 0.31
78, 0.21
79, 0.35
80, 0.31
81, 0.22
82, 0.29
83, 0.41
84, 0.62
85, 0.30
86, 0.73
87, 0.34
88, 0.20
89, 0.49
90, 0.17
91, 0.29
92, 0.24
93, 0.54
94, 0.20
95, 0.24
96, 0.26
97, 0.12
98, 0.19
99, 0.77
100, 0.26
101, 0.41
102, 0.32
103, 0.15
104, 0.21
105, 0.23
106, 0.22
107, 0.24
108, 0.20
109, 0.35
110, 0.31
111, 0.18
112, 0.18
113, 0.30
114, 0.53
115, 0.17
116, 0.18
117, 0.41
118, 0.34
119, 0.33
120, 0.22
121, 0.41
122, 0.58
123, 0.51
124, 0.22
125, 0.37
126, 0.27
127, 0.46
128, 0.33
129, 0.21
130, 0.48
131, 0.44
132, 0.29
133, 0.23
134, 0.18
135, 0.31
136, 0.22
137, 0.14
138, 0.28
139, 0.03
140, 0.18
141, 0.29
142, 0.69
143, 0.22
144, 0.26
145, 0.27
146, 0.45
147, 0.19
148, 0.29
149, 0.30
150, 0.46
151, 0.23
152, 0.32
153, 0.17
154, 0.55
155, 0.31
156, 0.40
157, 0.32
158, 0.19
159, 0.46
160, 0.31
161, 0.35
162, 0.31
163, 0.30
164, 0.22
165, 0.20
166, 0.21
167, 0.38
168, 0.32
169, 0.15
170, 0.18
171, 0.37
172, 0.16
173, 0.51
174, 0.31
175, 0.34
176, 0.30
177, 0.25
178, 0.62
179, 0.16
180, 0.52
181, 0.51
182, 0.46
183, 0.23
184, 0.62
185, 0.33
186, 0.55
187, 0.61
188, 0.37
189, 0.26
190, 0.83
191, 0.40
192, 0.55
193, 0.24
194, 0.30
195, 0.33
196, 0.31
197, 0.35
198, 0.30
199, 0.19
200, 0.17
201, 0.19
202, 0.68
203, 0.24
204, 0.45
205, 0.21
206, 0.34
207, 0.34
208, 0.31
209, 0.57
210, 0.36
211, 0.32
212, 0.28
213, 0.56
214, 0.34
215, 0.14
216, 0.38
217, 0.25
218, 0.14
219, 0.33
220, 0.25
221, 0.60
222, 0.30
223, 0.48
224, 0.35
225, 0.23
226, 0.49
227, 0.28
228, 0.40
229, 0.25
230, 0.29
231, 0.62
232, 0.25
233, 0.23
234, 0.29
235, 0.36
236, 0.30
237, 0.33
238, 0.60
239, 0.41
240, 0.56
241, 0.23
242, 0.27
243, 0.27
244, 0.27
245, 0.43
246, 0.16
247, 0.59
248, 0.40
249, 0.22
250, 0.46
251, 0.21
252, 0.13
253, 0.22
254, 0.24
255, 0.20
256, 0.31
257, 0.22
258, 0.70
259, 0.22
260, 0.41
261, 0.48
262, 0.32
263, 0.10
264, 0.27
265, 0.34
266, 0.23
267, 0.24
268, 0.20
269, 0.50
270, 0.02
271, 0.18
272, 0.17
273, 0.27
274, 0.49
275, 0.26
276, 0.74
277, 0.76
278, 0.36
279, 0.23
280, 0.44
281, 0.22
282, 0.16
283, 0.23
284, 0.33
285, 0.46
286, 0.31
287, 0.33
288, 0.30
289, 0.23
290, 0.23
291, 0.33
292, 0.29
293, 0.25
294, 0.25
295, 0.16
296, 0.36
297, 0.05
298, 0.22
299, 0.57
300, 0.28
301, 0.49
302, 0.62
303, 0.49
304, 0.30
305, 0.37
306, 0.34
307, 0.22
308, 0.30
309, 0.34
310, 0.26
311, 0.24
312, 0.40
313, 0.27
314, 0.67
315, 0.44
316, 0.09
317, 0.29
318, 0.26
319, 0.47
320, 0.28
321, 0.47
322, 0.27
323, 0.25
324, 0.21
325, 0.35
326, 0.45
327, 0.40
328, 0.23
329, 0.16
330, 0.16
331, 0.52
332, 0.37
333, 0.22
334, 0.35
335, 0.18
336, 0.25
337, 0.78
338, 0.34
339, 0.31
340, 0.53
341, 0.18
342, 0.30
343, 0.04
344, 0.25
345, 0.60
346, 0.61
347, 0.15
348, 0.19
349, 0.35
350, 0.14
351, 0.37
352, 0.18
353, 0.43
354, 0.32
355, 0.27
356, 0.14
357, 0.34
358, 0.17
359, 0.18
360, 0.34
361, 0.19
362, 0.16
363, 0.40
364, 0.25
365, 0.78
366, 0.29
367, 0.36
368, 0.21
369, 0.36
370, 0.21
371, 0.20
372, 0.23
373, 0.21
374, 0.43
375, 0.31
376, 0.40
377, 0.25
378, 0.54
379, 0.22
380, 0.52
381, 0.26
382, 0.24
383, 0.72
384, 0.27
385, 0.38
386, 0.35
387, 0.33
388, 0.21
389, 0.38
390, 0.17
391, 0.23
392, 0.55
393, 0.25
394, 0.36
395, 0.18
396, 0.27
397, 0.43
398, 0.24
399, 0.77
400, 0.34
401, 0.24
402, 0.16
403, 0.21
404, 0.27
405, 0.26
406, 0.46
407, 0.32
408, 0.33
409, 0.27
410, 0.11
411, 0.23
412, 0.43
413, 0.43
414, 0.27
415, 0.24
416, 0.28
417, 0.21
418, 0.24
419, 0.41
420, 0.45
421, 0.18
422, 0.27
423, 0.26
424, 0.32
425, 0.39
426, 0.17
427, 0.33
428, 0.18
429, 0.08
430, 0.35
431, 0.43
432, 0.14
433, 0.26
434, 0.56
435, 0.32
436, 0.36
437, 0.47
438, 0.32
439, 0.23
440, 0.26
441, 0.22
442, 0.64
443, 0.23
444, 0.24
445, 0.22
446, 0.43
447, 0.29
448, 0.75
449, 0.47
450, 0.29
451, 0.47
452, 0.30
453, 0.57
454, 0.28
455, 0.18
456, 0.61
457, 0.51
458, 0.23
459, 0.22
460, 0.55
461, 0.22
462, 0.21
463, 0.30
464, 0.31
465, 0.26
466, 0.28
467, 0.45
468, 0.22
469, 0.38
470, 0.30
471, 0.41
472, 0.24
473, 0.35
474, 0.40
475, 0.29
