ID,Prob1
0, 0.67
1, 0.25
2, 0.20
3, 0.22
4, 0.33
5, 0.30
6, 0.51
7, 0.78
8, 0.35
9, 0.23
10, 0.51
11, 0.30
12, 0.28
13, 0.30
14, 0.42
15, 0.46
16, 0.27
17, 0.57
18, 0.23
19, 0.41
20, 0.29
21, 0.30
22, 0.47
23, 0.45
24, 0.44
25, 0.22
26, 0.31
27, 0.31
28, 0.16
29, 0.78
30, 0.19
31, 0.17
32, 0.42
33, 0.46
34, 0.55
35, 0.69
36, 0.45
37, 0.14
38, 0.57
39, 0.68
40, 0.53
41, 0.33
42, 0.21
43, 0.31
44, 0.32
45, 0.14
46, 0.46
47, 0.53
48, 0.85
49, 0.32
50, 0.86
51, 0.35
52, 0.22
53, 0.16
54, 0.66
55, 0.17
56, 0.55
57, 0.29
58, 0.33
59, 0.29
60, 0.56
61, 0.19
62, 0.48
63, 0.44
64, 0.38
65, 0.37
66, 0.45
67, 0.23
68, 0.14
69, 0.21
70, 0.45
71, 0.71
72, 0.29
73, 0.51
74, 0.37
75, 0.35
76, 0.54
77, 0.46
78, 0.21
79, 0.30
80, 0.47
81, 0.19
82, 0.43
83, 0.15
84, 0.42
85, 0.20
86, 0.67
87, 0.31
88, 0.28
89, 0.31
90, 0.12
91, 0.40
92, 0.28
93, 0.34
94, 0.39
95, 0.43
96, 0.29
97, 0.20
98, 0.37
99, 0.42
100, 0.43
101, 0.22
102, 0.17
103, 0.20
104, 0.25
105, 0.45
106, 0.33
107, 0.47
108, 0.18
109, 0.45
110, 0.40
111, 0.23
112, 0.45
113, 0.33
114, 0.58
115, 0.29
116, 0.29
117, 0.65
118, 0.44
119, 0.26
120, 0.20
121, 0.53
122, 0.69
123, 0.68
124, 0.73
125, 0.13
126, 0.23
127, 0.61
128, 0.21
129, 0.17
130, 0.53
131, 0.43
132, 0.31
133, 0.23
134, 0.51
135, 0.46
136, 0.21
137, 0.20
138, 0.17
139, 0.51
140, 0.16
141, 0.29
142, 0.58
143, 0.17
144, 0.31
145, 0.41
146, 0.45
147, 0.17
148, 0.31
149, 0.18
150, 0.45
151, 0.20
152, 0.43
153, 0.09
154, 0.55
155, 0.56
156, 0.47
157, 0.28
158, 0.35
159, 0.34
160, 0.27
161, 0.28
162, 0.39
163, 0.29
164, 0.20
165, 0.65
166, 0.23
167, 0.45
168, 0.23
169, 0.16
170, 0.22
171, 0.55
172, 0.29
173, 0.47
174, 0.45
175, 0.39
176, 0.41
177, 0.33
178, 0.28
179, 0.16
180, 0.65
181, 0.46
182, 0.46
183, 0.20
184, 0.72
185, 0.22
186, 0.47
187, 0.57
188, 0.34
189, 0.62
190, 0.66
191, 0.43
192, 0.40
193, 0.34
194, 0.20
195, 0.43
196, 0.27
197, 0.15
198, 0.45
199, 0.47
200, 0.26
201, 0.30
202, 0.57
203, 0.17
204, 0.56
205, 0.30
206, 0.64
207, 0.30
208, 0.29
209, 0.68
210, 0.52
211, 0.48
212, 0.17
213, 0.21
214, 0.43
215, 0.19
216, 0.47
217, 0.32
218, 0.35
219, 0.57
220, 0.55
221, 0.37
222, 0.57
223, 0.68
224, 0.28
225, 0.17
226, 0.77
227, 0.43
228, 0.33
229, 0.22
230, 0.55
231, 0.79
232, 0.27
233, 0.57
234, 0.55
235, 0.21
236, 0.49
237, 0.35
238, 0.56
239, 0.65
240, 0.62
241, 0.41
242, 0.16
243, 0.32
244, 0.48
245, 0.22
246, 0.19
247, 0.66
248, 0.43
249, 0.27
250, 0.65
251, 0.37
252, 0.19
253, 0.32
254, 0.23
255, 0.52
256, 0.44
257, 0.31
258, 0.70
259, 0.36
260, 0.49
261, 0.54
262, 0.24
263, 0.20
264, 0.32
265, 0.16
266, 0.43
267, 0.31
268, 0.30
269, 0.22
270, 0.28
271, 0.36
272, 0.14
273, 0.33
274, 0.44
275, 0.66
276, 0.82
277, 0.50
278, 0.42
279, 0.27
280, 0.83
281, 0.28
282, 0.29
283, 0.35
284, 0.48
285, 0.79
286, 0.51
287, 0.30
288, 0.35
289, 0.29
290, 0.19
291, 0.69
292, 0.25
293, 0.33
294, 0.40
295, 0.28
296, 0.40
297, 0.31
298, 0.32
299, 0.69
300, 0.38
301, 0.34
302, 0.68
303, 0.51
304, 0.37
305, 0.51
306, 0.32
307, 0.23
308, 0.22
309, 0.44
310, 0.53
311, 0.32
312, 0.58
313, 0.27
314, 0.67
315, 0.27
316, 0.29
317, 0.28
318, 0.45
319, 0.56
320, 0.16
321, 0.46
322, 0.33
323, 0.72
324, 0.32
325, 0.47
326, 0.52
327, 0.32
328, 0.28
329, 0.40
330, 0.43
331, 0.59
332, 0.18
333, 0.20
334, 0.20
335, 0.25
336, 0.23
337, 0.55
338, 0.47
339, 0.46
340, 0.40
341, 0.34
342, 0.22
343, 0.23
344, 0.21
345, 0.40
346, 0.44
347, 0.22
348, 0.33
349, 0.38
350, 0.42
351, 0.57
352, 0.22
353, 0.67
354, 0.68
355, 0.39
356, 0.11
357, 0.16
358, 0.44
359, 0.16
360, 0.22
361, 0.14
362, 0.32
363, 0.41
364, 0.22
365, 0.78
366, 0.25
367, 0.23
368, 0.22
369, 0.57
370, 0.36
371, 0.39
372, 0.23
373, 0.27
374, 0.47
375, 0.38
376, 0.71
377, 0.46
378, 0.22
379, 0.33
380, 0.57
381, 0.43
382, 0.47
383, 0.67
384, 0.34
385, 0.33
386, 0.47
387, 0.67
388, 0.41
389, 0.42
390, 0.39
391, 0.31
392, 0.69
393, 0.23
394, 0.53
395, 0.46
396, 0.21
397, 0.59
398, 0.33
399, 0.47
400, 0.40
401, 0.29
402, 0.17
403, 0.32
404, 0.20
405, 0.45
406, 0.27
407, 0.64
408, 0.44
409, 0.30
410, 0.50
411, 0.37
412, 0.32
413, 0.44
414, 0.36
415, 0.42
416, 0.34
417, 0.22
418, 0.27
419, 0.43
420, 0.35
421, 0.32
422, 0.45
423, 0.53
424, 0.45
425, 0.33
426, 0.42
427, 0.32
428, 0.41
429, 0.35
430, 0.23
431, 0.39
432, 0.13
433, 0.18
434, 0.67
435, 0.19
436, 0.21
437, 0.57
438, 0.46
439, 0.33
440, 0.19
441, 0.25
442, 0.78
443, 0.36
444, 0.17
445, 0.41
446, 0.66
447, 0.55
448, 0.58
449, 0.82
450, 0.47
451, 0.43
452, 0.25
453, 0.43
454, 0.31
455, 0.27
456, 0.81
457, 0.45
458, 0.22
459, 0.34
460, 0.52
461, 0.48
462, 0.26
463, 0.32
464, 0.32
465, 0.21
466, 0.22
467, 0.31
468, 0.20
469, 0.40
470, 0.44
471, 0.59
472, 0.49
473, 0.45
474, 0.42
475, 0.25
476, 0.18
477, 0.35
478, 0.45
479, 0.24
480, 0.33
481, 0.46
482, 0.33
483, 0.42
484, 0.31
485, 0.87
486, 0.71
487, 0.56
488, 0.28
489, 0.61
490, 0.41
491, 0.33
492, 0.44
493, 0.35
494, 0.43
495, 0.30
496, 0.62
497, 0.82
498, 0.41
499, 0.71
500, 0.43
501, 0.70
502, 0.20
503, 0.67
504, 0.85
505, 0.15
506, 0.57
507, 0.25
508, 0.18
509, 0.25
510, 0.43
511, 0.58
512, 0.20
513, 0.18
514, 0.55
515, 0.70
516, 0.17
517, 0.40
518, 0.55
519, 0.78
520, 0.55
521, 0.69
522, 0.18
523, 0.63
524, 0.62
525, 0.78
526, 0.33
527, 0.21
528, 0.55
529, 0.15
530, 0.23
531, 0.47
532, 0.18
533, 0.57
534, 0.53
535, 0.45
536, 0.51
537, 0.20
538, 0.55
539, 0.67
540, 0.33
541, 0.27
542, 0.40
543, 0.71
544, 0.38
545, 0.30
546, 0.23
547, 0.21
548, 0.55
549, 0.40
550, 0.52
551, 0.35
552, 0.38
553, 0.26
554, 0.65
