ID,Prob1
0, 0.39
1, 0.22
2, 0.52
3, 0.21
4, 0.08
5, 0.33
6, 0.26
7, 0.60
8, 0.76
9, 0.17
10, 0.31
11, 0.28
12, 0.30
13, 0.44
14, 0.37
15, 0.15
16, 0.33
17, 0.11
18, 0.18
19, 0.36
20, 0.44
21, 0.26
22, 0.42
23, 0.26
24, 0.24
25, 0.44
26, 0.43
27, 0.17
28, 0.05
29, 0.81
30, 0.07
31, 0.28
32, 0.07
33, 0.29
34, 0.41
35, 0.42
36, 0.23
37, 0.34
38, 0.30
39, 0.41
40, 0.27
41, 0.28
42, 0.26
43, 0.43
44, 0.39
45, 0.28
46, 0.26
47, 0.55
48, 0.32
49, 0.35
50, 0.59
51, 0.38
52, 0.24
53, 0.31
54, 0.62
55, 0.16
56, 0.75
57, 0.35
58, 0.39
59, 0.14
60, 0.43
61, 0.50
62, 0.28
63, 0.14
64, 0.12
65, 0.38
66, 0.55
67, 0.08
68, 0.23
69, 0.22
70, 0.75
71, 0.83
72, 0.37
73, 0.29
74, 0.03
75, 0.46
76, 0.13
77, 0.39
78, 0.16
79, 0.40
80, 0.28
81, 0.23
82, 0.23
83, 0.27
84, 0.46
85, 0.26
86, 0.81
87, 0.19
88, 0.22
89, 0.42
90, 0.08
91, 0.25
92, 0.20
93, 0.38
94, 0.07
95, 0.29
96, 0.42
97, 0.08
98, 0.17
99, 0.77
100, 0.47
101, 0.34
102, 0.23
103, 0.19
104, 0.14
105, 0.40
106, 0.22
107, 0.25
108, 0.23
109, 0.52
110, 0.31
111, 0.20
112, 0.16
113, 0.25
114, 0.65
115, 0.08
116, 0.19
117, 0.25
118, 0.29
119, 0.34
120, 0.15
121, 0.36
122, 0.54
123, 0.48
124, 0.12
125, 0.46
126, 0.29
127, 0.33
128, 0.19
129, 0.17
130, 0.56
131, 0.43
132, 0.02
133, 0.17
134, 0.17
135, 0.21
136, 0.11
137, 0.07
138, 0.38
139, 0.12
140, 0.32
141, 0.32
142, 0.60
143, 0.17
144, 0.36
145, 0.29
146, 0.56
147, 0.13
148, 0.27
149, 0.31
150, 0.68
151, 0.32
152, 0.38
153, 0.14
154, 0.63
155, 0.30
156, 0.42
157, 0.33
158, 0.17
159, 0.39
160, 0.36
161, 0.23
162, 0.25
163, 0.09
164, 0.13
165, 0.36
166, 0.09
167, 0.33
168, 0.29
169, 0.07
170, 0.15
171, 0.35
172, 0.24
173, 0.54
174, 0.34
175, 0.27
176, 0.24
177, 0.29
178, 0.55
179, 0.14
180, 0.46
181, 0.54
182, 0.25
183, 0.06
184, 0.77
185, 0.28
186, 0.64
187, 0.68
188, 0.32
189, 0.24
190, 0.98
191, 0.39
192, 0.37
193, 0.23
194, 0.25
195, 0.51
196, 0.18
197, 0.18
198, 0.36
199, 0.25
200, 0.11
201, 0.18
202, 0.86
203, 0.12
204, 0.35
205, 0.11
206, 0.23
207, 0.34
208, 0.35
209, 0.52
210, 0.33
211, 0.44
212, 0.34
213, 0.52
214, 0.42
215, 0.12
216, 0.27
217, 0.28
218, 0.16
219, 0.40
220, 0.22
221, 0.49
222, 0.33
223, 0.43
224, 0.36
225, 0.21
226, 0.47
227, 0.19
228, 0.34
229, 0.12
230, 0.34
231, 0.66
232, 0.29
233, 0.24
234, 0.21
235, 0.34
236, 0.26
237, 0.38
238, 0.60
239, 0.19
240, 0.47
241, 0.17
242, 0.18
243, 0.29
244, 0.45
245, 0.45
246, 0.21
247, 0.71
248, 0.46
249, 0.16
250, 0.60
251, 0.31
252, 0.16
253, 0.22
254, 0.36
255, 0.33
256, 0.30
257, 0.33
258, 0.77
259, 0.14
260, 0.67
261, 0.46
262, 0.24
263, 0.06
264, 0.18
265, 0.18
266, 0.09
267, 0.21
268, 0.24
269, 0.48
270, 0.15
271, -0.01
272, 0.10
273, 0.32
274, 0.59
275, 0.23
276, 0.79
277, 0.79
278, 0.41
279, 0.29
280, 0.55
281, 0.27
282, 0.12
283, 0.18
284, 0.23
285, 0.43
286, 0.28
287, 0.41
288, 0.34
289, 0.29
290, 0.22
291, 0.33
