ID,Prob1
0, 0.34
1, 0.33
2, 0.40
3, 0.31
4, 0.21
5, 0.44
6, 0.29
7, 0.67
8, 0.59
9, 0.16
10, 0.25
11, 0.32
12, 0.21
13, 0.44
14, 0.43
15, 0.24
16, 0.31
17, 0.13
18, 0.15
19, 0.44
20, 0.27
21, 0.28
22, 0.31
23, 0.28
24, 0.22
25, 0.36
26, 0.32
27, 0.21
28, 0.23
29, 0.85
30, 0.11
31, 0.21
32, 0.24
33, 0.37
34, 0.47
35, 0.47
36, 0.27
37, 0.32
38, 0.45
39, 0.48
40, 0.35
41, 0.20
42, 0.36
43, 0.51
44, 0.46
45, 0.30
46, 0.33
47, 0.40
48, 0.31
49, 0.26
50, 0.58
51, 0.39
52, 0.28
53, 0.23
54, 0.57
55, 0.19
56, 0.60
57, 0.18
58, 0.17
59, 0.28
60, 0.28
61, 0.56
62, 0.31
63, 0.22
64, 0.25
65, 0.21
66, 0.36
67, 0.18
68, 0.23
69, 0.19
70, 0.83
71, 0.76
72, 0.34
73, 0.27
74, 0.15
75, 0.44
76, 0.21
77, 0.39
78, 0.17
79, 0.24
80, 0.27
81, 0.22
82, 0.29
83, 0.26
84, 0.60
85, 0.33
86, 0.71
87, 0.20
88, 0.16
89, 0.36
90, 0.15
91, 0.29
92, 0.21
93, 0.52
94, 0.20
95, 0.31
96, 0.33
97, 0.07
98, 0.21
99, 0.67
100, 0.52
101, 0.48
102, 0.29
103, 0.12
104, 0.06
105, 0.41
106, 0.23
107, 0.23
108, 0.24
109, 0.35
110, 0.30
111, 0.17
112, 0.19
113, 0.39
114, 0.53
115, 0.07
116, 0.10
117, 0.27
118, 0.27
119, 0.35
120, 0.17
121, 0.37
122, 0.54
123, 0.41
124, 0.19
125, 0.47
126, 0.30
127, 0.39
128, 0.19
129, 0.20
130, 0.57
131, 0.46
132, 0.16
133, 0.26
134, 0.06
135, 0.32
136, 0.24
137, 0.17
138, 0.23
139, 0.15
140, 0.22
141, 0.28
142, 0.74
143, 0.19
144, 0.26
145, 0.24
146, 0.42
147, 0.13
148, 0.24
149, 0.23
150, 0.51
151, 0.20
152, 0.37
153, 0.08
154, 0.55
155, 0.32
156, 0.33
157, 0.41
158, 0.20
159, 0.37
160, 0.38
161, 0.37
162, 0.26
163, 0.24
164, 0.25
165, 0.21
166, 0.18
167, 0.42
168, 0.43
169, 0.10
170, 0.17
171, 0.46
172, 0.06
173, 0.61
174, 0.34
175, 0.35
176, 0.37
177, 0.34
178, 0.62
179, 0.14
180, 0.56
181, 0.47
182, 0.32
183, 0.22
184, 0.55
185, 0.33
186, 0.64
187, 0.58
188, 0.31
189, 0.32
190, 0.81
191, 0.44
192, 0.59
193, 0.14
194, 0.34
195, 0.32
196, 0.30
197, 0.30
198, 0.27
199, 0.15
200, 0.12
201, 0.19
202, 0.72
203, 0.24
204, 0.33
205, 0.25
206, 0.29
207, 0.38
208, 0.26
209, 0.52
210, 0.26
211, 0.39
212, 0.32
213, 0.54
214, 0.39
215, 0.09
216, 0.36
217, 0.21
218, 0.17
219, 0.38
220, 0.27
221, 0.48
222, 0.43
223, 0.58
224, 0.36
225, 0.18
226, 0.46
227, 0.33
228, 0.32
229, 0.21
230, 0.25
231, 0.56
232, 0.30
233, 0.18
234, 0.27
235, 0.32
236, 0.30
237, 0.29
238, 0.62
239, 0.32
240, 0.45
241, 0.21
242, 0.27
243, 0.16
244, 0.28
245, 0.30
246, 0.19
247, 0.75
248, 0.42
249, 0.27
250, 0.46
251, 0.21
252, 0.16
253, 0.24
254, 0.23
255, 0.22
256, 0.22
257, 0.18
258, 0.75
259, 0.14
260, 0.45
261, 0.44
262, 0.33
263, 0.06
264, 0.28
265, 0.33
266, 0.30
267, 0.10
268, 0.19
269, 0.48
270, 0.13
271, 0.13
272, 0.15
273, 0.23
274, 0.58
275, 0.28
276, 0.67
277, 0.71
278, 0.36
279, 0.27
280, 0.42
281, 0.27
282, 0.20
283, 0.23
284, 0.31
285, 0.52
286, 0.16
287, 0.33
288, 0.45
289, 0.28
290, 0.28
291, 0.35
292, 0.31
293, 0.37
