ID,Prob1
0, 0.27
1, 0.34
2, 0.43
3, 0.28
4, 0.21
5, 0.29
6, 0.30
7, 0.79
8, 0.50
9, 0.12
10, 0.56
11, 0.43
12, 0.24
13, 0.20
14, 0.50
15, 0.29
16, 0.21
17, 0.10
18, 0.14
19, 0.33
20, 0.37
21, 0.24
22, 0.35
23, 0.25
24, 0.22
25, 0.41
26, 0.28
27, 0.22
28, 0.27
29, 0.82
30, 0.10
31, 0.32
32, 0.21
33, 0.35
34, 0.46
35, 0.43
36, 0.27
37, 0.30
38, 0.41
39, 0.50
40, 0.27
41, 0.21
42, 0.36
43, 0.31
44, 0.31
45, 0.34
46, 0.25
47, 0.59
48, 0.33
49, 0.19
50, 0.38
51, 0.33
52, 0.38
53, 0.24
54, 0.56
55, 0.17
56, 0.48
57, 0.24
58, 0.24
59, 0.24
60, 0.30
61, 0.50
62, 0.41
63, 0.28
64, 0.25
65, 0.25
66, 0.53
67, 0.24
68, 0.28
69, 0.06
70, 0.86
71, 0.83
72, 0.27
73, 0.29
74, 0.21
75, 0.37
76, 0.13
77, 0.27
78, 0.21
79, 0.34
80, 0.41
81, 0.18
82, 0.31
83, 0.33
84, 0.38
85, 0.28
86, 0.72
87, 0.28
88, 0.21
89, 0.45
90, 0.17
91, 0.25
92, 0.29
93, 0.59
94, 0.26
95, 0.28
96, 0.30
97, 0.18
98, 0.21
99, 0.71
100, 0.29
101, 0.36
102, 0.34
103, 0.12
104, 0.28
105, 0.26
106, 0.33
107, 0.30
108, 0.18
109, 0.34
110, 0.31
111, 0.25
112, 0.12
113, 0.32
114, 0.63
115, 0.12
116, 0.19
117, 0.41
118, 0.34
119, 0.35
120, 0.16
121, 0.41
122, 0.54
123, 0.49
124, 0.25
125, 0.16
126, 0.23
127, 0.42
128, 0.27
129, 0.21
130, 0.72
131, 0.42
132, 0.25
133, 0.27
134, 0.15
135, 0.33
136, 0.24
137, 0.18
138, 0.28
139, 0.11
140, 0.22
141, 0.30
142, 0.60
143, 0.16
144, 0.23
145, 0.17
146, 0.36
147, 0.21
148, 0.25
149, 0.30
150, 0.41
151, 0.27
152, 0.28
153, 0.25
154, 0.67
155, 0.29
156, 0.35
157, 0.31
158, 0.20
159, 0.54
160, 0.40
161, 0.35
162, 0.30
163, 0.26
164, 0.21
165, 0.19
166, 0.15
167, 0.36
168, 0.12
169, 0.12
170, 0.22
171, 0.43
172, 0.18
173, 0.33
174, 0.34
175, 0.26
176, 0.27
177, 0.27
178, 0.61
179, 0.16
180, 0.46
181, 0.53
182, 0.36
183, 0.24
184, 0.64
185, 0.28
186, 0.53
187, 0.62
188, 0.39
189, 0.29
190, 0.97
191, 0.47
192, 0.44
193, 0.27
194, 0.28
195, 0.29
196, 0.32
197, 0.38
198, 0.32
199, 0.25
200, 0.15
201, 0.28
202, 0.69
203, 0.15
204, 0.32
205, 0.18
206, 0.36
207, 0.37
208, 0.28
209, 0.57
210, 0.39
211, 0.38
212, 0.32
213, 0.47
214, 0.26
215, 0.23
216, 0.39
217, 0.22
218, 0.14
219, 0.30
220, 0.25
221, 0.45
222, 0.43
223, 0.44
224, 0.31
225, 0.28
226, 0.61
227, 0.32
228, 0.53
229, 0.27
230, 0.25
231, 0.69
232, 0.33
233, 0.42
234, 0.28
235, 0.27
236, 0.37
237, 0.29
238, 0.56
239, 0.27
240, 0.65
241, 0.21
242, 0.31
243, 0.14
244, 0.36
245, 0.56
246, 0.16
247, 0.60
248, 0.35
249, 0.24
250, 0.63
251, 0.21
252, 0.23
253, 0.23
254, 0.28
255, 0.18
256, 0.23
257, 0.24
258, 0.62
259, 0.25
260, 0.49
261, 0.29
262, 0.32
263, 0.20
264, 0.33
265, 0.33
266, 0.31
267, 0.23
268, 0.18
269, 0.69
270, 0.10
271, 0.24
272, 0.20
273, 0.31
274, 0.49
275, 0.27
276, 0.75
277, 0.75
278, 0.31
279, 0.24
280, 0.56
281, 0.21
282, 0.13
283, 0.21
284, 0.29
285, 0.20
286, 0.23
287, 0.40
288, 0.28
289, 0.30
290, 0.21
291, 0.31
292, 0.26
293, 0.33
294, 0.25
295, 0.12
296, 0.54
297, 0.09
298, 0.27
299, 0.68
300, 0.29
301, 0.41
302, 0.24
303, 0.35
304, 0.53
305, 0.45
306, 0.37
307, 0.18
308, 0.40
309, 0.32
310, 0.29
311, 0.24
312, 0.31
313, 0.28
314, 0.65
315, 0.46
316, 0.11
317, 0.36
318, 0.33
319, 0.51
320, 0.40
321, 0.25
322, 0.30
323, 0.22
324, 0.25
325, 0.34
326, 0.34
327, 0.28
328, 0.23
329, 0.18
330, 0.10
331, 0.54
332, 0.33
333, 0.21
334, 0.29
335, 0.18
336, 0.24
337, 0.85
338, 0.39
339, 0.25
340, 0.45
341, 0.15
342, 0.26
343, 0.06
344, 0.22
345, 0.62
346, 0.61
347, 0.19
348, 0.17
349, 0.71
350, 0.15
351, 0.32
352, 0.15
353, 0.49
354, 0.41
355, 0.24
356, 0.16
357, 0.35
358, 0.20
359, 0.26
360, 0.21
361, 0.24
362, 0.13
363, 0.44
364, 0.25
365, 0.64
366, 0.23
367, 0.39
368, 0.21
369, 0.34
370, 0.28
371, 0.18
372, 0.28
373, 0.20
374, 0.39
375, 0.39
376, 0.45
377, 0.23
378, 0.75
379, 0.23
380, 0.57
381, 0.25
382, 0.24
383, 0.77
384, 0.24
385, 0.37
386, 0.33
387, 0.32
388, 0.23
389, 0.22
390, 0.18
391, 0.21
392, 0.46
393, 0.24
394, 0.46
395, 0.18
396, 0.24
397, 0.22
398, 0.18
399, 0.76
400, 0.31
401, 0.28
402, 0.17
403, 0.24
404, 0.32
405, 0.23
406, 0.47
407, 0.22
408, 0.30
409, 0.22
410, 0.11
411, 0.28
412, 0.57
413, 0.42
414, 0.25
415, 0.18
416, 0.22
417, 0.22
418, 0.29
419, 0.35
420, 0.46
421, 0.19
422, 0.24
423, 0.34
424, 0.32
425, 0.36
426, 0.17
427, 0.30
428, 0.11
429, 0.50
430, 0.40
431, 0.40
432, 0.10
433, 0.20
434, 0.61
435, 0.30
436, 0.38
437, 0.40
438, 0.36
439, 0.20
440, 0.24
441, 0.21
442, 0.56
443, 0.20
444, 0.26
445, 0.18
446, 0.47
447, 0.29
448, 0.80
449, 0.34
450, 0.12
451, 0.53
452, 0.24
453, 0.63
454, 0.32
455, 0.23
456, 0.76
457, 0.46
458, 0.38
459, 0.22
460, 0.64
461, 0.25
462, 0.20
463, 0.14
464, 0.27
465, 0.27
466, 0.27
467, 0.49
468, 0.26
469, 0.36
470, 0.29
471, 0.34
472, 0.14
473, 0.71
474, 0.38
475, 0.27
476, 0.33
477, 0.29
478, 0.19
479, 0.12
480, 0.15
481, 0.37
482, 0.45
483, 0.26
484, 0.23
485, 0.82
486, 0.52
487, 0.58
488, 0.36
489, 0.52
490, 0.27
491, 0.56
492, 0.14
493, 0.18
494, 0.54
495, 0.49
496, 0.92
497, 0.78
498, 0.52
