ID,Prob1
0, 0.35
1, 0.43
2, 0.58
3, 0.32
4, 0.26
5, 0.37
6, 0.25
7, 0.73
8, 0.58
9, 0.27
10, 0.34
11, 0.37
12, 0.36
13, 0.42
14, 0.35
15, 0.38
16, 0.33
17, 0.14
18, 0.14
19, 0.47
20, 0.56
21, 0.35
22, 0.31
23, 0.31
24, 0.30
25, 0.38
26, 0.35
27, 0.06
28, 0.26
29, 0.97
30, 0.13
31, 0.22
32, 0.23
33, 0.19
34, 0.48
35, 0.47
36, 0.25
37, 0.37
38, 0.43
39, 0.57
40, 0.18
41, 0.19
42, 0.12
43, 0.42
44, 0.46
45, 0.47
46, 0.32
47, 0.56
48, 0.45
49, 0.34
50, 0.71
51, 0.23
52, 0.18
53, 0.35
54, 0.70
55, 0.24
56, 0.65
57, 0.21
58, 0.09
59, 0.33
60, 0.40
61, 0.41
62, 0.16
63, 0.23
64, 0.21
65, 0.26
66, 0.59
67, 0.24
68, 0.32
69, 0.13
70, 0.82
71, 0.80
72, 0.38
73, 0.28
74, 0.15
75, 0.43
76, 0.16
77, 0.44
78, 0.25
79, 0.23
80, 0.28
81, 0.21
82, 0.23
83, 0.35
84, 0.69
85, 0.28
86, 0.78
87, 0.28
88, 0.14
89, 0.41
90, 0.20
91, 0.38
92, 0.18
93, 0.51
94, 0.14
95, 0.13
96, 0.39
97, 0.13
98, 0.21
99, 0.64
100, 0.47
101, 0.48
102, 0.24
103, 0.07
104, 0.30
105, 0.21
106, 0.41
107, 0.25
108, 0.25
109, 0.40
110, 0.31
111, 0.25
112, 0.03
113, 0.28
114, 0.31
115, 0.13
116, 0.13
117, 0.36
118, 0.23
119, 0.36
120, 0.24
121, 0.34
122, 0.72
123, 0.41
124, 0.29
125, 0.42
126, 0.28
127, 0.22
128, 0.25
129, 0.15
130, 0.47
131, 0.56
132, 0.26
133, 0.24
134, 0.20
135, 0.41
136, 0.14
137, 0.09
138, 0.24
139, 0.06
140, 0.13
141, 0.22
142, 0.45
143, 0.23
144, 0.21
145, 0.44
146, 0.50
147, 0.23
148, 0.31
149, 0.31
150, 0.46
151, 0.27
152, 0.29
153, 0.17
154, 0.41
155, 0.34
156, 0.44
157, 0.33
158, 0.11
159, 0.49
160, 0.41
161, 0.23
162, 0.23
163, 0.20
164, 0.09
165, 0.17
166, 0.14
167, 0.39
168, 0.23
169, 0.22
170, -0.09
171, 0.37
172, 0.22
173, 0.45
174, 0.37
175, 0.39
176, 0.12
177, 0.15
178, 0.55
179, 0.03
180, 0.49
181, 0.68
182, 0.20
183, 0.23
184, 0.61
185, 0.29
186, 0.71
187, 0.73
188, 0.34
189, 0.34
190, 0.97
191, 0.48
192, 0.57
193, 0.07
194, 0.39
195, 0.43
196, 0.07
197, 0.15
198, 0.32
199, 0.16
200, 0.12
201, 0.23
202, 0.75
203, 0.19
204, 0.28
205, 0.25
206, 0.51
207, 0.43
208, 0.29
209, 0.43
210, 0.41
211, 0.41
212, 0.32
213, 0.49
214, 0.45
215, 0.21
216, 0.36
217, 0.24
218, 0.14
219, 0.29
220, 0.22
221, 0.55
222, 0.21
223, 0.44
224, 0.22
225, 0.35
226, 0.58
227, 0.36
228, 0.45
229, 0.15
230, 0.27
231, 0.62
232, 0.40
233, 0.45
234, 0.38
235, 0.30
236, 0.29
237, 0.23
238, 0.67
239, 0.20
240, 0.28
241, 0.21
242, 0.29
243, 0.15
244, 0.41
245, 0.44
246, 0.26
247, 0.68
248, 0.38
249, 0.25
250, 0.75
251, 0.31
252, 0.21
253, 0.13
254, 0.37
255, 0.11
256, 0.23
257, 0.36
258, 0.77
259, 0.22
260, 0.65
261, 0.43
262, 0.42
263, 0.12
264, 0.27
265, 0.24
266, 0.09
267, 0.26
268, 0.27
269, 0.47
270, 0.27
271, 0.03
272, 0.16
273, 0.43
274, 0.64
275, 0.17
276, 0.68
277, 0.77
278, 0.20
279, 0.31
280, 0.68
281, 0.25
282, 0.26
283, 0.09
284, 0.26
285, 0.50
286, 0.20
287, 0.43
288, 0.18
289, 0.36
290, 0.33
291, 0.37
292, 0.21
293, 0.24
294, 0.08
295, 0.18
296, 0.47
297, 0.05
298, 0.19
299, 0.63
300, 0.37
301, 0.49
302, 0.67
303, 0.39
304, 0.20
305, 0.56
306, 0.41
307, 0.15
308, 0.19
309, 0.57
310, 0.32
311, 0.21
312, 0.35
313, 0.20
314, 0.52
315, 0.46
316, 0.08
317, 0.31
318, 0.13
319, 0.61
320, 0.25
321, 0.43
322, 0.32
323, 0.38
324, 0.37
325, 0.36
326, 0.32
327, 0.44
328, 0.15
329, 0.25
330, 0.07
331, 0.54
332, 0.30
333, 0.22
334, 0.32
335, 0.20
336, 0.39
337, 0.98
338, 0.29
339, 0.21
340, 0.26
341, 0.17
342, 0.10
343, 0.14
344, 0.24
345, 0.55
346, 0.63
347, 0.10
348, 0.12
349, 0.36
350, 0.29
351, 0.34
352, 0.21
353, 0.39
354, 0.36
355, 0.08
356, 0.12
357, 0.53
358, 0.19
359, 0.18
360, 0.26
361, 0.18
362, 0.17
363, 0.47
364, 0.36
365, 0.67
366, 0.12
367, 0.31
368, 0.23
369, 0.56
370, 0.22
371, 0.27
372, 0.18
373, 0.29
374, 0.44
375, 0.36
376, 0.56
377, 0.08
378, 0.50
379, 0.19
380, 0.37
381, 0.13
382, 0.43
383, 0.54
384, 0.40
385, 0.46
386, 0.31
387, 0.27
388, 0.17
389, 0.24
390, 0.16
391, 0.10
392, 0.37
393, 0.30
394, 0.58
395, 0.32
396, 0.20
397, 0.38
398, 0.30
399, 0.79
400, 0.30
401, 0.39
402, 0.11
403, 0.13
404, 0.33
405, 0.10
406, 0.59
407, 0.20
408, 0.30
409, 0.29
410, 0.21
411, 0.46
412, 0.49
413, 0.59
414, 0.25
415, -0.01
416, 0.30
417, 0.04
418, 0.18
419, 0.31
420, 0.34
421, 0.26
422, 0.39
423, 0.30
424, 0.20
425, 0.49
426, 0.21
427, 0.40
428, 0.11
429, 0.06
430, 0.39
431, 0.49
432, 0.18
433, 0.21
434, 0.53
435, 0.27
436, 0.36
437, 0.55
438, 0.22
439, 0.15
440, 0.15
441, 0.20
442, 0.67
443, 0.26
444, 0.09
445, 0.30
446, 0.50
447, 0.30
448, 0.80
449, 0.42
450, 0.41
451, 0.44
452, 0.32
453, 0.45
454, 0.33
455, 0.16
456, 0.76
457, 0.34
458, 0.34
459, 0.35
460, 0.60
461, 0.28
462, 0.26
463, 0.15
464, 0.35
465, 0.31
466, 0.23
467, 0.34
468, 0.32
469, 0.43
470, 0.27
471, 0.48
472, 0.24
473, 0.29
474, 0.39
475, 0.34
476, 0.45
477, 0.28
478, 0.19
479, 0.18
480, 0.14
481, 0.23
482, 0.48
483, 0.35
484, 0.08
485, 0.83
486, 0.92
