ID,Prob1
0, 0.59
1, 0.07
2, 0.09
3, 0.21
4, -0.08
5, 0.01
6, 0.13
7, 0.60
8, 1.01
9, 0.14
10, 0.90
11, 0.13
12, 0.48
13, 0.91
14, 0.05
15, 0.01
16, 0.81
17, 0.06
18, 0.20
19, 0.73
20, 0.36
21, 0.03
22, 0.54
23, 0.93
24, 0.16
25, 0.30
26, 0.52
27, -0.03
28, 0.03
29, 0.98
30, 0.56
31, 0.03
32, 0.60
33, 0.31
34, 0.72
35, 0.51
36, 0.00
37, 0.43
38, 0.41
39, 0.03
40, 0.25
41, 0.20
42, 0.05
43, 0.62
44, 0.78
45, 0.07
46, 0.09
47, 0.94
48, 0.73
49, 0.32
50, 0.83
51, -0.14
52, 0.61
53, 0.11
54, 0.61
55, 0.00
56, 0.98
57, 0.04
58, 0.02
59, 0.17
60, 0.24
61, -0.13
62, 0.23
63, 0.15
64, 0.48
65, 0.17
66, 0.91
67, 0.02
68, 0.09
69, -0.01
70, 0.98
71, 0.88
72, 0.95
73, 0.38
74, 0.06
75, 0.76
76, 0.06
77, 0.75
78, 0.20
79, 0.06
80, 0.46
81, 0.06
82, 0.10
83, 0.01
84, 0.09
85, 0.06
86, 0.44
87, 0.07
88, 0.10
89, 0.96
90, 0.58
91, 0.37
92, 0.25
93, 0.48
94, 0.07
95, 0.20
96, 0.43
97, 0.04
98, 0.22
99, 0.14
100, 0.01
101, 0.43
102, 0.71
103, -0.04
104, 0.09
105, 0.04
106, 0.61
107, -0.00
108, 0.46
109, 0.09
110, 0.38
111, 0.46
112, 0.20
113, 0.18
114, 0.14
115, 0.02
116, 0.03
117, 0.01
118, 0.17
119, -0.01
120, 0.15
121, 0.20
122, 1.11
123, 0.14
124, 0.16
125, 0.07
126, 0.29
127, 0.01
128, 0.40
129, 0.06
130, 0.86
131, 0.06
132, 0.06
133, 0.43
134, 0.02
135, 0.85
136, 0.47
137, 0.02
138, 0.23
139, 0.01
140, 0.05
141, 0.36
142, 0.35
143, 0.23
144, 0.52
145, 0.05
146, 0.01
147, 0.10
148, 0.33
149, 0.54
150, 1.00
151, 0.26
152, 0.87
153, 0.03
154, 0.98
155, 0.06
156, 0.33
157, 0.10
158, -0.04
159, 0.07
160, 0.76
161, 0.03
162, 0.13
163, 0.07
164, 0.02
165, 0.38
166, 0.25
167, 0.44
168, -0.04
169, 0.03
170, -0.06
171, 0.95
172, 0.15
173, 0.45
174, 0.04
175, 0.10
176, 0.40
177, 0.02
178, 0.64
179, 0.19
180, 0.71
181, 0.89
182, 0.14
183, 0.60
184, 0.89
185, 0.09
186, 0.66
187, 0.96
188, 0.01
189, 0.05
190, 0.98
191, 0.01
192, 0.98
193, 0.04
194, 0.04
195, 0.87
196, 0.01
197, 0.10
198, 0.24
199, 0.01
200, 0.18
201, 0.27
202, 0.98
203, 0.16
204, 0.38
205, 0.22
206, 0.07
207, 0.35
208, 0.23
209, 0.74
210, 0.72
211, 0.51
212, 0.97
213, 0.68
214, 0.34
215, 0.33
216, 0.62
217, 0.24
218, -0.04
219, 0.44
220, 0.01
221, 0.04
222, 0.03
223, 0.81
224, 1.01
225, 0.13
226, 0.45
227, 0.48
228, 0.51
229, -0.02
230, 0.03
231, 0.40
232, 0.29
233, 0.08
234, 0.01
235, 0.01
236, 0.09
237, -0.00
