ID,Prob1
0, 0.24
1, 0.27
2, 0.55
3, 0.26
4, 0.22
5, 0.30
6, 0.37
7, 0.81
8, 0.69
9, 0.41
10, 0.33
11, 0.27
12, 0.26
13, 0.36
14, 0.42
15, 0.24
16, 0.25
17, 0.21
18, 0.21
19, 0.42
20, 0.28
21, 0.26
22, 0.43
23, 0.25
24, 0.26
25, 0.51
26, 0.42
27, 0.12
28, 0.25
29, 0.86
30, 0.23
31, 0.24
32, 0.25
33, 0.28
34, 0.44
35, 0.33
36, 0.29
37, 0.29
38, 0.22
39, 0.52
40, 0.26
41, 0.18
42, 0.35
43, 0.55
44, 0.30
45, 0.41
46, 0.27
47, 0.55
48, 0.35
49, 0.39
50, 0.68
51, 0.28
52, 0.41
53, 0.26
54, 0.55
55, 0.14
56, 0.51
57, 0.24
58, 0.23
59, 0.24
60, 0.40
61, 0.55
62, 0.26
63, 0.21
64, 0.21
65, 0.25
66, 0.32
67, 0.23
68, 0.25
69, 0.18
70, 0.73
71, 0.68
72, 0.27
73, 0.28
74, 0.23
75, 0.29
76, 0.22
77, 0.26
78, 0.24
79, 0.31
80, 0.29
81, 0.26
82, 0.33
83, 0.37
84, 0.55
85, 0.25
86, 0.60
87, 0.34
88, 0.24
89, 0.63
90, 0.18
91, 0.27
92, 0.27
93, 0.64
94, 0.19
95, 0.26
96, 0.25
97, 0.23
98, 0.22
99, 0.55
100, 0.25
101, 0.35
102, 0.25
103, 0.14
104, 0.24
105, 0.26
106, 0.24
107, 0.28
108, 0.24
109, 0.50
110, 0.27
111, 0.26
112, 0.22
113, 0.28
114, 0.50
115, 0.11
116, 0.23
117, 0.55
118, 0.26
119, 0.29
120, 0.22
121, 0.30
122, 0.61
123, 0.40
124, 0.26
125, 0.42
126, 0.24
127, 0.45
128, 0.26
129, 0.24
130, 0.24
131, 0.49
132, 0.25
133, 0.26
134, 0.23
135, 0.42
136, 0.23
137, 0.03
138, 0.39
139, 0.17
140, 0.24
141, 0.27
142, 0.68
143, 0.24
144, 0.25
145, 0.32
146, 0.47
147, 0.22
148, 0.26
149, 0.25
150, 0.42
151, 0.27
152, 0.27
153, 0.22
154, 0.55
155, 0.30
156, 0.42
157, 0.29
158, 0.22
159, 0.36
160, 0.30
161, 0.19
162, 0.25
163, 0.17
164, 0.22
165, 0.26
166, 0.23
167, 0.37
168, 0.46
169, 0.15
170, 0.18
171, 0.38
172, 0.21
173, 0.47
174, 0.30
175, 0.28
176, 0.21
177, 0.24
178, 0.55
179, 0.18
180, 0.55
181, 0.52
182, 0.40
183, 0.24
184, 0.59
185, 0.35
186, 0.51
187, 0.63
188, 0.33
189, 0.29
190, 0.83
191, 0.49
192, 0.45
193, 0.25
194, 0.29
195, 0.33
196, 0.27
197, 0.45
198, 0.32
199, 0.25
200, 0.21
201, 0.28
202, 0.67
203, 0.23
204, 0.32
205, 0.21
206, 0.28
207, 0.35
208, 0.28
209, 0.55
210, 0.26
211, 0.34
212, 0.29
213, 0.55
214, 0.33
215, 0.21
216, 0.42
217, 0.25
218, 0.20
219, 0.58
220, 0.18
221, 0.60
222, 0.35
223, 0.46
224, 0.27
225, 0.23
226, 0.56
227, 0.27
228, 0.38
