ID,Prob1
0, 0.21
1, 0.17
2, 0.53
3, 0.26
4, 0.00
5, 0.55
6, 0.39
7, 0.98
8, 1.00
9, 0.16
10, 0.35
11, 0.01
12, 0.22
13, 0.91
14, 0.35
15, 0.16
16, 0.25
17, 0.15
18, 0.20
19, 0.35
20, 0.35
21, 0.22
22, 0.35
23, 0.26
24, 0.17
25, 0.17
26, 0.34
27, 0.12
28, 0.18
29, 1.00
30, 0.05
31, 0.19
32, 0.22
33, 0.32
34, 0.35
35, 0.43
36, 0.00
37, 0.35
38, 0.21
39, 0.65
40, 0.42
41, 0.10
42, 0.37
43, 0.16
44, 0.81
45, 0.35
46, 0.35
47, 0.45
48, 0.64
49, 0.03
50, 0.95
51, 0.02
52, 0.46
53, 0.18
54, 0.58
55, 0.12
56, 0.86
57, 0.17
58, 0.10
59, 0.19
60, 0.53
61, 0.59
62, 0.32
63, 0.10
64, 0.18
65, 0.17
66, 0.92
67, 0.18
68, 0.31
69, 0.74
70, 0.79
71, 0.81
72, 0.35
73, 0.16
74, 0.19
75, 0.52
76, 0.17
77, 0.32
78, 0.18
79, 0.49
80, 0.35
81, 0.05
82, 0.18
83, 0.02
84, 0.65
85, 0.31
86, 0.63
87, 0.00
88, 0.23
89, 0.68
90, 0.16
91, 0.24
92, 0.26
93, 0.56
94, 0.17
95, 0.15
96, 0.27
97, 0.07
98, 0.20
99, 0.57
100, 0.00
101, 0.56
102, 0.35
103, 0.00
104, 0.29
105, 0.13
106, 0.30
107, 0.35
108, 0.20
109, 0.35
110, 0.48
111, 0.25
112, 0.00
113, 0.11
114, 0.33
115, 0.00
116, 0.35
117, 0.46
118, 0.16
119, 0.48
120, 0.17
121, 0.08
122, 0.90
123, 0.47
124, 0.29
125, 0.74
126, 0.32
127, 0.33
128, 0.28
129, 0.21
130, 0.00
131, 0.66
132, 0.06
133, 0.61
134, 0.35
135, 0.68
136, 0.28
137, 0.00
138, 0.35
139, 0.01
140, 0.14
141, 0.25
142, 0.91
143, 0.16
144, 0.19
145, 0.09
146, 0.21
147, 0.34
148, 0.25
149, 0.21
150, 0.86
151, 0.27
152, 0.49
153, 0.30
154, 0.88
155, 0.26
156, 0.39
157, 0.05
158, 0.17
159, 0.21
160, 0.50
161, 0.00
162, 0.22
163, 0.00
164, 0.00
165, 0.31
166, 0.20
167, 0.17
168, 0.08
169, 0.03
170, 0.20
171, 0.57
172, 0.09
173, 0.00
174, 0.40
175, 0.17
176, 0.02
177, 0.33
178, 0.66
179, 0.14
180, 0.73
181, 0.74
182, 0.14
183, 0.23
184, 0.73
185, 0.17
186, 0.57
187, 0.98
188, 0.41
189, 0.34
190, 0.97
191, 0.00
192, 0.68
193, 0.08
194, 0.27
195, 0.90
196, 0.00
197, 0.19
198, 0.35
199, 0.20
200, 0.18
201, 0.27
202, 0.72
203, 0.25
204, 0.35
205, 0.14
206, 0.18
207, 0.35
208, 0.35
209, 0.65
210, 0.35
211, 0.35
212, 0.18
213, 0.45
214, 0.59
215, 0.07
216, 0.30
217, 0.25
218, 0.18
219, 0.50
220, 0.07
221, 0.65
222, 0.05
223, 0.55
224, 0.51
225, 0.23
226, 0.54
227, 0.53
228, 0.44
229, 0.34
230, 0.35
231, 0.91
232, 0.33
233, 0.28
234, 0.45
235, 0.00
236, 0.26
237, 0.35
238, 0.46
239, 0.35
240, 0.75
241, 0.29
242, 0.22
243, 0.35
244, 0.03
245, 0.01
246, 0.02
247, 0.64
248, 0.35
249, 0.05
250, 0.94
251, 0.24
252, 0.01
253, 0.16
254, 0.33
255, 0.19
256, 0.40
257, 0.16
258, 1.00
259, 0.04
260, 0.97
261, 0.35
262, 0.45
263, 0.09
264, 0.21
265, 0.24
266, 0.00
267, 0.35
268, 0.19
269, 0.00
270, 0.08
271, 0.00
272, 0.24
273, 0.19
274, 0.58
275, 0.23
276, 0.96
277, 0.76
278, 0.37
279, 0.24
280, 0.69
281, 0.21
282, 0.00
283, 0.08
284, 0.22
285, 0.69
286, 0.35
287, 0.35
288, 0.08
289, 0.27
290, 0.18
291, 0.33
292, 0.45
293, 0.09
294, 0.35
295, 0.09
296, 0.25
297, 0.02
298, 0.33
299, 0.68
300, 0.26
301, 0.48
302, 0.55
303, 0.54
304, 0.04
305, 0.56
306, 0.35
307, 0.31
308, 0.10
309, 0.87
310, 0.35
311, 0.17
312, 0.57
313, 0.19
314, 0.70
315, 0.03
316, 0.00
317, 0.37
318, 0.29
319, 0.96
320, 0.30
321, 0.29
322, 0.35
323, 0.38
324, 0.27
325, 0.41
326, 0.45
327, 0.42
328, 0.45
329, 0.19
330, 0.11
331, 0.46
332, 0.32
333, 0.18
334, 0.40
335, 0.15
336, 0.42
337, 0.98
338, 0.35
339, 0.10
340, 0.32
341, 0.20
342, 0.00
343, 0.14
344, 0.18
345, 0.49
346, 0.44
347, 0.00
348, 0.01
349, 0.42
