ID,Prob1
0, 0.56
1, 0.38
2, 0.48
3, 0.33
4, 0.34
5, 0.36
6, 0.40
7, 0.69
8, 0.70
9, 0.31
10, 0.60
11, 0.36
12, 0.57
13, 0.73
14, 0.44
15, 0.41
16, 0.46
17, 0.37
18, 0.39
19, 0.58
20, 0.57
21, 0.36
22, 0.49
23, 0.55
24, 0.38
25, 0.50
26, 0.51
27, 0.32
28, 0.34
29, 0.69
30, 0.32
31, 0.30
32, 0.58
33, 0.37
34, 0.59
35, 0.60
36, 0.36
37, 0.52
38, 0.52
39, 0.51
40, 0.54
41, 0.32
42, 0.37
43, 0.57
44, 0.64
45, 0.39
46, 0.41
47, 0.73
48, 0.59
49, 0.50
50, 0.70
51, 0.32
52, 0.55
53, 0.39
54, 0.59
55, 0.21
56, 0.70
57, 0.33
58, 0.30
59, 0.38
60, 0.52
61, 0.59
62, 0.37
63, 0.40
64, 0.41
65, 0.40
66, 0.86
67, 0.31
68, 0.39
69, 0.40
70, 0.72
71, 0.86
72, 0.62
73, 0.41
74, 0.32
75, 0.63
76, 0.26
77, 0.64
78, 0.28
79, 0.49
80, 0.57
81, 0.32
82, 0.30
83, 0.29
84, 0.28
85, 0.37
86, 0.52
87, 0.25
88, 0.32
89, 0.65
90, 0.36
91, 0.43
92, 0.40
93, 0.59
94, 0.39
95, 0.30
96, 0.59
97, 0.21
98, 0.32
99, 0.51
100, 0.22
101, 0.52
102, 0.51
103, 0.40
104, 0.40
105, 0.38
106, 0.45
107, 0.43
108, 0.47
109, 0.50
110, 0.54
111, 0.51
112, 0.34
113, 0.43
114, 0.50
115, 0.21
116, 0.31
117, 0.37
118, 0.32
119, 0.42
120, 0.41
121, 0.50
122, 0.72
123, 0.61
124, 0.41
125, 0.54
126, 0.60
127, 0.37
128, 0.41
129, 0.27
130, 0.50
131, 0.51
132, 0.29
133, 0.57
134, 0.31
135, 0.53
136, 0.34
137, 0.19
138, 0.49
139, 0.31
140, 0.32
141, 0.49
142, 0.54
143, 0.32
144, 0.51
145, 0.30
146, 0.50
147, 0.39
148, 0.41
149, 0.60
150, 0.71
151, 0.40
152, 0.72
153, 0.48
154, 0.81
