ID,Prob1
0, 0.56
1, 0.26
2, 0.38
3, 0.24
4, 0.24
5, 0.23
6, 0.30
7, 0.72
8, 0.70
9, 0.22
10, 0.50
11, 0.24
12, 0.44
13, 0.71
14, 0.34
15, 0.28
16, 0.36
17, 0.24
18, 0.27
19, 0.44
20, 0.45
21, 0.24
22, 0.38
23, 0.55
24, 0.27
25, 0.41
26, 0.49
27, 0.22
28, 0.24
29, 0.72
30, 0.20
31, 0.21
32, 0.48
33, 0.26
34, 0.51
35, 0.49
36, 0.25
37, 0.52
38, 0.52
39, 0.41
40, 0.44
41, 0.20
42, 0.26
43, 0.45
44, 0.60
45, 0.28
46, 0.34
47, 0.66
48, 0.45
49, 0.39
50, 0.70
51, 0.22
52, 0.45
53, 0.27
54, 0.59
55, 0.12
56, 0.68
57, 0.23
58, 0.19
59, 0.24
60, 0.45
61, 0.48
62, 0.26
63, 0.27
64, 0.28
65, 0.31
66, 0.79
67, 0.21
68, 0.28
69, 0.28
70, 0.75
71, 0.86
72, 0.59
73, 0.32
74, 0.22
75, 0.63
76, 0.15
77, 0.64
78, 0.18
79, 0.37
80, 0.44
81, 0.21
82, 0.21
83, 0.19
84, 0.26
85, 0.26
86, 0.56
87, 0.16
88, 0.20
89, 0.65
90, 0.26
91, 0.33
92, 0.28
93, 0.49
94, 0.24
95, 0.22
96, 0.49
97, 0.11
98, 0.21
99, 0.53
100, 0.16
101, 0.54
102, 0.51
103, 0.26
104, 0.30
105, 0.26
106, 0.35
107, 0.33
108, 0.35
109, 0.40
110, 0.44
111, 0.39
112, 0.22
113, 0.34
114, 0.45
115, 0.12
116, 0.20
117, 0.25
118, 0.22
119, 0.32
120, 0.28
121, 0.40
122, 0.72
123, 0.57
124, 0.29
125, 0.44
126, 0.60
127, 0.27
128, 0.31
129, 0.16
130, 0.49
131, 0.50
132, 0.18
133, 0.47
134, 0.21
135, 0.53
136, 0.24
137, 0.10
138, 0.37
139, 0.17
140, 0.22
141, 0.38
142, 0.59
143, 0.21
144, 0.41
145, 0.20
146, 0.40
147, 0.27
148, 0.32
149, 0.60
150, 0.71
151, 0.30
152, 0.66
153, 0.38
154, 0.80
155, 0.19
156, 0.40
157, 0.20
158, 0.21
159, 0.30
160, 0.54
161, 0.16
162, 0.27
163, 0.16
164, 0.14
165, 0.40
166, 0.20
167, 0.40
168, 0.20
169, 0.22
170, 0.20
171, 0.49
172, 0.27
173, 0.54
174, 0.33
175, 0.28
176, 0.23
177, 0.31
178, 0.62
179, 0.20
180, 0.50
181, 0.73
182, 0.18
183, 0.23
184, 0.76
185, 0.32
186, 0.58
187, 0.73
188, 0.25
189, 0.27
190, 0.87
191, 0.20
192, 0.57
193, 0.20
194, 0.30
195, 0.63
196, 0.13
197, 0.19
198, 0.34
199, 0.18
200, 0.23
201, 0.24
202, 0.77
