ID,Prob1
0, 0.51
1, 0.29
2, 0.51
3, 0.29
4, 0.23
5, 0.27
6, 0.40
7, 0.80
8, 1.75
9, 0.45
10, 0.63
11, 0.28
12, 0.48
13, 1.33
14, 0.42
15, 0.28
16, 0.38
17, 0.28
18, 0.32
19, 0.52
20, 0.51
21, 0.31
22, 0.52
23, 0.96
24, 0.33
25, 0.51
26, 0.94
27, 0.24
28, 0.28
29, 0.84
30, 0.24
31, 0.45
32, 0.47
33, 0.38
34, 1.05
35, 0.95
36, 0.28
37, 0.56
38, 0.53
39, 0.56
40, 0.48
41, 0.21
42, 0.33
43, 0.95
44, 1.34
45, 0.66
46, 0.35
47, 0.67
48, 0.51
49, 0.47
50, 1.46
51, 0.24
52, 0.49
53, 0.29
54, 0.58
55, 0.15
56, 0.77
57, 0.46
58, 0.24
59, 0.28
60, 0.57
61, 0.51
62, 0.37
63, 0.33
64, 0.31
65, 0.37
66, 0.69
67, 0.46
68, 0.39
69, 0.31
70, 0.82
71, 0.83
72, 1.04
73, 0.39
74, 0.23
75, 0.56
76, 0.20
77, 1.04
78, 0.45
79, 0.36
80, 0.56
81, 0.46
82, 0.31
83, 0.18
84, 0.43
85, 0.32
86, 1.06
87, 0.47
88, 0.45
89, 1.44
90, 0.27
91, 0.39
92, 0.31
93, 0.56
94, 0.26
95, 0.32
96, 0.48
97, 0.20
98, 0.45
99, 0.52
100, 0.16
101, 0.96
102, 0.57
103, 0.21
104, 0.29
105, 0.30
106, 0.44
107, 0.32
108, 0.40
109, 0.76
110, 0.47
111, 0.42
112, 0.35
113, 0.38
114, 0.51
115, 0.15
116, 0.46
117, 0.36
118, 0.27
119, 0.44
120, 0.65
121, 0.47
122, 0.76
123, 0.55
124, 0.31
125, 0.52
126, 0.59
127, 0.42
128, 0.65
129, 0.22
130, 0.75
131, 0.52
132, 0.25
133, 0.95
134, 0.23
135, 0.59
136, 0.29
137, 0.13
138, 0.78
139, 0.18
140, 0.23
141, 0.43
142, 0.61
143, 0.27
144, 0.77
145, 0.23
146, 0.53
147, 0.28
148, 0.42
149, 0.95
150, 0.73
151, 0.33
152, 1.34
153, 0.35
154, 0.81
155, 0.46
156, 0.52
157, 0.31
158, 0.23
159, 0.36
160, 0.58
161, 0.18
162, 0.34
163, 0.20
164, 0.19
165, 0.43
166, 0.46
167, 0.44
168, 0.36
169, 0.27
170, 0.23
171, 1.02
172, 0.30
173, 0.52
174, 0.37
175, 0.36
176, 0.24
177, 0.32
178, 0.60
179, 0.24
180, 0.57
181, 0.79
182, 0.29
183, 0.46
184, 0.72
185, 0.45
186, 0.57
187, 0.79
188, 0.39
189, 0.32
190, 0.93
191, 0.29
192, 0.61
193, 0.25
194, 0.36
195, 0.65
196, 0.15
197, 0.29
198, 0.36
199, 0.23
200, 0.27
201, 0.46
202, 0.84
203, 0.24
204, 0.44
205, 0.32
206, 0.73
207, 0.39
208, 0.35
209, 1.35
210, 0.96
211, 0.49
212, 0.52
213, 0.50
214, 0.50
215, 0.37
216, 1.02
217, 0.45
218, 0.31
219, 0.95
220, 0.32
221, 0.42
222, 0.35
223, 1.34
224, 1.02
225, 0.32
226, 0.94
227, 0.46
228, 1.04
229, 0.17
230, 0.33
231, 0.78
232, 0.76
233, 0.66
234, 0.35
235, 0.45
236, 0.31
237, 0.52
238, 1.34
239, 0.52
240, 0.94
241, 0.32
242, 0.37
243, 0.27
244, 0.32
245, 0.23
246, 0.27
247, 0.67
248, 0.94
249, 0.24
250, 0.88
251, 0.43
252, 0.21
253, 0.21
254, 0.76
255, 0.22
256, 0.93
257, 0.23
258, 0.91
259, 0.46
260, 0.84
261, 0.77
262, 0.40
263, 0.21
264, 0.29
265, 0.65
266, 0.21
267, 0.76
268, 0.65
269, 0.58
270, 0.21
271, 0.12
272, 0.30
273, 0.41
274, 1.05
275, 0.36
276, 0.84
277, 0.88
278, 0.42
279, 0.34
280, 0.77
281, 0.27
282, 0.24
283, 0.41
284, 0.21
285, 0.57
286, 1.02
287, 0.42
288, 0.23
289, 0.48
290, 0.25
291, 0.40
292, 0.65
293, 0.38
294, 0.28
295, 0.19
296, 0.38
297, 0.19
298, 0.53
299, 1.46
300, 0.65
301, 0.42
302, 0.59
303, 0.96
304, 0.23
305, 0.62
306, 0.40
307, 0.47
308, 0.19
309, 0.80
310, 0.42
311, 0.31
312, 0.48
313, 0.22
314, 0.69
315, 0.56
316, 0.11
317, 1.05
318, 0.41
319, 0.51
320, 0.36
321, 0.49
322, 0.40
323, 0.96
324, 0.65
325, 0.75
326, 0.47
327, 0.56
328, 0.51
329, 0.30
330, 0.24
331, 0.54
332, 0.48
333, 0.76
334, 1.05
335, 0.46
336, 0.49
337, 0.90
338, 0.65
339, 0.33
340, 0.51
341, 0.29
342, 0.16
343, 0.18
344, 0.34
345, 1.34
346, 0.57
347, 0.12
348, 0.16
349, 0.59
350, 0.25
351, 0.59
352, 0.65
353, 0.55
354, 0.76
355, 0.29
356, 0.21
357, 0.51
358, 0.94
359, 0.34
360, 0.39
361, 0.20
362, 0.33
363, 0.59
364, 0.47
365, 0.79
366, 0.65
367, 0.50
368, 0.36
369, 0.59
370, 0.28
371, 0.35
372, 0.44
373, 0.41
374, 0.56
375, 0.36
376, 0.60
377, 0.45
378, 0.59
379, 0.25
380, 0.59
381, 0.28
382, 0.77
383, 0.69
384, 0.76
385, 0.95
386, 0.42
387, 0.51
388, 0.33
389, 0.37
390, 0.21
391, 0.28
392, 0.52
393, 0.37
394, 0.51
395, 0.43
396, 1.06
397, 0.25
398, 0.31
399, 0.80
400, 0.43
401, 0.58
402, 0.14
403, 0.23
404, 1.05
405, 0.23
406, 0.95
407, 0.32
408, 0.29
409, 0.75
410, 0.18
411, 0.48
412, 0.76
413, 0.42
414, 0.24
415, 0.29
416, 0.94
417, 0.31
418, 0.29
419, 0.52
420, 0.59
421, 0.31
422, 0.44
423, 0.32
424, 0.38
425, 0.49
426, 0.21
427, 0.38
428, 0.39
429, 0.20
430, 0.53
431, 1.32
432, 0.21
433, 0.32
434, 0.56
435, 0.35
436, 0.57
437, 1.35
438, 0.52
439, 0.45
440, 0.74
441, 0.28
442, 1.34
443, 0.38
444, 0.28
445, 0.33
446, 1.05
447, 0.27
448, 1.75
449, 0.65
450, 0.37
451, 0.73
452, 0.93
453, 0.59
454, 0.46
455, 0.27
456, 0.73
457, 0.40
458, 0.75
459, 0.35
460, 0.68
461, 0.19
462, 0.30
463, 0.29
464, 0.29
465, 0.14
466, 0.29
467, 0.47
468, 0.32
469, 0.41
470, 0.94
471, 0.92
472, 0.63
473, 0.51
474, 0.42
475, 0.41
476, 0.30
477, 0.21
478, 0.51
479, 0.33
480, 0.37
481, 0.36
482, 0.95
483, 0.58
484, 0.27
485, 1.75
486, 0.66
487, 1.34
488, 0.43
489, 1.04
490, 0.32
491, 0.74
492, 0.20
493, 0.37
494, 0.61
495, 0.80
496, 0.88
497, 0.64
498, 0.92
499, 1.05
500, 0.43
501, 0.32
502, 0.42
503, 0.31
504, 0.57
505, 0.25
506, 0.94
507, 0.15
508, 0.65
509, 0.48
510, 0.54
511, 0.33
512, 0.29
513, 0.15
514, 0.47
515, 0.56
516, 0.17
517, 1.04
518, 0.50
519, 0.86
520, 0.57
521, 0.37
522, 0.38
523, 1.05
524, 0.29
525, 0.61
526, 0.29
527, 0.42
528, 0.51
529, 0.41
530, 0.28
531, 0.51
532, 0.36
533, 0.66
534, 0.71
535, 1.05
536, 0.42
537, 0.28
538, 0.47
539, 0.52
540, 0.22
541, 0.18
542, 0.76
543, 0.75
544, 0.31
545, 1.04
546, 0.51
547, 0.24
548, 1.46
549, 0.17
550, 0.56
551, 0.27
552, 0.82
553, 0.30
554, 0.37
555, 0.25
556, 0.31
557, 0.31
558, 0.50
559, 0.28
560, 0.36
561, 0.41
562, 0.27
563, 0.30
564, 0.36
565, 0.39
566, 0.18
567, 0.53
568, 0.75
569, 0.38
570, 0.54
571, 0.23
572, 0.26
573, 0.95
574, 0.52
575, 0.36
576, 0.30
577, 1.32
578, 0.38
579, 0.49
580, 0.58
581, 0.30
582, 0.59
583, 0.76
584, 0.21
585, 0.33
586, 0.66
587, 0.58
588, 0.29
589, 0.88
590, 0.17
591, 0.18
592, 0.64
593, 0.49
594, 0.32
595, 0.59
596, 0.50
597, 0.44
598, 0.47
599, 0.37
600, 0.47
601, 0.32
602, 0.32
603, 1.32
604, 0.18
605, 0.22
606, 0.55
607, 0.17
608, 0.42
609, 0.51
610, 0.53
611, 1.06
612, 0.58
613, 0.52
614, 0.74
615, 0.17
616, 0.42
617, 0.33
618, 0.23
619, 0.43
620, 1.04
621, 1.07
622, 0.65
623, 0.42
624, 0.46
625, 0.41
626, 0.65
627, 0.45
628, 0.58
629, 0.67
630, 0.57
631, 0.41
632, 0.43
633, 0.37
634, 0.36
635, 1.35
636, 0.56
637, 0.45
638, 0.42
639, 0.42
640, 0.21
641, 0.58
642, 0.95
643, 0.51
644, 0.51
645, 0.33
646, 0.29
647, 0.29
648, 0.32
649, 0.32
650, 0.76
651, 0.33
652, 1.44
653, 0.23
654, 0.25
655, 0.39
656, 0.38
657, 0.70
658, 0.94
659, 0.32
660, 0.64
661, 0.40
662, 0.24
663, 0.23
664, 0.86
665, 0.23
666, 0.22
667, 0.33
668, 0.73
669, 0.27
670, 0.15
671, 0.38
672, 0.32
673, 0.21
674, 0.27
675, 1.35
676, 0.41
677, 0.94
678, 0.33
679, 0.33
680, 0.80
681, 0.65
682, 0.33
683, 0.77
684, 0.43
685, 0.31
686, 0.21
687, 0.31
688, 0.19
689, 0.59
690, 0.59
691, 0.34
692, 0.70
693, 0.58
694, 1.04
695, 0.54
696, 0.39
697, 0.27
698, 0.11
699, 0.33
700, 0.48
701, 0.36
702, 0.30
703, 0.53
704, 0.60
705, 0.58
706, 0.41
707, 0.23
708, 0.19
709, 0.14
710, 0.47
711, 0.81
712, 0.29
713, 0.21
714, 0.32
715, 0.44
716, 0.81
717, 0.32
718, 0.95
719, 0.24
720, 0.52
721, 0.72
722, 0.63
723, 0.56
724, 0.28
725, 0.68
726, 0.29
727, 0.80
728, 0.94
729, 0.42
730, 0.22
731, 0.47
732, 0.32
733, 0.20
734, 0.22
735, 1.02
736, 0.43
737, 0.21
738, 1.76
739, 0.54
740, 0.70
741, 0.72
742, 0.76
743, 0.30
744, 0.62
745, 0.56
746, 0.82
747, 0.60
748, 0.20
749, 0.45
750, 0.25
751, 1.04
752, 0.76
753, 0.13
754, 0.32
755, 0.59
756, 0.54
757, 0.26
758, 0.18
759, 0.76
760, 0.40
761, 0.48
762, 0.51
763, 0.32
764, 0.44
765, 0.43
766, 0.25
767, 0.14
768, 0.26
769, 0.86
770, 0.56
771, 0.15
772, 0.31
773, 0.22
774, 0.37
775, 0.22
776, 0.46
777, 0.16
778, 0.39
779, 0.46
780, 0.83
781, 0.18
782, 0.17
783, 0.28
784, 0.52
785, 0.41
786, 0.50
787, 0.59
788, 0.68
789, 0.23
790, 0.36
791, 0.96
792, 0.75
793, 0.64
794, 0.93
795, 0.43
796, 0.30
797, 0.94
798, 0.68
799, 0.40
800, 1.44
801, 0.34
802, 0.33
803, 0.24
804, 0.74
805, 0.82
806, 0.41
807, 0.32
808, 0.20
809, 0.60
810, 0.62
811, 0.89
812, 0.30
813, 0.38
814, 1.02
815, 0.12
816, 0.32
817, 0.53
818, 0.31
819, 0.42
820, 0.48
821, 0.49
822, 0.46
823, 0.52
824, 0.35
825, 0.33
826, 1.44
827, 0.25
828, 0.42
829, 1.46
830, 0.41
831, 0.32
832, 0.49
833, 0.51
834, 0.44
835, 1.44
836, 0.52
837, 0.23
838, 0.53
839, 0.12
840, 0.42
841, 0.77
842, 0.20
843, 1.04
844, 0.57
845, 0.53
846, 0.41
847, 0.58
848, 0.32
849, 0.70
850, 0.37
851, 0.59
852, 0.51
853, 0.48
854, 0.33
855, 0.36
856, 0.56
857, 0.56
858, 0.24
859, 0.37
860, 0.12
861, 0.12
862, 0.33
863, 0.39
864, 0.48
865, 0.95
866, 0.18
867, 0.42
868, 0.47
869, 0.33
870, 0.78
871, 0.38
872, 0.29
873, 0.50
874, 0.52
875, 0.51
876, 1.04
877, 0.35
878, 0.25
879, 0.28
880, 0.26
881, 0.21
882, 0.52
883, 0.50
884, 0.38
885, 0.27
886, 0.32
887, 0.56
888, 0.52
889, 1.05
890, 0.21
891, 0.42
892, 0.54
893, 0.41
894, 0.43
895, 0.42
896, 0.40
897, 0.28
898, 1.02
899, 0.45
900, 0.82
901, 0.88
902, 0.58
903, 0.44
904, 0.69
905, 0.94
906, 0.76
907, 1.37
908, 0.88
909, 0.50
910, 0.46
911, 0.24
912, 0.17
913, 0.50
914, 0.12
915, 0.44
916, 0.47
917, 0.47
918, 0.24
919, 0.39
920, 0.69
921, 0.57
922, 0.18
923, 0.58
924, 0.72
925, 0.24
926, 0.29
927, 0.40
928, 0.59
929, 0.65
930, 0.65
931, 0.14
932, 0.18
933, 0.56
934, 0.24
935, 0.28
936, 0.31
937, 0.60
938, 0.47
939, 0.69
940, 0.32
941, 0.45
942, 1.76
943, 0.38
944, 0.42
945, 0.16
946, 0.56
947, 0.17
948, 0.33
949, 0.41
950, 0.59
951, 0.72
952, 0.39
953, 0.94
954, 0.35
955, 0.41
956, 0.45
957, 0.12
958, 0.54
959, 0.49
960, 0.53
961, 0.56
962, 0.26
963, 0.42
964, 0.32
965, 0.23
966, 1.76
967, 1.03
968, 0.22
969, 0.43
970, 1.32
971, 0.51
972, 0.94
973, 0.42
974, 1.35
975, 0.60
976, 0.20
977, 0.25
978, 0.36
979, 0.25
980, 0.51
981, 0.77
982, 0.53
983, 0.38
984, 0.33
985, 0.16
986, 0.33
987, 0.76
988, 0.12
989, 0.93
990, 0.21
991, 1.03
992, 0.40
993, 0.39
994, 0.15
995, 0.50
996, 0.58
997, 0.44
998, 0.95
999, 0.21
1000, 0.15
1001, 1.45
1002, 0.47
1003, 0.77
1004, 0.82
1005, 0.31
1006, 0.32
1007, 0.77
1008, 0.21
1009, 0.62
1010, 0.22
1011, 0.80
1012, 0.44
1013, 0.78
1014, 1.04
1015, 0.28
1016, 0.62
1017, 0.62
1018, 0.56
1019, 0.28
1020, 0.59
1021, 1.05
1022, 0.94
1023, 0.98
1024, 0.32
1025, 0.58
1026, 0.76
1027, 0.80
1028, 0.51
1029, 0.56
1030, 0.73
1031, 0.69
1032, 0.39
1033, 0.48
1034, 0.37
1035, 0.68
1036, 0.46
1037, 0.33
1038, 0.76
1039, 0.49
1040, 0.41
1041, 1.02
1042, 0.74
1043, 0.48
1044, 0.52
1045, 0.32
1046, 0.76
1047, 0.20
1048, 1.44
1049, 1.04
1050, 0.15
1051, 0.95
1052, 0.65
1053, 0.23
1054, 0.64
1055, 0.29
1056, 0.30
1057, 0.33
1058, 0.40
1059, 0.38
1060, 0.36
1061, 0.22
1062, 0.36
1063, 0.53
1064, 0.18
1065, 0.52
1066, 0.26
1067, 0.96
1068, 0.64
