ID,Prob1
0, 1.00
1, 0.00
2, 0.00
3, 0.20
4, 0.40
5, 0.00
6, 0.00
7, 1.00
8, 1.00
9, 0.20
10, 0.80
11, 0.20
12, 0.50
13, 1.00
14, 0.00
15, 0.00
16, 0.20
17, 0.00
18, 0.00
19, 0.00
20, 0.40
21, 0.20
22, 0.40
23, 0.60
24, 0.20
25, 0.20
26, 0.40
27, 0.20
28, 0.20
29, 0.80
30, 0.20
31, 0.00
32, 0.80
33, 0.40
34, 0.60
35, 0.60
36, 0.00
37, 0.60
38, 0.60
39, 0.20
40, 0.20
41, 0.00
42, 0.00
43, 0.40
44, 0.60
45, 0.00
46, 0.40
47, 0.90
48, 0.40
49, 0.60
50, 0.40
51, 0.00
52, 0.40
53, 0.00
54, 0.73
55, 0.00
56, 1.00
57, 0.40
58, 0.00
59, 0.00
60, 0.80
61, 0.20
62, 0.60
63, 0.00
64, 0.20
65, 0.20
66, 1.00
67, 0.20
68, 0.20
69, 0.00
70, 1.00
71, 0.90
72, 0.60
73, 0.20
74, 0.00
75, 1.00
76, 0.00
77, 1.00
78, 0.00
79, 0.00
80, 0.45
81, 0.20
82, 0.00
83, 0.10
84, 0.00
85, 0.00
86, 0.40
87, 0.00
88, 0.00
89, 1.00
90, 0.20
91, 0.60
92, 0.20
93, 0.70
94, 0.00
95, 0.00
96, 0.40
97, 0.00
98, 0.00
99, 0.40
100, 0.00
101, 0.00
102, 0.53
103, 0.00
104, 0.00
105, 0.20
106, 0.67
107, 0.00
108, 0.57
109, 0.00
110, 0.40
111, 0.68
112, 0.00
113, 0.00
114, 0.40
115, 0.00
116, 0.00
117, 0.00
118, 0.20
119, 0.40
120, 0.20
121, 0.00
122, 0.93
123, 0.60
124, 0.20
125, 0.40
126, 0.90
127, 0.40
128, 0.20
129, 0.00
130, 0.40
131, 0.20
132, 0.00
133, 0.80
134, 0.00
135, 0.40
136, 0.20
137, 0.00
138, 0.20
139, 0.00
140, 0.00
141, 0.40
142, 0.20
143, 0.44
144, 0.80
145, 0.00
146, 0.40
147, 0.20
148, 0.30
149, 0.80
150, 1.00
151, 0.00
152, 0.60
153, 0.20
154, 1.00
155, 0.00
156, 0.40
157, 0.00
158, 0.00
159, 0.00
160, 0.80
161, 0.00
162, 0.40
163, 0.00
164, 0.00
165, 0.00
166, 0.00
167, 0.51
168, 0.00
169, 0.20
170, 0.00
171, 0.40
172, 0.20
173, 0.80
174, 0.10
175, 0.20
176, 0.00
177, 0.00
178, 0.63
179, 0.00
180, 0.40
181, 1.00
182, 0.00
183, 0.20
184, 0.80
185, 0.40
186, 0.80
187, 0.80
188, 0.00
189, 0.00
190, 1.00
191, 0.00
192, 0.40
193, 0.00
194, 0.00
195, 0.80
196, 0.00
197, 0.00
198, 0.00
199, 0.00
200, 0.00
201, 0.00
202, 1.00
203, 0.00
204, 0.20
205, 0.00
206, 0.20
207, 0.20
208, 0.00
209, 0.93
210, 0.60
211, 0.60
212, 1.00
213, 0.80
214, 0.00
215, 0.33
216, 0.40
217, 0.00
218, 0.40
219, 0.30
220, 0.20
221, 0.20
222, 0.00
223, 0.80
224, 0.60
225, 0.20
226, 0.40
227, 0.40
228, 0.80
229, 0.00
230, 0.00
231, 1.00
232, 0.80
233, 0.60
234, 0.20
235, 0.60
236, 0.00
237, 0.40
238, 1.00
239, 0.40
240, 0.40
241, 0.60
242, 0.00
243, 0.00
244, 0.20
245, 0.00
246, 0.40
247, 1.00
248, 0.20
249, 0.00
250, 1.00
251, 0.40
252, 0.20
253, 0.00
254, 0.68
255, 0.00
256, 0.57
257, 0.00
258, 1.00
259, 0.28
260, 1.00
261, 0.00
262, 0.00
263, 0.00
264, 0.40
265, 0.00
266, 0.00
267, 0.60
268, 0.80
269, 0.00
270, 0.00
271, 0.00
272, 0.00
273, 0.40
274, 0.54
275, 0.40
276, 0.60
277, 1.00
278, 0.20
279, 0.40
280, 1.00
281, 0.20
282, 0.00
283, 0.20
284, 0.00
285, 0.00
286, 0.60
287, 0.20
288, 0.00
289, 0.40
290, 0.00
291, 0.60
292, 0.07
293, 0.60
294, 0.00
295, 0.00
296, 0.00
297, 0.20
298, 1.00
299, 0.67
300, 0.20
301, 0.00
302, 0.20
303, 0.60
304, 0.20
305, 0.65
306, 0.20
307, 0.40
308, 0.00
309, 1.00
310, 0.65
311, 0.00
312, 0.60
313, 0.00
314, 1.00
315, 0.40
316, 0.00
317, 0.60
318, 0.40
319, 0.60
320, 0.00
321, 0.40
322, 0.40
323, 0.40
324, 0.20
325, 0.00
326, 0.20
327, 0.80
328, 0.40
329, 0.00
330, 0.20
331, 0.80
332, 0.80
333, 0.60
334, 1.00
335, 0.00
336, 0.40
337, 1.00
338, 0.20
339, 0.20
340, 0.40
341, 0.20
342, 0.00
343, 0.00
344, 0.60
345, 0.80
346, 0.40
347, 0.00
348, 0.20
349, 0.80
350, 0.00
351, 0.80
352, 0.00
353, 0.40
354, 0.40
355, 0.00
356, 0.20
357, 0.40
358, 0.60
359, 0.93
360, 0.20
361, 0.00
362, 0.40
363, 0.80
364, 0.80
365, 1.00
366, 0.00
367, 0.40
368, 0.40
369, 0.80
370, 0.20
371, 0.20
372, 0.60
373, 0.20
374, 0.60
375, 0.00
376, 0.60
377, 0.20
378, 0.80
379, 0.00
380, 1.00
381, 0.00
382, 0.20
383, 1.00
384, 0.40
385, 0.60
386, 0.20
387, 0.00
388, 0.00
389, 0.40
390, 0.00
391, 0.20
392, 0.80
393, 0.20
394, 0.45
395, 0.60
396, 1.00
397, 0.00
398, 0.10
399, 0.40
400, 0.80
401, 0.40
402, 0.00
403, 0.00
404, 1.00
405, 0.00
406, 0.20
407, 0.00
408, 0.13
409, 0.00
410, 0.00
411, 0.40
412, 0.30
413, 0.20
414, 0.00
415, 0.20
416, 0.40
417, 0.20
418, 0.20
419, 0.80
420, 0.40
421, 0.00
422, 0.60
423, 0.00
424, 0.20
425, 0.50
426, 0.00
427, 0.20
428, 0.20
429, 0.00
430, 0.20
431, 0.80
432, 0.00
433, 0.13
434, 0.58
435, 0.20
436, 0.20
437, 0.60
438, 0.40
439, 0.20
440, 0.60
441, 0.10
442, 0.80
443, 0.40
444, 0.00
445, 0.60
446, 1.00
447, 0.20
448, 0.80
449, 0.20
450, 0.00
451, 1.00
452, 0.40
453, 0.80
454, 0.60
455, 0.20
456, 0.80
457, 0.64
458, 0.20
459, 0.20
460, 0.80
461, 0.00
462, 0.20
463, 0.00
464, 0.10
465, 0.00
466, 0.00
467, 0.00
468, 0.00
469, 0.40
470, 1.00
471, 0.20
472, 0.00
473, 0.40
474, 0.20
475, 0.40
476, 0.00
477, 0.10
478, 0.20
479, 0.20
480, 0.20
481, 0.00
482, 0.60
483, 0.60
484, 0.00
485, 1.00
486, 0.00
487, 0.40
488, 0.43
489, 0.38
490, 0.20
491, 0.00
492, 0.00
493, 0.20
494, 0.20
495, 0.40
496, 1.00
497, 0.78
498, 1.00
499, 0.60
500, 0.40
501, 0.00
502, 0.60
503, 0.00
504, 0.44
505, 0.00
506, 0.00
507, 0.00
508, 0.00
509, 0.40
510, 0.83
511, 0.30
512, 0.00
513, 0.00
514, 0.20
515, 0.60
516, 0.00
517, 0.80
518, 0.40
519, 0.80
520, 0.80
521, 0.40
522, 0.40
523, 0.60
524, 0.00
525, 1.00
526, 0.00
527, 0.00
528, 0.40
529, 0.20
530, 0.00
531, 0.80
532, 0.00
533, 0.20
534, 1.00
535, 0.00
536, 0.20
537, 0.00
538, 0.00
539, 0.40
540, 0.00
541, 0.00
542, 0.40
543, 0.00
544, 0.40
545, 0.60
546, 0.27
547, 0.00
548, 1.00
549, 0.20
550, 0.60
551, 0.00
552, 1.00
553, 0.20
554, 0.40
555, 0.00
556, 0.00
557, 0.20
558, 0.60
559, 0.20
560, 0.20
561, 0.80
562, 0.20
563, 0.10
564, 0.00
565, 0.40
566, 0.00
567, 0.12
568, 0.40
569, 0.20
570, 0.45
571, 0.00
572, 0.20
573, 0.40
574, 0.00
575, 0.20
576, 0.31
577, 0.80
578, 0.40
579, 0.43
580, 0.80
581, 0.40
582, 0.60
583, 0.00
584, 0.40
585, 0.20
586, 1.00
587, 0.60
588, 0.20
589, 1.00
590, 0.00
591, 0.00
592, 0.60
593, 0.00
594, 0.20
595, 0.40
596, 0.60
597, 0.40
598, 0.00
599, 0.20
600, 0.60
601, 0.40
602, 0.00
603, 0.80
604, 0.00
605, 0.20
606, 0.68
607, 0.00
608, 0.40
609, 0.40
610, 0.80
611, 0.40
612, 0.60
613, 0.40
614, 0.72
615, 0.00
