ID,Prob1
0, 0.54
1, 0.19
2, 0.39
3, 0.18
4, 0.14
5, 0.17
6, 0.29
7, 0.79
8, 0.83
9, 0.13
10, 0.64
11, 0.17
12, 0.40
13, 0.65
14, 0.30
15, 0.18
16, 0.27
17, 0.18
18, 0.22
19, 0.42
20, 0.41
21, 0.21
22, 0.43
23, 0.50
24, 0.22
25, 0.40
26, 0.45
27, 0.14
28, 0.17
29, 0.85
30, 0.14
31, 0.13
32, 0.39
33, 0.27
34, 0.56
35, 0.46
36, 0.17
37, 0.48
38, 0.54
39, 0.45
40, 0.39
41, 0.11
42, 0.23
43, 0.48
44, 0.62
45, 0.24
46, 0.25
47, 0.68
48, 0.40
49, 0.38
50, 0.73
51, 0.13
52, 0.41
53, 0.18
54, 0.58
55, 0.05
56, 0.77
57, 0.15
58, 0.12
59, 0.17
60, 0.48
61, 0.50
62, 0.27
63, 0.23
64, 0.20
65, 0.27
66, 0.69
67, 0.15
68, 0.28
69, 0.23
70, 0.83
71, 0.83
72, 0.57
73, 0.29
74, 0.12
75, 0.58
76, 0.08
77, 0.57
78, 0.14
79, 0.26
80, 0.48
81, 0.14
82, 0.19
83, 0.08
84, 0.31
85, 0.21
86, 0.54
87, 0.15
88, 0.13
89, 0.73
90, 0.17
91, 0.27
92, 0.21
93, 0.55
94, 0.16
95, 0.21
96, 0.40
97, 0.08
98, 0.14
99, 0.52
100, 0.07
101, 0.48
102, 0.49
103, 0.12
104, 0.20
105, 0.19
106, 0.35
107, 0.21
108, 0.30
109, 0.33
110, 0.38
111, 0.32
112, 0.16
113, 0.30
114, 0.51
115, 0.05
116, 0.15
117, 0.26
118, 0.17
119, 0.35
120, 0.24
121, 0.38
122, 0.76
123, 0.45
124, 0.20
125, 0.43
126, 0.52
127, 0.30
128, 0.25
129, 0.11
130, 0.39
131, 0.52
132, 0.15
133, 0.47
134, 0.12
135, 0.50
136, 0.18
137, 0.03
138, 0.35
139, 0.08
140, 0.12
141, 0.33
142, 0.61
143, 0.16
144, 0.39
145, 0.11
146, 0.42
147, 0.17
148, 0.33
149, 0.48
150, 0.73
151, 0.23
152, 0.66
153, 0.16
154, 0.82
155, 0.15
156, 0.42
157, 0.18
158, 0.12
159, 0.26
160, 0.49
161, 0.07
162, 0.24
163, 0.10
164, 0.08
165, 0.33
166, 0.15
167, 0.33
168, 0.18
169, 0.17
170, 0.12
171, 0.55
172, 0.20
173, 0.53
174, 0.26
175, 0.26
176, 0.13
177, 0.21
178, 0.59
179, 0.14
180, 0.45
181, 0.80
182, 0.18
183, 0.15
184, 0.74
185, 0.35
186, 0.57
187, 0.80
188, 0.28
189, 0.22
190, 0.95
191, 0.21
192, 0.60
193, 0.14
194, 0.26
195, 0.65
196, 0.06
197, 0.18
198, 0.26
199, 0.12
200, 0.17
201, 0.15
202, 0.84
203, 0.13
204, 0.34
205, 0.22
206, 0.28
207, 0.29
208, 0.25
209, 0.64
210, 0.48
211, 0.39
212, 0.54
213, 0.49
214, 0.41
215, 0.28
216, 0.55
217, 0.14
218, 0.21
219, 0.44
220, 0.22
221, 0.30
222, 0.16
223, 0.66
224, 0.55
225, 0.22
226, 0.48
227, 0.36
228, 0.56
229, 0.06
230, 0.22
231, 0.77
232, 0.38
233, 0.28
234, 0.25
235, 0.35
236, 0.19
237, 0.41
238, 0.64
239, 0.39
240, 0.42
241, 0.21
242, 0.27
243, 0.17
244, 0.22
245, 0.12
246, 0.17
247, 0.66
248, 0.45
249, 0.14
250, 0.89
251, 0.34
252, 0.11
253, 0.10
254, 0.37
255, 0.10
256, 0.45
257, 0.11
258, 0.91
259, 0.15
260, 0.84
261, 0.35
262, 0.29
263, 0.10
