ID,Prob1
0, 0.36
1, 0.02
2, 0.06
3, 0.02
4, 0.12
5, 0.01
6, 0.27
7, 0.85
8, 0.80
9, 0.08
10, 0.75
11, 0.14
12, 0.36
13, 0.92
14, 0.31
15, 0.12
16, 0.31
17, 0.23
18, 0.14
19, 0.40
20, 0.42
21, 0.02
22, 0.50
23, 0.79
24, 0.12
25, 0.29
26, 0.45
27, 0.01
28, 0.14
29, 0.79
30, 0.15
31, 0.06
32, 0.13
33, 0.11
34, 0.69
35, 0.48
36, 0.14
37, 0.72
38, 0.72
39, 0.28
40, 0.54
41, 0.06
42, 0.17
43, 0.41
44, 0.75
45, 0.13
46, 0.23
47, 0.73
48, 0.31
49, 0.40
50, 0.88
51, 0.09
52, 0.45
53, 0.12
54, 0.38
55, 0.00
56, 0.80
57, 0.27
58, 0.04
59, 0.08
60, 0.50
61, 0.43
62, 0.33
63, 0.27
64, 0.25
65, 0.35
66, 0.89
67, 0.08
68, 0.29
69, 0.18
70, 0.90
71, 0.74
72, 0.69
73, 0.22
74, 0.09
75, 0.85
76, 0.03
77, 0.82
78, 0.04
79, 0.28
80, 0.44
81, 0.05
82, 0.02
83, 0.05
84, 0.02
85, 0.08
86, 0.24
87, 0.01
88, 0.04
89, 0.76
90, 0.18
91, 0.33
92, 0.38
93, 0.68
94, 0.13
95, 0.12
96, 0.65
97, 0.00
98, 0.13
99, 0.47
100, 0.03
101, 0.44
102, 0.70
103, 0.12
104, 0.03
105, 0.07
106, 0.57
107, 0.16
108, 0.73
109, 0.18
110, 0.52
111, 0.34
112, 0.10
113, 0.27
114, 0.39
115, 0.01
116, 0.02
117, 0.11
118, 0.06
119, 0.28
120, 0.27
121, 0.32
122, 0.77
123, 0.35
124, 0.18
125, 0.47
126, 0.99
127, 0.21
128, 0.23
129, 0.04
130, 0.60
131, 0.65
132, 0.06
133, 0.72
134, 0.06
135, 0.75
136, 0.16
137, 0.00
138, 0.28
139, 0.02
140, 0.08
141, 0.36
142, 0.54
143, 0.17
144, 0.30
145, 0.00
146, 0.30
147, 0.16
148, 0.32
149, 0.78
150, 0.89
151, 0.17
152, 0.98
153, 0.06
154, 0.95
155, 0.03
156, 0.33
157, 0.02
158, 0.07
159, 0.17
160, 0.67
161, 0.06
162, 0.26
163, 0.04
164, 0.01
165, 0.35
166, 0.11
167, 0.34
168, 0.04
169, 0.11
170, 0.05
171, 0.68
172, 0.16
173, 0.55
174, 0.09
175, 0.17
176, 0.09
177, 0.12
178, 0.49
179, 0.05
180, 0.37
181, 0.90
182, 0.02
183, 0.17
184, 0.78
185, 0.36
186, 0.46
187, 0.86
188, 0.11
189, 0.01
190, 0.96
191, 0.03
192, 0.78
193, 0.13
194, 0.17
195, 0.85
196, 0.03
197, 0.04
198, 0.25
199, 0.06
200, 0.21
201, 0.12
202, 0.97
203, 0.07
204, 0.41
205, 0.19
206, 0.25
207, 0.23
208, 0.17
209, 0.60
210, 0.72
211, 0.49
212, 0.79
213, 0.63
214, 0.32
215, 0.00
216, 0.64
217, 0.01
218, 0.33
219, 0.40
220, 0.22
221, 0.13
222, 0.03
223, 0.81
224, 0.62
225, 0.14
226, 0.38
227, 0.79
228, 0.70
229, 0.00
230, 0.19
231, 0.93
232, 0.32
233, 0.22
234, 0.21
235, 0.37
236, 0.08
237, 0.35
238, 0.55
239, 0.39
240, 0.22
241, 0.22
242, 0.25
243, 0.02
244, 0.17
245, 0.09
246, 0.20
247, 0.72
248, 0.55
249, 0.04
250, 1.00
251, 0.44
252, 0.06
253, 0.00
254, 0.42
255, 0.03
256, 0.41
257, 0.09
258, 0.92
259, 0.16
260, 0.93
261, 0.28
262, 0.32
263, 0.05
264, 0.06
265, 0.18
266, 0.02
267, 0.52
268, 0.39
269, 0.46
270, 0.13
271, 0.02
272, 0.17
273, 0.27
274, 0.30
275, 0.31
276, 0.88
277, 1.00
278, 0.34
279, 0.28
280, 0.98
281, 0.12
282, 0.07
283, 0.16
284, 0.04
285, 0.33
286, 0.83
287, 0.28
288, 0.01
289, 0.52
290, 0.19
291, 0.31
292, 0.34
293, 0.43
294, 0.06
295, 0.03
296, 0.13
297, 0.03
298, 0.65
299, 0.79
300, 0.08
301, 0.11
302, 0.51
303, 0.55
304, 0.14
305, 0.91
306, 0.22
307, 0.37
308, 0.04
309, 0.90
310, 0.47
311, 0.12
312, 0.36
313, 0.00
314, 0.68
315, 0.44
316, 0.00
317, 0.71
318, 0.32
319, 0.33
320, 0.11
321, 0.41
322, 0.24
323, 0.73
324, 0.16
325, 0.19
326, 0.36
327, 0.65
328, 0.59
329, 0.18
330, 0.06
331, 0.53
332, 0.28
333, 0.60
334, 0.99
335, 0.12
336, 0.41
337, 0.88
338, 0.24
339, 0.44
340, 0.45
341, 0.13
342, 0.01
343, 0.01
344, 0.29
345, 0.74
346, 0.70
347, 0.00
348, 0.02
349, 0.81
350, 0.25
351, 0.59
352, 0.11
353, 0.57
354, 0.32
355, 0.18
356, 0.05
357, 0.28
358, 0.39
359, 0.37
360, 0.22
361, 0.03
362, 0.24
363, 0.52
364, 0.44
365, 0.83
366, 0.18
367, 0.57
368, 0.30
369, 0.75
370, 0.16
371, 0.29
372, 0.35
373, 0.32
374, 0.68
375, 0.08
376, 0.76
377, 0.08
378, 0.47
379, 0.03
380, 0.48
381, 0.20
382, 0.32
383, 0.94
384, 0.64
385, 0.32
386, 0.19
387, 0.26
388, 0.23
389, 0.13
390, 0.12
391, 0.18
392, 0.72
393, 0.17
394, 0.37
395, 0.30
396, 0.97
397, 0.09
398, 0.24
399, 0.85
400, 0.69
401, 0.54
402, 0.02
403, 0.07
404, 0.83
405, 0.09
406, 0.46
407, 0.20
408, 0.14
409, 0.21
410, 0.02
411, 0.61
412, 0.20
413, 0.13
414, 0.02
415, 0.20
416, 0.41
417, 0.12
418, 0.19
419, 0.63
420, 0.76
421, 0.07
422, 0.32
423, 0.16
424, 0.27
425, 0.39
426, 0.04
427, 0.36
428, 0.17
429, 0.00
430, 0.69
431, 0.75
432, 0.00
433, 0.15
434, 0.44
435, 0.33
436, 0.30
437, 0.75
438, 0.33
439, 0.06
440, 0.03
441, 0.24
442, 0.79
443, 0.40
444, 0.10
445, 0.23
446, 0.70
447, 0.07
448, 0.90
449, 0.07
450, 0.31
451, 0.83
452, 0.80
453, 0.51
454, 0.03
455, 0.12
456, 0.63
457, 0.31
458, 0.37
459, 0.23
460, 0.64
461, 0.14
462, 0.15
463, 0.10
464, 0.01
465, 0.00
466, 0.14
467, 0.21
468, 0.21
469, 0.12
470, 0.64
471, 0.44
472, 0.03
473, 0.45
474, 0.15
475, 0.34
476, 0.00
477, 0.07
478, 0.68
479, 0.14
480, 0.50
481, 0.14
482, 0.33
483, 0.64
484, 0.07
485, 1.00
486, 0.54
487, 0.61
488, 0.49
489, 0.44
490, 0.13
491, 0.16
492, 0.06
493, 0.16
494, 0.51
495, 0.38
496, 0.92
497, 0.57
498, 1.00
499, 0.56
500, 0.13
501, 0.37
502, 0.41
503, 0.20
504, 0.35
505, 0.17
506, 0.17
507, 0.03
508, 0.04
509, 0.37
510, 0.57
511, 0.39
512, 0.06
513, 0.00
514, 0.43
515, 0.48
516, 0.01
517, 0.29
518, 0.49
519, 0.95
520, 0.68
521, 0.21
522, 0.38
523, 0.63
524, 0.08
525, 0.81
526, 0.12
527, 0.27
528, 0.60
529, 0.10
530, 0.00
531, 0.49
532, 0.30
533, 0.22
534, 0.78
535, 0.65
536, 0.28
537, 0.10
